Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
PD PIU,Mixed,,ARUP DAS,05-Aug-2023 02:32 PM,techsummary_49336.pdf (5050.25 KB),Finance,Bids Opened,THEODORE BRAHMANAND BOITHOK,30-May-2023 02:52 PM,,1.0,186535.0,Tazuddin Ahmed,INR,89263494.0,07-Aug-2023,INR 89263494,365.0,ARUP DAS,07-Aug-2023 04:52 PM,AOC12B.pdf (2101.00 KB),Urban Affairs Department Externally Aided Project||GMDWSB-Externally Aided Project,2023_UADEA_30718_1,GWSP/LCB/C-12B1/2023-24/04,Parallel Rate contract for providing Drinking Water House Service Connections in lots of 5000,1,186773,A K Construction,30-May-2023 12:14 PM,Rejected-Technical,Doen to meet qualification criteria,05-Aug-2023 02:32 PM,PD PIU,Mixed,,ARUP DAS,07-Aug-2023 04:46 PM,finsummary_49336.pdf (2101.41 KB),AOC,08-May-2023 09:00 AM,30-May-2023 02:30 PM,08-May-2023 09:00 AM,30-May-2023 02:00 PM,08-May-2023 09:00 AM ,16-May-2023 09:00 AM ,24-May-2023 12:00 PM,30-May-2023 02:00 PM,"Project Director, PIU","Office of Project Director, PIU, 1st Floor, tripti Tower, Ganeshguri",1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Fee, EMD",Urban Affairs Department Externally Aided Project||GMDWSB-Externally Aided Project,GWSP/LCB/C-12B1/2023-24/04,2023_UADEA_30718_1,Yes,Open Tender,EOI,Works,1.0,No,No,Online,No,No,No,Parallel Rate contract for providing Drinking Water House Service Connections in lots of 5000,"Parallel Rate contract for providing Drinking Water House Service Connections in lots of 5000 each, for total of approximately 30000 households in Southcentral and North Guwahati area, providing all the required goods and materials, install the Empl",Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Rate Contract,90.0,365.0,Guwahati,781005.0,Guwahati ,"Office of Project Director, PIU, 1st Floor, tripti Tower, Ganeshguri, Guwahati ",16-May-2023 01:00 PM ,Guwahati,No ,No,"7,00,000",Yes,fixed,,Nil,Nil,"20,000",Nil,Nil,No,1.0,SBI Bank,AOC
,,,,,,,,,,,2.0,186576.0,Purbanchal Enterprise,INR,89263494.0,,,,,,,,,,,2,186677,Bhaskar Baruah,29-May-2023 11:03 PM,Accepted-AOC,Parallel Rate Contract,07-Aug-2023 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,.pdf,"Technical Bid, Financial Forms, Acceptance to approved rates, SBD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,3.0,186676.0,SUNRISE ASSOCIATES,INR,89263494.0,,,,,,,,,,,3,186751,BIMAL KALITA,30-May-2023 12:00 PM,Rejected-Technical,Doen to meet qualification criteria,05-Aug-2023 02:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,4.0,186677.0,Bhaskar Baruah,INR,89263494.0,,,,,,,,,,,4,186757,BRAHMAPUTRA UDYOG PVT LTD,30-May-2023 01:30 AM,Rejected-Technical,Not in top Six Rank,05-Aug-2023 02:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,5.0,186766.0,KBS COMMERCIAL PRIVATE LIMITED,INR,89263494.0,,,,,,,,,,,5,186755,D KUMAR AND COMPANY,30-May-2023 01:40 PM,Rejected-Technical,Doen to meet qualification criteria,05-Aug-2023 02:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,6.0,186798.0,S.S. ENTERPRISES,INR,89263494.0,,,,,,,,,,,6,186481,HUMA POWER & TOWER PVT LTD,30-May-2023 10:57 AM,Rejected-Technical,Not in top Six Rank,05-Aug-2023 02:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,7,186766,KBS COMMERCIAL PRIVATE LIMITED,30-May-2023 12:07 PM,Accepted-AOC,Parallel Rate Contract,07-Aug-2023 04:53 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,8,186800,Md CHARIFUL HAQUE,30-May-2023 01:59 PM,Rejected-Technical,Not in top Six Rank,05-Aug-2023 02:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,9,186792,MR. ABDUS CHAMAD CHOUDHURY,30-May-2023 01:17 PM,Rejected-Technical,Not in top Six Rank,05-Aug-2023 02:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,10,186604,M/S SAMIA CONSTRUCTION,29-May-2023 08:00 PM,Rejected-Technical,Not in top Six Rank,05-Aug-2023 02:32 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
