Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",2023_HPIPH_74872_1,No. JSV-1/TA/ E-tender/23- 5739-68 dt 12-06-23,"Providing Multi Villages Piped Water Supply Scheme for Haroli Constituency in Haroli Block Distt. Una (H.P.) (SH Construction of RCC OHSR 1,00,000 ltrs cap with 20mtrs staging height near GSSS School at vill. Gondpur Bulla) under Jal Jeevan Mission",1.0,355691.0,M/s Kamla Contruction,INR,"1,971,000",---,Internal,AOC,Puneet Sharma,05-Aug-2023 01:33 PM,finsummary_112172.pdf (356.16 KB),05-Aug-2023,"INR 1,971,000",60.0,Puneet Sharma,05-Aug-2023 01:33 PM,Prafull.pdf (356.00 KB),AOC,Technical,summary,Puneet Sharma,22-Jun-2023 12:44 PM,technical_112172.pdf,Finance,summary,Puneet Sharma,22-Jun-2023 01:22 PM,finance_112172.pdf,BOQ Comparative Chart,1.0,355792.0,JBN Infra,21-Jun-2023 02:37 PM,Rejected-Finance,Not found L-1,05-Aug-2023,----,Internal,----,Puneet Sharma,22-Jun-2023 12:46 PM,22-Jun-2023 12:50 PM,techsummary_112172.pdf (71.50 KB),400.0,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,Yes,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Una-I,Irrigation and Public Health,HP",No. JSV-1/TA/ E-tender/23- 5739-68 dt 12-06-23,2023_HPIPH_74872_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,"Providing Multi Villages Piped Water Supply Scheme for Haroli Constituency in Haroli Block Distt. Una (H.P.) (SH Construction of RCC OHSR 1,00,000 ltrs cap with 20mtrs staging height near GSSS School at vill. Gondpur Bulla) under Jal Jeevan Mission","Providing Multi Villages Piped Water Supply Scheme for Haroli Constituency in Haroli Block Distt. Una (H.P.) (SH Construction of RCC OHSR 1,00,000 ltrs cap with 20mtrs staging height near GSSS School at vill. Gondpur Bulla) under Jal Jeevan Mission",as per NIT  ,NA ,"23,89,982",Civil Works,NA ,Tender,120.0,60.0,Gondpur Bulla,174301.0,NA ,NA ,NA ,Una HP,No ,No,1.0,Fee/PreQual/Technical,.pdf,Registration with Jal Shakti department,"43,350",Yes,fixed,,Executive Engineer Jal Shakti Divn No.1 Una HP,Executive Engineer Jal Shakti Divn No.1 Una HP,12-Jun-2023 03:45 PM,22-Jun-2023 11:00 AM,12-Jun-2023 03:45 PM,21-Jun-2023 05:00 PM,12-Jun-2023 03:45 PM ,21-Jun-2023 05:00 PM ,12-Jun-2023 03:45 PM,21-Jun-2023 05:00 PM,22-Jun-2023 12:50 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,355691.0,M/s Kamla Contruction,21-Jun-2023 12:18 PM,Accepted-AOC,Found L-1,05-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (online/ offline mode),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,354809.0,Om Parkash Govt Contrator,20-Jun-2023 11:12 AM,Rejected-Finance,Not found L-1,05-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (online/ offline mode),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,355716.0,Raj Kumar S/O Sh. Jagdish Chand,21-Jun-2023 11:22 AM,Rejected-Finance,Not found L-1,05-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST number along with latest copy of GST return file.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,355737.0,SG Engineers and Consultants,21-Jun-2023 12:53 PM,Rejected-Finance,Not found L-1,05-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF number and Income Tax registration number or their latest clearance certificates,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding he has executed work two or more work,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD exemption certificate if exempted and affidavit of non exhaustion in case of exemption,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done certificate , if any",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest Income Tax return (ITR),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,
