S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,S.No.2,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.3,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,1.0,Corregendum of approved makes in BOQ,Other,,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",PWD,PW/MED/TA/NIT/ e-notice/23-24-1871-81 dt 05.06.23,2023_PWD_74942_3,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","54,250",No,fixed,,Nil,Nil,14-Jun-2023 03:15 PM,22-Jun-2023 11:30 AM,14-Jun-2023 03:15 PM,22-Jun-2023 11:00 AM,NA ,NA ,14-Jun-2023 03:15 PM,22-Jun-2023 11:00 AM,25-Jul-2023 01:00 PM,Construction of Deputy Director Treasury Office cum Residence at Khaliyar District Mandi HP SH Providing Installation Testing and Commissioning of Fire Fighting System therein,Construction of Deputy Director Treasury Office cum Residence at Khaliyar District Mandi HP SH Providing Installation Testing and Commissioning of Fire Fighting System therein,please refer to bid document ,NA ,"27,11,043",Electrical Works,NA ,Tender,90.0,365.0,Khaliyar,175001.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,1.0,355442.0,Fire Guard Engineers,20-Jun-2023 03:05 PM,Rejected-Technical,bid nonresponsive and disqualified,25-Jul-2023,Technical,Summary,Suresh Kaushal,03-Jul-2023 05:43 PM,,Finance,finsummary,Munish Bhopal,25-Jul-2023 03:18 PM,finance_112275.pdf,BOQ Comparative Chart,1.0,355863.0,TARUN FIRE SYSTEM,INR,"2,792,374",Er Munish Bhopal EE,Internal,HDM Supdt Sr Asstt,Munish Bhopal,25-Jul-2023 12:42 PM,25-Jul-2023 01:00 PM,techsummary_112275.pdf (207.23 KB),PWD,2023_PWD_74942_3,PW/MED/TA/NIT/ e-notice/23-24-1871-81 dt 05.06.23,Construction of Deputy Director Treasury Office cum Residence at Khaliyar District Mandi HP SH Providing Installation Testing and Commissioning of Fire Fighting System therein,22-Aug-2023,"INR 2,711,043",365.0,Poonam Sharma,19-Dec-2023 04:20 PM,2.pdf (716.00 KB),work awarded being L1 firm,Er Munish Bhopal EE,Internal,SUPDT HDM SR ASSTT,Munish Bhopal,25-Jul-2023 03:26 PM,finsummary_112275.pdf (366.38 KB)
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,OEM or auth. agency of OEM as per approved make in BOQ or appr firm for exec specl job by HPPWD E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,355942.0,SHARMA ELECTRICAL CO.,22-Jun-2023 10:37 AM,Rejected-Technical,bid disqualiified,25-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,355096.0,Soni Supplier OPC Private Limited,17-Jun-2023 07:00 PM,Rejected-Technical,bid disqualifed,25-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,355558.0,SS CONSULTANTS,21-Jun-2023 02:33 PM,Rejected-Technical,bid disqualified,25-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,355408.0,Sudha Kumari,21-Jun-2023 10:01 PM,Rejected-Finance,REJECTED BEING L2 FIRM,25-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Work completion certificates as per Technical Qualification Criteria copy of award letter be attach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,355863.0,TARUN FIRE SYSTEM,21-Jun-2023 05:36 PM,Accepted-AOC,work awarded being L1 contr,19-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Bidder address format with valid email ID and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
