Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Director-Cum-Warden of Fisheries||Assistant Director Fisheries - HPFD,HPFD_4130_2,2023_HPFD_73184_1,Yes,Open Tender,Item Wise,Goods,2.0,No,Yes,Offline,No,No,No,1.0,Technical Bid,Technical Bid,,Director cum Warden of Fisheries Himachal Pradesh,"Directorate of Fisheries, Changer Sector, Bilaspur Himachal Pradesh-174001",1.0,DD - Demand Draft,500.0,Deputy Director of Fisheries HQ Bilaspur HP,Bilaspur HP,No,supply of fish seed,Supply of Fish Seed 70mm and above or 100mm and above or 10 gm,Please refer Tender documents. ,NA ,"95,00,000",Miscellaneous Goods,NA ,Tender,60.0,365.0,All over Himachal Pradesh,174001.0,NA ,NA ,NA ,Bilaspur HP,No ,No,1.0,Fee/PreQual/Technical,.pdf,Letter of auth in case representative is sent to participate in the tender opening process.,12-May-2023 01:00 PM,03-Jun-2023 11:30 AM,12-May-2023 01:00 PM,03-Jun-2023 11:00 AM,NA ,NA ,12-May-2023 01:00 PM,03-Jun-2023 11:00 AM,03-Jun-2023 03:40 PM,"2,50,000",No,fixed,,Director cum Warden of Fisheries HP,Bilaspur HP,Finance,Financial Summary,Chanchal Thakur,19-Jun-2023 01:32 PM,finance_110085.pdf,BOQ Comparative Chart,1.0,351289.0,Javed Khan,02-Jun-2023 05:55 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Jun-2023,Satpal Mehta,Internal,Balbir Singh Pankaj Thakur Chanchal Thakur,Chanchal Thakur,03-Jun-2023 03:34 PM,03-Jun-2023 03:40 PM,techsummary_110085.pdf (394.81 KB),Technical,Technical Summary,Chanchal Thakur,03-Jun-2023 03:27 PM,technical_110085.pdf,1.0,348473.0,OM SAI ENTERPRISES,INR,"5,213,025",07-Aug-2023,"INR 9,500,000",365.0,Chanchal Thakur,08-Aug-2023 04:16 PM,AOC_0001.pdf (916.00 KB),AOC of the Fish Seed,Director-Cum-Warden of Fisheries||Assistant Director Fisheries - HPFD,2023_HPFD_73184_1,HPFD_4130_2,supply of fish seed,SATPAL MEHTA,Internal,BALBIR SINGH PANKAJ THAKUR CHANCHAL THAKUR,Chanchal Thakur,20-Jun-2023 03:31 PM,finsummary_110085.pdf (393.20 KB)
,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,BD for Cost of Tender payable at Bilaspur HP drawn in fav of Deputy Director Fisheries Bilaspur HP,,,,,,,,,,,,,,,,,,,,,,2.0,350962.0,KAPIL TRADING CO.,01-Jun-2023 01:34 PM,Rejected-Finance,L4,20-Jun-2023,,,,,,,,,,,,,2.0,351494.0,M/S Anvesh Enterprises,INR,"4,072,985",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security in shape of FDR only duly pledged in fav of Director cumWarden fisheries HP,,,,,,,,,,,,,,,,,,,,,,3.0,351494.0,M/S Anvesh Enterprises,02-Jun-2023 10:11 PM,Accepted-AOC,L1 for other fish seed items,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Sales tax Act VAT CST GST No,,,,,,,,,,,,,,,,,,,,,,4.0,351209.0,M/S RAAZ COMMUNICATION,03-Jun-2023 09:02 AM,Rejected-AOC,Rejected,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income tax return for the assessment year 2022-23,,,,,,,,,,,,,,,,,,,,,,5.0,348473.0,OM SAI ENTERPRISES,02-Jun-2023 11:54 PM,Accepted-AOC,L1 for some fish seed items,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Number.,,,,,,,,,,,,,,,,,,,,,,6.0,351260.0,TARUN VIKAS,02-Jun-2023 09:57 AM,Rejected-Finance,L5,20-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof regarding dealing in supply production or authorized dealership from supplier etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Complete literature of each item to be supplied installed if demanded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TD Instructions to tenderers Annexure I II and agreement duly singed each page by tenderer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,As per condition no. 11A valid certificate should be submitted only for particular subject item etc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
