S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,DD - Demand Draft,20-Jul-2023 05:00 PM,01-Aug-2023 11:00 AM,20-Jul-2023 05:00 PM,31-Jul-2023 05:00 PM,NA ,NA ,20-Jul-2023 05:00 PM,31-Jul-2023 05:00 PM,03-Aug-2023 01:35 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,"C/o Flow Irrigation Scheme Nogi Khad to Kandlu at Village Kandlu, G.P. Katwachi , Tehsil Karsog, District Mandi (H.P.).","C/o Flow Irrigation Scheme Nogi Khad to Kandlu at Village Kandlu, G.P. Katwachi , Tehsil Karsog, District Mandi (H.P.).",Please refer Tender documents. ,NA ,"23,85,320",Civil Works - Water Works,NA ,Tender,90.0,365.0,"Village Kandlu, G.P. Katwachi , Tehsil Karsog, Dis",175046.0,"O/o District Project Manager, HPCDP (Phase-II), JI ","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).  ",26-Jul-2023 11:00 AM ,"O/o District Project Manager, HPCDP (Phase-II), JI",No ,No,"44,000",No,fixed,,"O/o District Project Manager, HPCDP (Phase-II), JI","O/o District Project Manager, HPCDP (Phase-II), JI","District Project Manager, HPCDP (Phase-II), JICA-O","O/o District Project Manager, HPCDP (Phase-II), JICA-ODA, Mandi Distt. Mandi (H.P.). Agriculture Complex Khaliyar Mandi Distt. Mandi (H.P).",Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,F(5)-31/2023-506dt20.07.2023,2023_HPCDP_76473_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"1,500","O/o District Project Manager, HPCDP (Phase-II), JI","O/o District Project Manager, HPCDP (Phase-II), JI",No,1.0,363276.0,JITENDER KUMAR,30-Jul-2023 08:33 AM,Rejected-AOC,Reject,19-Aug-2023,Sonal Gupta,Internal,Praveen Gupta M.R Sharma Pradeep Sharma Yoginder Kaushal,Sonal Gupta,03-Aug-2023 01:14 PM,03-Aug-2023 01:35 PM,techsummary_114342.pdf (460.84 KB),10-Aug-2023,"INR 3,201,862",365.0,Sonal Gupta,19-Aug-2023 04:12 PM,FISNogiKhadaward.pdf (414.00 KB),Letter of Acceptance,Technical,Minutes of Evaluation,Sonal Gupta,03-Aug-2023 12:58 PM,technical_114342.pdf,Finance,Finnacial Evaluation,Sonal Gupta,03-Aug-2023 03:16 PM,finance_114342.pdf,BOQ Comparative Chart,Balbir Singh Thakur,Internal,Pawan Kumar Praveen Kumar Gupta Pradeep Sharma Yoginder Kaushal,Sonal Gupta,03-Aug-2023 05:32 PM,finsummary_114342.pdf (217.48 KB),1.0,363343.0,KAMAL KISHORE,INR,"3,201,862",Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Mandi,2023_HPCDP_76473_1,F(5)-31/2023-506dt20.07.2023,"C/o Flow Irrigation Scheme Nogi Khad to Kandlu at Village Kandlu, G.P. Katwachi , Tehsil Karsog, District Mandi (H.P.)."
2.0,FDR - Fixed Deposit,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,363343.0,KAMAL KISHORE,30-Jul-2023 07:00 PM,Accepted-AOC,Accepted,19-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,363345.0,SUDESH KUMAR GOVT CONTRACTOR,30-Jul-2023 07:36 PM,Rejected-AOC,Reject,19-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
