S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address
1.0,342160.0,H.L. HANDA AND CO,INR,"43,900,036.25","HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP",2023_HPIPH_71967_1,215-95 dated 05-04-2023,"Providing Water Treatment Plant at Gamber Pump House, Subathu District Solan (H.P.) on turn key job basis including test run period of 90 days after physical completion of all components",Executive Engineer,Internal,"Superintendent Gr.-II, DHD, DAO and T.A. of this office",Kanchan Sharma,08-Aug-2023 05:22 PM,finsummary_108307.pdf (739.63 KB),08-Aug-2023,"INR 43,900,036.25",365.0,Kanchan Sharma,08-Aug-2023 05:25 PM,Award48for23-24.pdf (1976.00 KB),Work awarded to the Contractor,Finance,BOQ and BOQ Comparative Chart of all bidders downloaded successfully,Kanchan Sharma,08-Aug-2023 05:19 PM,finance_108307.pdf,BOQ Comparative Chart,Technical,"Documents of all seven bidders downloaded successfully, out of which 2 Nos. bid rejected",Kanchan Sharma,12-May-2023 11:01 AM,technical_108307.pdf,Superintending Engineer,Internal,"Draughtsman, Supdt. (W/S), AE (D), EE(D) of Jal Shakti Circle, Solan and EE JSD Arki",Kanchan Sharma,12-May-2023 11:05 AM,12-May-2023 11:10 AM,techsummary_108307.pdf (1542.54 KB),1.0,342193.0,DEVENDRA CONSTRUCTION COMPANY,15-Apr-2023 05:43 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-May-2023,"Providing Water Treatment Plant at Gamber Pump House, Subathu District Solan (H.P.) on turn key job basis including test run period of 90 days after physical completion of all components","Providing Water Treatment Plant at Gamber Pump House, Subathu District Solan on turn key job basis including test run period of 90 days after physical completion of all components",Please refer Tender documents. ,NA ,"4,51,12,531",Civil Works,NA ,Tender,120.0,365.0,Subathu,173207.0,"O/O Superintending Engineer, J. S. Circle Solan ","Superintending Engineer, Jal Shakti Circle, Solan  ",10-Apr-2023 04:00 PM ,"Executive Engineer, Jal Shakti Division, Arki.",No ,No,"2,500","Executive Engineer, Jal Shakti Division, Arki.","Executive Engineer, Jal Shakti Division, Arki.",Yes,"HP Irrigation and Public Health||Shimla-9 Circle,Irrigation and Public Health,HP||Arki,Irrigation and Public Health,HP",215-95 dated 05-04-2023,2023_HPIPH_71967_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,ICICI BANK,05-Apr-2023 05:50 PM,17-Apr-2023 11:30 AM,05-Apr-2023 05:50 PM,17-Apr-2023 11:00 AM,05-Apr-2023 05:50 PM ,17-Apr-2023 11:00 AM ,05-Apr-2023 05:50 PM,17-Apr-2023 11:00 AM,12-May-2023 11:10 AM,"4,51,125",Yes,fixed,,"Executive Engineer, Jal Shakti Division, Arki.","Executive Engineer, Jal Shakti Division, Arki.",1.0,Fee/PreQual/Technical,.pdf,Bid security shall be submitted either through online mode (e-payment) or offline mode as per NIT,"Executive Engineer, Jal Shakti Division, Arki.","Executive Engineer, Jal Shakti Division, Arki."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,342079.0,HILL CONSTRUCTION AND ENGINEERING CO. SOLAN,15-Apr-2023 01:37 PM,Rejected-Finance,Rejected,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Cost of bid form as shown above shall be submitted online as per NIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,342160.0,H.L. HANDA AND CO,16-Apr-2023 03:29 PM,Accepted-AOC,Work awarded to the Contractor,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate of registration as per NIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,342181.0,M/s Bansal Construction Co.,17-Apr-2023 10:20 AM,Not Admitted-Finance,Others-Non submission of undertaking regarding efficiency of pumping machinery,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN (Permanent Account No.), GST registration and EPF registration as per NIT",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,342277.0,Naresh Kumar,17-Apr-2023 07:50 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover of last three years as per NIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,342178.0,P G CONSTRUCTION,17-Apr-2023 10:46 AM,Rejected-Finance,Rejected,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Form as per Chapter IV of Form 12 duly accepted as per NIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,342167.0,Unipro Techno Infrastructure Pvt Ltd,15-Apr-2023 03:56 PM,Rejected-Finance,Rejected,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done, Experience Certificates as per Pre qualification criteria as per NIT",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate (DSC) as per NIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking that I have carefully studied all the terms and conditions as per NIT,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Bid containing scanned copy of Pump Characteristics curves in PDF format as per NIT,,
