Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At
Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Hamirpur,2023_HPCDP_76973_1,No.Agr.HMR.DPMU(G)(7) P-II 2021-22 Tender File 434,"Providing Lift Irrigation Scheme makri at village Makri,G.P Markandey,Tehsil Sadar,Distt. Bilapsur",1.0,365627.0,MNBN Enterprises,INR,"4,726,479",Suresh Kumar Dhiman,Internal,"Yoginder Paul Kaushal, Pradeep Sharma, Anil Kumar Agarwal, Devender Kumar Sankhyan",Suresh Kumar Dhiman,24-Aug-2023 01:47 PM,finsummary_115062.pdf (357.14 KB),31-Aug-2023,"INR 4,726,479",270.0,Suresh Kumar Dhiman,04-Sep-2023 01:35 PM,Makri.pdf (225.00 KB),Finance,Bid to be financially evaluated,Suresh Kumar Dhiman,24-Aug-2023 01:40 PM,,BOQ Comparative Chart,Technical,all the bidders are qualified,Suresh Kumar Dhiman,19-Aug-2023 10:32 AM,technical_115062.pdf,Suresh Dhiman,Internal,"Suresh Kumar Dhiman, Yoginder Paul Kaushal, Pradeep Sharma, Anil Kumar Agarwal, Devender Kumar Sankhyan",Suresh Kumar Dhiman,19-Aug-2023 10:54 AM,19-Aug-2023 11:00 AM,techsummary_115062.pdf (357.14 KB),1.0,365627.0,MNBN Enterprises,10-Aug-2023 03:24 PM,Accepted-AOC,Awarded,04-Sep-2023,DPM Hamirpur,District Project Manager Hamirpur,01-Aug-2023 11:05 AM,11-Aug-2023 11:00 AM,01-Aug-2023 11:05 AM,10-Aug-2023 05:00 PM,NA ,NA ,01-Aug-2023 11:05 AM,10-Aug-2023 05:00 PM,19-Aug-2023 11:00 AM,"Providing Lift Irrigation Scheme makri at village Makri,G.P Markandey,Tehsil Sadar,Distt. Bilapsur","Providing Lift Irrigation Scheme makri at village Makri,G.P Markandey,Tehsil Sadar,Distt. Bilapsur",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,270.0,Bilapsur,174201.0,Administrative Building HPCDP-JICA-ODA ,Administrative Building HPCDP-JICA-ODA ,05-Aug-2023 11:00 AM ,Administrative Building HPCDP-JICA-ODA,No ,No,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Hamirpur,No.Agr.HMR.DPMU(G)(7) P-II 2021-22 Tender File 434,2023_HPCDP_76973_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"1,500",DPM Hamirpur,Hamirpur,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,"65,991",No,fixed,,DPM Hamirpur,Hamirpur
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,365469.0,Mohit Kaushal,10-Aug-2023 09:22 AM,Rejected-Finance,Being L3,24-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,365464.0,MS Kamal Dev Sharma,10-Aug-2023 09:27 AM,Rejected-Finance,Being L4,24-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,365475.0,Yash Pal Sharma,10-Aug-2023 09:16 AM,Rejected-Finance,Being L2,24-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,
