EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"11,100",No,fixed,,Executive Engineer RB MC Shimla,Shimla,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD as per E procurement notice,Channelization of Nallah from om service centre to Dytron Bowri in ward No 34 under AMRUT,Channelization of Nallah from om service centre to Dytron Bowri in ward No 34 under AMRUT,Please refer Tender Documents ,NA ,"5,55,000",Civil Works,NA ,Tender,120.0,120.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,Executive Engineer RB MC Shimla,Executive Engineer RB MC Shimla,1.0,DD - Demand Draft,22-Sep-2020 05:00 PM,28-Sep-2020 11:30 AM,22-Sep-2020 05:00 PM,28-Sep-2020 10:30 AM,NA ,NA ,22-Sep-2020 05:00 PM,28-Sep-2020 10:30 AM,05-Oct-2020 05:55 PM,Municipal Corporation Shimla,2249Dated01092020,2020_MC_40959_29,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,Executive Engineer RB MC Shimla,Shimla,No,EE,Internal,AGM AO,Rajesh Thakur,05-Oct-2020 05:50 PM,05-Oct-2020 05:55 PM,techsummary_60540.pdf (1722.34 KB),Municipal Corporation Shimla,2020_MC_40959_29,2249Dated01092020,Channelization of Nallah from om service centre to Dytron Bowri in ward No 34 under AMRUT,14-Aug-2023,"INR 518,577.7",60.0,Rajesh Thakur,14-Aug-2023 10:46 AM,2020_MC_40959_29.pdf (516.00 KB),AOC,EE,Internal,AGM AO,Rajesh Thakur,14-Aug-2023 10:45 AM,finsummary_60540.pdf (314.77 KB),1.0,179726.0,mukul thakur,INR,"518,577",Finance,BOS,Rajesh Thakur,07-Jul-2023 11:30 AM,finance_60540.pdf,BOQ Comparative Chart,1,179507,BABU RAM,26-Sep-2020 10:56 AM,Rejected-Finance,Rejected,14-Aug-2023,Technical,bos,Rajesh Thakur,05-Oct-2020 05:44 PM,technical_60540.pdf
,,,,,,,,.pdf,Earnest money in shape of FDR and exemption shall not be allowed,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,179687,BALDEV SINGH THAKUR,26-Sep-2020 04:50 PM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,179784,Devinder Thakur,28-Sep-2020 10:25 AM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,.pdf,Income Tax GST and EPF registration PAN permanent Account no and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,179716,Kaku Ram,26-Sep-2020 07:14 PM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,.pdf,Contractor has to deposit FDR on account of 10 percent performance guarantee at the time of award,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,179572,Lokesh Bali,26-Sep-2020 08:38 AM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,2.0,Finance,.xls,Schedule of Quantity (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,179726,mukul thakur,26-Sep-2020 07:50 PM,Accepted-AOC,Accepted,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,179346,Prem Prakash Negi,25-Sep-2020 09:29 AM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,179311,Sandeep,24-Sep-2020 09:24 PM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,179366,tarun sharma,25-Sep-2020 10:45 PM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,179301,vinod kumar,24-Sep-2020 08:37 PM,Rejected-Finance,Rejected,14-Aug-2023,,,,,
