Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
800.0,Nil,Nil,No,Er. Rahul Dhiman EE,JSV Division Nagrota Bagwan,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",NGB-KNG01-773,2021_HPIPH_54872_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of FIS Kharad Kuhl in GP Sunehar Harnoti Mumta shali and Mundla in Tehsil Nagrota Bagwan,Construction of FIS Kharad Kuhl in GP Sunehar Harnoti Mumta shali and Mundla in Tehsil Nagrota Bagwan,Please refer Tender documents. ,NA ,"84,19,058",Civil Works,NA ,Tender,90.0,360.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,Nagrota Bagwan,No ,No,"1,16,695",No,fixed,,Nil,Nil,1.0,ICICI BANK,21-Dec-2021 05:00 PM,30-Dec-2021 11:30 AM,21-Dec-2021 05:00 PM,30-Dec-2021 11:00 AM,NA ,NA ,21-Dec-2021 05:00 PM,30-Dec-2021 11:00 AM,19-Jan-2022 03:40 PM,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Cost of Form (online mode),1.0,252695.0,Balwant Rana,28-Dec-2021 07:54 PM,Rejected-Finance,Highest Amount,05-Feb-2022,Er Rohit Dubey SE,Internal,Er.Rahul dubey EE (D) Er.Rahul Dhiman EE Sh.Ajay Rana AE (D) Sh.Hansh Raj CHD Sh Ashok Lakhnapal Supdt.Gr-I,Rahul Dhiman,19-Jan-2022 03:37 PM,19-Jan-2022 03:40 PM,techsummary_82300.pdf (466.28 KB),25-Aug-2023,"INR 8,419,058",360.0,Vivek Thakur,25-Aug-2023 04:01 PM,Award.pdf (402.00 KB),Award Letter,Technical,Technical bid opened on 13.01.22,Rahul Dhiman,19-Jan-2022 03:31 PM,technical_82300.pdf,Finance,Financial bid opened on 19.01.2022,Rahul Dhiman,05-Feb-2022 12:40 PM,finance_82300.pdf,BOQ Comparative Chart,Er. Rahul Dhiman EE,Internal,Sh.SP Verma Sr.DAO Smt.Anita Rana Supdt Gr-II Smt Kanchana Bala HDM,Rahul Dhiman,05-Feb-2022 12:43 PM,finsummary_82300.pdf (199.99 KB),"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",2021_HPIPH_54872_1,NGB-KNG01-773,Construction of FIS Kharad Kuhl in GP Sunehar Harnoti Mumta shali and Mundla in Tehsil Nagrota Bagwan,1.0,253238.0,Shadil Thakur,INR,"5,907,941"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Scanned copy of EMD (online mode),2.0,252690.0,krishan chand,28-Dec-2021 03:25 PM,Rejected-Finance,Highest Amount,05-Feb-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Enlistment with IPH Deptt./JSV,3.0,253238.0,Shadil Thakur,29-Dec-2021 08:12 PM,Accepted-AOC,LOWEST,25-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Income Tax/GST/EPF ESIC/Clearance certificate etc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DSC Certificate authorization must upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit /Undertaking Contractor/firm should not have blacklist from any Govt. Agency.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Termsandconditons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
