Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
Chief Engineer Operation CZ HPSEBL Mandi,Office of Chief Engineer Operation CZ HPSEBL Mandi HP,HPSEBL||CE(OP) CZ Mandi,HPSEBL/CEOCZ/MM/NIT4/22-23,2022_HPSEB_62789_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,Procurement of Copper winding wires of various sizes,Procurement of Copper winding wires of various sizes,As per NIT ,EMD for general bidders is Rs. 64423 and EMD for Registered local units is NIL ,"64,42,304",Electrical Work/ Equipment,NA ,Tender,120.0,60.0,Central Zone HPSEBL Mandi,175001.0,NA ,NA ,NA ,Office of Chief Engineer Central Zone HPSEBL Mandi,No ,No,"64,423",Yes,percentage,1.0%,Nil,Nil,16-Jul-2022 02:40 PM,29-Jul-2022 11:30 AM,18-Jul-2022 03:00 PM,28-Jul-2022 03:00 PM,NA ,NA ,18-Jul-2022 03:00 PM,28-Jul-2022 03:00 PM,30-Aug-2022 02:20 PM,1.0,Fee,.pdf,Proof of tender fee,"1,180",Nil,Nil,No,1.0,ICICI BANK,CHIEF ENGINEER,Internal,SEW SEWMNT AOSNGR,Munshi Ram,31-Mar-2023 02:21 PM,finsummary_94666.pdf (446.79 KB),1.0,293058.0,Ashoka Electronics and Electrical industries,INR,"5,898,609",HPSEBL||CE(OP) CZ Mandi,2022_HPSEB_62789_1,HPSEBL/CEOCZ/MM/NIT4/22-23,Procurement of Copper winding wires of various sizes,29-Aug-2023,"INR 6,442,304",60.0,Gulab Chand Shandilya,29-Aug-2023 12:07 PM,NIT4AWARD.pdf (5502.00 KB),Finance,Price bids of successful bidders opened,Gulab Chand Shandilya,30-Aug-2022 02:43 PM,finance_94666.pdf,BOQ Comparative Chart,Technical,Techno commercial bids opened.,Gulab Chand Shandilya,02-Aug-2022 03:26 PM,technical_94666.pdf,Chief Engineer(OP)CZ Mandi,Internal,CE(Mandi) SE(W) SE(BLR) AO(JNR),Gulab Chand Shandilya,30-Aug-2022 02:08 PM,30-Aug-2022 02:20 PM,techsummary_94666.pdf (561.09 KB),1.0,293058.0,Ashoka Electronics and Electrical industries,27-Jul-2022 06:38 PM,Accepted-AOC,Lower one,29-Aug-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EMD,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,293213.0,Saraswati Cables & Allied Industries Pvt Ltd,28-Jul-2022 01:19 PM,Rejected-Finance,HIGHER BID,31-Mar-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Renewed BIS certificate/Renewed ISO certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,292378.0,SHREYANS WIRES LIMITED,27-Jul-2022 05:18 PM,Not Admitted-Fee,EMD/Instrument is not valid,02-Aug-2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Purchase order/Supply Orders and performance certificate thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and type test reports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Capacity assessment and list of machinery,testing equip, acceptance,routine tests to be carriedout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Arbitration/court cases and blacklisted/debarred by any Govt./Semi Govt. Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Balance sheets of last three years ,undertaking regarding land border company ,bank Credit facility",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST reg.No.,PAN No.,a/w Income Tax and GST Clearance certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney/board of resolution to sign the bid doc. and any other requisite Docs. as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Reg.Certificate with Ind. Deptt.and Affidavit regarding channel partner from the manufacturer if any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual turn over duly certified by CA and acceptance to terms and conditions of NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
