Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
19-Aug-2023,INR 3.34917E+7,365.0,CHANDAN DEKA,19-Aug-2023 04:10 PM,sivasagar5.pdf (358.00 KB),Technical,TBE,CHANDAN DEKA,11-May-2023 11:01 AM,,S.Shyam,Internal,,CHANDAN DEKA,19-Aug-2023 04:09 PM,finsummary_48723.pdf (358.47 KB),Finance,Fin_op,Munindra Barman,11-May-2023 11:27 AM,,BOQ Comparative Chart,1.0,184102.0,M/S East India Construction,INR,33491700.0,S. Shyam,Internal,,CHANDAN DEKA,11-May-2023 11:03 AM,11-May-2023 11:05 AM,techsummary_48723.pdf (127.19 KB),Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,2023_PWD_30321_34,CE/Commn/01/ RIDF-XXVIII/2022-23/5,RE/RIDF-XXVIII/Sivasagar/5,1,184305,ADITYA DOWARAH,23-Apr-2023 07:16 AM,Rejected-AOC,Not Awarded,19-Aug-2023 04:12 PM,AOC,"7,44,000",Yes,fixed,,Nil,Nil,RE/RIDF-XXVIII/Sivasagar/5,Construction of embankment cum Road on Dessang bund Left Bank from Bahgarh to AT Road (Ch. 0m to 2500M) under Mukhya Mantrir Mathauri Pakikaran Achani under RIDF-XXVIII of NABARD by providing ICBP for the year 2022-23.,Please refer Tender documents. ,NA ,"3,72,13,000",Civil Works – Roads,NA ,Tender,180.0,365.0,Sivasagar,785640.0,NA ,NA ,NA ,"O/o Chief Engineer, PWRD, Assam, Chandmari, Ghy-03",No ,No,1.0,Fee/PreQual/Technical,.pdf,Payment Status,04-Apr-2023 04:00 PM,24-Apr-2023 02:30 PM,04-Apr-2023 04:00 PM,24-Apr-2023 02:00 PM,04-Apr-2023 04:00 PM ,24-Apr-2023 12:00 PM ,04-Apr-2023 04:00 PM,24-Apr-2023 02:00 PM,11-May-2023 11:05 AM,"10,000",Nil,Nil,No,"Chief Engineer, PWRD, Assam, Chandmari, Ghy-03","O/o Chief Engineer, PWRD, Assam, Chandmari, Ghy-03",Public Works Roads Department||CE PWD(R) - PWD||Traffic Engineering Cell - PWD,CE/Commn/01/ RIDF-XXVIII/2022-23/5,2023_PWD_30321_34,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,183929,DHRUBAJIT CHETIA,22-Apr-2023 07:15 PM,Rejected-AOC,Not Awarded,19-Aug-2023 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical qualification details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,184088,DONY GOHAIN,24-Apr-2023 01:29 PM,Rejected-AOC,Not Awarded,19-Aug-2023 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,184329,hema chetia,23-Apr-2023 08:59 PM,Rejected-AOC,Not Awarded,19-Aug-2023 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,184203,HITESH DUTTA,21-Apr-2023 09:36 PM,Rejected-AOC,Not Awarded,19-Aug-2023 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of quanitity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,184102,M/S East India Construction,24-Apr-2023 11:07 AM,Accepted-AOC,Awarded,19-Aug-2023 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,184247,M/S SONTOSH SAHEWALLA,22-Apr-2023 09:16 PM,Rejected-AOC,Not Awarded,19-Aug-2023 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,184038,Pulin Gayan,21-Apr-2023 11:54 PM,Rejected-AOC,Not Awarded,19-Aug-2023 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,184450,SAMUDRA GOGOI,24-Apr-2023 11:38 AM,Rejected-AOC,Not Awarded,19-Aug-2023 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,184380,Sri Sanjeev Mathews,23-Apr-2023 09:13 PM,Rejected-AOC,Not Awarded,19-Aug-2023 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,184230,SUNMONI BURAGOHAIN,23-Apr-2023 09:56 AM,Rejected-AOC,Not Awarded,19-Aug-2023 04:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
