Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
Construction of Rajiv Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in Distt. Kangra (H.P). Deposit work(SH-Construction of Retaining wall near Amul Parlor (Adjoining) Sports Facility at RD 0/000 to 0/037).,Construction of Rajiv Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in Distt. Kangra (H.P). Deposit work(SH-Construction of Retaining wall near Amul Parlor (Adjoining) Sports Facility at RD 0/000 to 0/037).,Please refer Tender documents. ,NA ,"15,67,457",Civil Works,NA ,Tender,120.0,90.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,O/o EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,Executive Engineer,O/o EE HP PWD Division Tanda at Nagrota Bagwan,"31,350",No,fixed,,Nil,Nil,18-Jul-2023 04:00 PM,26-Jul-2023 11:30 AM,18-Jul-2023 04:00 PM,26-Jul-2023 10:00 AM,NA ,NA ,18-Jul-2023 04:00 PM,26-Jul-2023 10:00 AM,02-Aug-2023 12:00 PM,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,PWD,Nagrota 18/7,2023_PWD_76356_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Finance,sum,Suresh Kumar Walia,03-Aug-2023 11:19 AM,finance_114211.pdf,Technical,SUM,Suresh Kumar Walia,02-Aug-2023 11:26 AM,technical_114211.pdf,Executive Engineer,Internal,AE Supdt HDM DAO,Suresh Kumar Walia,02-Aug-2023 11:29 AM,02-Aug-2023 12:00 PM,techsummary_114211.pdf,PWD,2023_PWD_76356_1,Nagrota 18/7,Construction of Rajiv Gandhi Govt. Engineering College Kangra at Nagrota Bagwan in Distt. Kangra (H.P). Deposit work(SH-Construction of Retaining wall near Amul Parlor (Adjoining) Sports Facility at RD 0/000 to 0/037).,16-Aug-2023,"INR 1,567,457",90.0,Suresh Kumar Walia,16-Aug-2023 03:36 PM,Award.pdf,aWARD,Executive Engineer,Internal,AE DAo Supdt HDM,Suresh Kumar Walia,03-Aug-2023 11:24 AM,finsummary_114211.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration , Pan No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
