Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
PKVermaE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,18-Aug-2023 04:12 PM,finsummary_115141.pdf (225.23 KB),22-Aug-2023,"INR 2,350,062",30.0,Bhupender Singh,25-Aug-2023 04:15 PM,AjayAOC.pdf (329.00 KB),AOC,PWD,2023_PWD_77038_2,SD-T-III-8875-94 dt.1-8-2023,"Repair Renovation to Minister House Forest Lodge, Shimla-2, (SH - Providing and Fixing Cup Board , floor and Wall tiles , Toilet fittings, Pine wood, Paneling , Ceiling, Painting , Polishing and Distempering etc. Complete )",PKVermaE.E.,Internal,SanjeevChauhanSupdt.KamleshMehtaHDMDeepakSharmaSr.DAO,Bhupender Singh,17-Aug-2023 06:15 PM,18-Aug-2023 09:00 AM,techsummary_115141.pdf (365.07 KB),Technical,BOS,Bhupender Singh,17-Aug-2023 06:15 PM,technical_115141.pdf,1.0,365843.0,Ajay Thakur,11-Aug-2023 04:05 PM,Accepted-AOC,L1,25-Aug-2023,Finance,BOS,Bhupender Singh,18-Aug-2023 10:59 AM,finance_115141.pdf,BOQ Comparative Chart,1.0,365843.0,Ajay Thakur,INR,"2,350,062","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",500.0,Nil,Nil,No,03-Aug-2023 09:00 AM,16-Aug-2023 11:00 AM,03-Aug-2023 09:00 AM,14-Aug-2023 06:00 PM,NA ,NA ,03-Aug-2023 09:00 AM,14-Aug-2023 06:00 PM,18-Aug-2023 09:00 AM,"47,010",No,fixed,,Nil,Nil,1.0,ICICI BANK,"Repair Renovation to Minister House Forest Lodge, Shimla-2, (SH - Providing and Fixing Cup Board , floor and Wall tiles , Toilet fittings, Pine wood, Paneling , Ceiling, Painting , Polishing and Distempering etc. Complete )","Repair Renovation to Minister House Forest Lodge, Shimla-2, (SH - Providing and Fixing Cup Board , floor and Wall tiles , Toilet fittings, Pine wood, Paneling , Ceiling, Painting , Polishing and Distempering etc. Complete )",As per SBD ,NA ,"23,50,062",Civil Works - Buildings,NA ,Tender,75.0,30.0,Forest Lodge,171002.0,NA ,NA ,NA ,"Executive Engineer Shimla Division No.IIIHP.PWD.,",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) and Earnest Money as per schedule F (6.5),PWD,SD-T-III-8875-94 dt.1-8-2023,2023_PWD_77038_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,366173.0,RAJINDER SINGH VERMA,14-Aug-2023 05:00 PM,Accepted-AOC,L2,25-Aug-2023,,,,,,,2.0,366173.0,RAJINDER SINGH VERMA,INR,"2,350,058.47",,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-7/8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Address and Valid Mobile Number,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,
