Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
24-May-2023 10:00 AM,08-Jun-2023 11:30 AM,24-May-2023 10:00 AM,08-Jun-2023 11:00 AM,NA ,NA ,24-May-2023 10:00 AM,08-Jun-2023 11:00 AM,26-Jul-2023 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,PWD,Elect. Division HPPWD Palampur,2023_PWD_73791_5,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Elect. Division HPPWD Palampur,1.0,ICICI BANK,"82,000",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,"C/O Zonal Hospital Dharamshala, Distt. Kangra, HP (SH- Providing Fire Fighting and Sprinkler System in Indoor Block, Blood Bank and Gyane Block in Zonal Hospital at Dharamshala)","C/O Zonal Hospital Dharamshala, Distt. Kangra, HP (SH- Providing Fire Fighting and Sprinkler System in Indoor Block, Blood Bank and Gyane Block in Zonal Hospital at Dharamshala)",Please refer Tender documents. ,NA ,"49,64,907",Electrical Works,NA ,Tender,120.0,365.0,Kangra at Tanda in Distt. Kangra,176001.0,NA ,NA ,NA ,Palampur,No ,No,1.0,corrigendum,Date,,1.0,350762.0,AVINASH FIRE PROTECTION SYSTEM,29-May-2023 06:15 PM,Rejected-Technical,Technically Not Qualified,19-Jul-2023,Technical,as per uploaded document,Dalip singh Patial,19-Jul-2023 11:48 AM,technical_110838.pdf,1.0,349408.0,Sudha Kumari,INR,"4,964,907",Finance,as per uploaded document,Dalip singh Patial,22-Aug-2023 08:45 PM,finance_110838.pdf,BOQ Comparative Chart,PWD,2023_PWD_73791_5,Elect. Division HPPWD Palampur,"C/O Zonal Hospital Dharamshala, Distt. Kangra, HP (SH- Providing Fire Fighting and Sprinkler System in Indoor Block, Blood Bank and Gyane Block in Zonal Hospital at Dharamshala)",Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Dinesh Kumar Supdt. Sh. Sanjay Awasthi DAO Sh. Atul Nag Druaghtsman and duly approved by the S.E. 2nd Elect. Circle HPPWD Dharamshala,Dalip singh Patial,19-Jul-2023 11:52 AM,26-Jul-2023 11:30 AM,techsummary_110838.pdf (557.61 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO Draughtsman,Dalip singh Patial,22-Aug-2023 08:47 PM,finsummary_110838.pdf (22.42 KB),22-Aug-2023,"INR 4,964,907",365.0,Dalip singh Patial,22-Aug-2023 08:48 PM,73791_5.pdf (1213.00 KB)
,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,349411.0,Daksh Enterprises,07-Jun-2023 07:03 AM,Rejected-Technical,Technically Not Qualified,19-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Compliance sheet regarding makes and models as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,349408.0,Sudha Kumari,07-Jun-2023 06:55 AM,Accepted-AOC,L1,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,352750.0,TARUN FIRE SYSTEM,07-Jun-2023 06:21 PM,Rejected-Finance,L2,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Average Financial Turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Similar nature workdone certificate as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Form 7/8 of GCC duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Declaration by the contractor duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
