Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Tender Stage
"1,500",Nil,Nil,No,1.0,SBI Bank,03-Jan-2023 06:55 PM,08-Feb-2023 03:30 PM,03-Jan-2023 06:55 PM,07-Feb-2023 02:00 PM,NA ,NA ,03-Jan-2023 06:55 PM,07-Feb-2023 02:00 PM,19-Jun-2023 03:10 PM,"1,04,060",Yes,percentage,2.0%,Nil,Nil,1.0,date extn,Date,,1.0,Fee/PreQual/Technical,.pdf,SBD,"MD, NHM, Assam","O/o MD, NHM, Assam, Christanbasti, Guwahati-05",Construction of Buildingless Sub Health Centre at Chengelijan SC in Tinsukia District for FY 2021 22 under PM ABHIM on Turnkey basis,Construction of Buildingless Sub Health Centre at Chengelijan SC in Tinsukia District for FY 2021 22 under PM ABHIM on Turnkey basis,Please refer Tender documents. ,NA ,"52,03,000",Civil Works - Building,NA ,Tender,180.0,180.0,Tinsukia,786125.0,NA ,NA ,NA ,"O/o MD, NHM, Assam",No ,No,National Health Mission||State Programme Management Unit - NHM,NHM-32023/11/2022-CONS-NHM/88,2022_NHM_28534_74,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,AOC,Finance,FINANCIAL BID OPENED,Dipjyoti Deka,29-Aug-2023 03:05 PM,,BOQ Comparative Chart,Technical,OFFICE ORDER,Dipjyoti Deka,19-Jun-2023 03:03 PM,technical_45838.pdf,1,174020,DULAL CHANDRA ROY,18-Jan-2023 01:09 AM,Not Admitted-Finance,Not qualified for AOC,29-Aug-2023 03:05 PM,National Health Mission||State Programme Management Unit - NHM,2022_NHM_28534_74,NHM-32023/11/2022-CONS-NHM/88,Construction of Buildingless Sub Health Centre at Chengelijan SC in Tinsukia District for FY 2021 22 under PM ABHIM on Turnkey basis,ED,Internal,,Dipjyoti Deka,19-Jun-2023 03:05 PM,19-Jun-2023 03:10 PM,techsummary_45838.pdf (519.42 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD AND TENDER FEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,176107,INTERIOR DECCOR,01-Feb-2023 01:46 PM,Not Admitted-Finance,Not qualified for AOC,29-Aug-2023 03:05 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL QUALIFICATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,175846,JUGAL PHUKAN,31-Jan-2023 02:23 PM,Rejected-Finance,L3,29-Aug-2023 03:19 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,176128,Kalyan Chetia,01-Feb-2023 09:30 AM,Accepted-AOC,L1,29-Aug-2023 03:24 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FOB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,175850,M/S K N CONSTRUCTION,31-Jan-2023 05:43 PM,Rejected-Finance,L5,29-Aug-2023 03:19 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,175848,M/S M B ENTERPRISE,30-Jan-2023 07:04 PM,Rejected-Finance,L4,29-Aug-2023 03:19 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,176114,MS N.K CONSTRUCTION,01-Feb-2023 10:56 AM,Rejected-Finance,L7,29-Aug-2023 03:19 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,176203,Ram Swarup Yadav,01-Feb-2023 01:36 PM,Not Admitted-Finance,Not qualified for AOC,29-Aug-2023 03:05 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,176095,SAFIKUL ISLAM,01-Feb-2023 10:41 AM,Rejected-Finance,L6,29-Aug-2023 03:19 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,176112,SULABH DOHUTIA,01-Feb-2023 10:33 AM,Rejected-Finance,L2,29-Aug-2023 03:19 PM,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,11,176115,Tikandrajit Moran,01-Feb-2023 10:02 AM,Not Admitted-Finance,Not qualified for AOC,29-Aug-2023 03:05 PM,,,,,,,,,,,,AOC
