EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Auction Initiated Status :,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
"4,22,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"1,180",Nil,Nil,No,procurement of ISI marked PVC twin core cable of assorted sizes,procurement of ISI marked PVC twin core cable of assorted sizes,As per NIT ,"EMD for HP local units registered with HPSEBL is Rs.1,72,000.00 and for other bidders is Rs.4,22,000.00 ","4,22,00,000",Electrical Work/ Equipment,PVC twin core cable ,Tender,120.0,180.0,"Office of Chief Engineer MM, HPSEBL, Shimla",171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM, HPSEBL, Shimla",No ,No,Chief Engineer MM,"HPSEBL, Vidyut Bhawan, Shimla-171004.",26-Apr-2023 06:00 PM,09-May-2023 11:30 AM,26-Apr-2023 06:00 PM,08-May-2023 12:00 PM,NA ,NA ,27-Apr-2023 10:00 AM,08-May-2023 12:00 PM,20-May-2023 11:00 AM,1.0,Fee,.pdf,Proof of Tender Fee,HPSEBL,CE(MM)-6/2023,2023_HPSEB_72481_1,Yes,Open Tender,Tender cum Auction,Goods,3.0,No,Yes,Online,No,No,No,1.0,345277.0,Himachal Aluminium and Conductors,06-May-2023 06:17 PM,Accepted-AOC,Quoted L-I rates,21-Aug-2023,Chief Engineers,Internal,Sr. Executive Engineer III Assistant Engineer III,Chhote Lal Sharma,19-May-2023 04:47 PM,20-May-2023 11:00 AM,techsummary_109019.pdf (337.12 KB),Technical,Technical Opening Summary TE 6 2023,Chhote Lal Sharma,09-May-2023 12:46 PM,technical_109019.pdf,Finance,Auto Opened,Chhote Lal Sharma,20-May-2023 11:15 AM,,Yes,BOQ Comparative Chart,21-Aug-2023,"INR 39,619,199",180.0,Ashok Dhiman,21-Aug-2023 03:52 PM,AwardSummary062023.pdf (380.00 KB),"Purchase order placed on the firm M/s Himachal Aluminium and Conductor, Kangra on dated 05.07.2023",Chief Engineer,Internal,"Sr.E.E.-III, Assistant Engineer",Ashok Dhiman,21-Aug-2023 03:24 PM,finsummary_109019.pdf (379.96 KB),1.0,345277.0,Himachal Aluminium and Conductors,INR,"39,619,199",HPSEBL,2023_HPSEB_72481_1,CE(MM)-6/2023,procurement of ISI marked PVC twin core cable of assorted sizes
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of EMD,,,,,,,,,,,,,,,2.0,344475.0,Saraswati Cables & Allied Industries Pvt Ltd,06-May-2023 05:48 PM,Rejected-Finance,Not quoted L-I rates in all the items.,21-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,"Renewed BIS, ISO certificate, GST registration certificate, undertaking regarding e-reverse Auction",,,,,,,,,,,,,,,3.0,345273.0,UPHAR CABLE INDUSTRIES UNIT - II,06-May-2023 02:59 PM,Not Admitted-Fee,"Others-The firm has not submitted the EMD of Rs.1,72,000 as per NITs requirement",09-May-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",,,,,,,,,,,,,,,4.0,345339.0,V-MARC India Limited,08-May-2023 11:29 AM,Rejected-Finance,Not quoted L-I rates in all the items.,21-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and Type test reports of offered material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Plant Machinery Testing Equipments used for routine test to be carried out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt. Semi Govt. organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bal. sheet and 3 three years turn over duly certified by CA, PAN Card copy,ITR, GST clearance certi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney Board of resolution to sign the bid doc and acceptance of terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Duly signed tender documents and any other requisite documents required as per NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
