Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
EE Nirmand,Executive Engineer outer Seraj Division HPPWD Nirmand,"25,000",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,Construction of Teachers accommodation under Yashwant Gurukul Awas Yojana at Nirmand District Kulllu SH Providing roofing over F F,Construction of Teachers accommodation under Yashwant Gurukul Awas Yojana at Nirmand District Kulllu SH Providing roofing over F F,Please refer Tender documents. ,NA ,"12,30,203",Civil Works,NA ,Tender,90.0,90.0,Nirmand,172023.0,NA ,NA ,NA ,EE Nirmand,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form under general rule 24.1,PWD,No PW OSDN 2569-71 dt 09.06.2023,2023_PWD_75328_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,21-Jun-2023 06:30 PM,27-Jun-2023 11:00 AM,21-Jun-2023 06:35 PM,27-Jun-2023 09:00 AM,NA ,NA ,21-Jun-2023 06:35 PM,27-Jun-2023 09:00 AM,03-Jul-2023 03:25 PM,1.0,356859.0,Chetan Sharma,26-Jun-2023 07:20 PM,Rejected-AOC,reject,02-Aug-2023,Technical,Summary,Rajesh Sharma,03-Jul-2023 03:03 PM,technical_112862.pdf,1.0,356834.0,Ghanshyam,INR,"1,131,787",Finance,Sumary,Rajesh Sharma,28-Jul-2023 12:18 PM,,BOQ Comparative Chart,PWD,2023_PWD_75328_8,No PW OSDN 2569-71 dt 09.06.2023,Construction of Teachers accommodation under Yashwant Gurukul Awas Yojana at Nirmand District Kulllu SH Providing roofing over F F,Er Rajesh Sharma,Internal,Sh Manoj Kumar Supdt Sh Sat Pal DHD,Rajesh Sharma,03-Jul-2023 03:22 PM,03-Jul-2023 03:25 PM,techsummary_112862.pdf (390.39 KB),Er Rajesh Sharma,Internal,Sh Sat pal DHD SH Manoj Kumar Supdt.,Rajesh Sharma,02-Aug-2023 03:45 PM,finsummary_112862.pdf (307.75 KB),02-Aug-2023,"INR 1,137,787",90.0,Rajesh Sharma,02-Aug-2023 03:48 PM,AwardLetter.pdf (465.00 KB),Award Letter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money under general rule 24.2,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,2.0,356834.0,Ghanshyam,27-Jun-2023 07:59 AM,Accepted-AOC,accept,02-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration under general rule 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,356708.0,happy kaith,26-Jun-2023 04:42 PM,Rejected-AOC,reject,02-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G S T registration under general rule 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and work in hand under general rule 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery under general rule 24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turn over for last five year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration under Employees provident fund and miscellaneous provision act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From 8 duly signed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
