S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,ICICI BANK,"1,08,100",No,fixed,,Nil,Nil,PWD,ANNUAL MAINTENANCE PLAN ON PHAL TO KHUNGAN VIA BAT,2023_PWD_67539_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,"2,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,28-Jan-2023 10:30 AM,08-Feb-2023 11:30 AM,28-Jan-2023 10:30 AM,08-Feb-2023 10:30 AM,NA ,NA ,28-Jan-2023 10:30 AM,08-Feb-2023 10:30 AM,15-Feb-2023 04:00 PM,"ANNUAL MAINTENANCE PLAN ON PHAL TO KHUNGAN VIA BATURDA, TIHRI TO SADWIN KOTLU ROAD.",PROVIDING AND LAYING BITUMINOUS CONCRETE 30MM THICK IN KM. 0/00 TO 3/500 AND 2/00 TO 4/00 RESPECTIVELY WITH PAVER FINISHER) (DRRP NO. HP-03-03- VR0113 AND VR0050).,Please refer Tender documents. ,NA ,"75,52,488",Civil Works - Roads,NA ,Tender,60.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,1.0,CORRIGENDUM,Date,,1.0,320841.0,OM PARKASH SHARMA AND SONS,INR,"7,006,977",Finance,FIN BID SUMMARY,Rajinder Singh,27-Feb-2023 02:17 PM,finance_101738.pdf,BOQ Comparative Chart,1.0,320672.0,Maheshrajan,07-Feb-2023 06:54 PM,Rejected-Finance,L1L2L3,27-Feb-2023,Technical,BIDSUMMARY,Rajinder Singh,15-Feb-2023 11:20 AM,technical_101738.pdf,Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Rajinder Singh,15-Feb-2023 11:22 AM,15-Feb-2023 04:00 PM,techsummary_101738.pdf (1514.48 KB),PWD,2023_PWD_67539_1,ANNUAL MAINTENANCE PLAN ON PHAL TO KHUNGAN VIA BAT,"ANNUAL MAINTENANCE PLAN ON PHAL TO KHUNGAN VIA BATURDA, TIHRI TO SADWIN KOTLU ROAD.",18-Aug-2023,"INR 7,552,488",60.0,Rajinder Singh,18-Aug-2023 03:31 PM,FINBIDSUMMARY.pdf (602.00 KB),"ANNUAL MAINTENANCE PLAN ON PHAL TO KHUNGAN VIA BATURDA, TIHRI TO SADWIN KOTLU ROAD",Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Rajinder Singh,27-Feb-2023 02:49 PM,finsummary_101738.pdf (599.67 KB)
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,320841.0,OM PARKASH SHARMA AND SONS,07-Feb-2023 08:51 PM,Accepted-AOC,Work completed,18-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,317453.0,S.S.Chauhans Construction Private Limted,07-Feb-2023 06:41 PM,Rejected-Finance,L1L2L3,27-Feb-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Last Five Years Turn Over duly signed by the C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,11. Bidder must upload the working programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,12. Hot mix plant should be within the radius of 30.00 km(Thirty kilometer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,13. Bidders quoting their rates in violation at the Notification letter No. PBW(B)A(3)1/2020-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,dated Shimla-2 the 07/10/2021 will be debarred for next 6 Months .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
