Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address
11-Aug-2023,"INR 1,307,477",90.0,Rajesh Thakur,11-Aug-2023 03:54 PM,2020_MC_41313_26.pdf (367.00 KB),AOC,EE,Internal,AGM AO,Rajesh Thakur,11-Aug-2023 03:53 PM,finsummary_61075.pdf (314.77 KB),EE,Internal,AGM AO,Rajesh Thakur,20-Oct-2020 01:01 PM,20-Oct-2020 01:25 PM,techsummary_61075.pdf (2371.83 KB),Municipal Corporation Shimla,2020_MC_41313_26,2482Dated18092020,Restoration of rain damages on MC road from ISBT to Upper Panjari RD 0 0 to 0 550 (SH Construction of Retaining wall at RD 0 410 to 0 426 in ward No 10,1.0,182324.0,MADAN SINGH,INR,"1,307,477",Finance,BOS,Rajesh Thakur,03-Jul-2023 12:55 PM,finance_61075.pdf,BOQ Comparative Chart,Technical,bos,Gopesh Behl,20-Oct-2020 09:52 AM,technical_61075.pdf,1,182421,Dalip Singh,14-Oct-2020 07:31 AM,Rejected-Finance,Rejected,11-Aug-2023,1.0,DD - Demand Draft,500.0,Executive Engineer RB MC Shimla,Shimla,No,06-Oct-2020 05:00 PM,14-Oct-2020 11:00 AM,06-Oct-2020 05:00 PM,14-Oct-2020 10:30 AM,NA ,NA ,06-Oct-2020 05:00 PM,14-Oct-2020 10:30 AM,20-Oct-2020 01:25 PM,Restoration of rain damages on MC road from ISBT to Upper Panjari RD 0 0 to 0 550 (SH Construction of Retaining wall at RD 0 410 to 0 426 in ward No 10,Restoration of rain damages on MC road from ISBT to Upper Panjari RD 0 0 to 0 550 (SH Construction of Retaining wall at RD 0 410 to 0 426 in ward No 10,Please refer Tender Documents ,NA ,"16,35,200",Civil Works,NA ,Tender,120.0,120.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,"32,800",No,fixed,,Executive Engineer RB MC Shimla,Shimla,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD as per E Procurement notice,Municipal Corporation Shimla,2482Dated18092020,2020_MC_41313_26,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer RB MC Shimla,Executive Engineer RB MC Shimla
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,182222,himesh,13-Oct-2020 01:17 PM,Rejected-Finance,Rejected,11-Aug-2023,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money in shape of FDR and exemption shall not be allowed,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,182425,Inder Singh Verma,14-Oct-2020 09:33 AM,Rejected-Finance,Rejected,11-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,182330,kartik,13-Oct-2020 07:04 PM,Rejected-Finance,Rejected,11-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,182295,KHAJAN SINGH,13-Oct-2020 04:10 PM,Rejected-Finance,Rejected,11-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor has to deposit FDR on account of 10 percent performance guarantee at the time of award,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,182324,MADAN SINGH,13-Oct-2020 05:00 PM,Accepted-AOC,Accepted,11-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Schedule of Quantity (BOQ),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,182401,narinder kumar,13-Oct-2020 10:59 PM,Rejected-Finance,Rejected,11-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,182394,Prem Prakash Negi,13-Oct-2020 09:17 PM,Rejected-Finance,Rejected,11-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,182258,SUNIL SHARMA,13-Oct-2020 01:46 PM,Rejected-Finance,Rejected,11-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,182135,Vijay Solanky,12-Oct-2020 05:54 PM,Rejected-Finance,Rejected,11-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
