S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
1.0,ICICI BANK,25-Feb-2023 10:00 AM,04-Mar-2023 11:00 AM,25-Feb-2023 10:00 AM,04-Mar-2023 10:00 AM,NA ,NA ,25-Feb-2023 10:00 AM,04-Mar-2023 10:00 AM,23-Mar-2023 02:15 PM,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi","Construction of Government Senior Secondary School at Kheel, Tehsil Karsog, District Mandi HP SH Providing E.I therein","Construction of Government Senior Secondary School at Kheel, Tehsil Karsog, District Mandi HP SH Providing E.I therein",PLZ REFER TO BID DOC ,NA ,"9,98,800",Electrical Works,NA ,Tender,120.0,365.0,KARSOG,175011.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi H.P",No ,No,"20,000",Yes,fixed,,Nil,Nil,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER and EARNEST MONEY INDICATED IN SCHEDULE F,",PWD,PW/MED/TA/NIT/ e-notice/22-23-8391-02 dt 15.02.23,2023_PWD_69400_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Er Munish Bhopal,Internal,Sr Asstt Sr Asstt JDM,Munish Bhopal,23-Mar-2023 01:50 PM,23-Mar-2023 02:15 PM,techsummary_104711.pdf (402.70 KB),PWD,2023_PWD_69400_1,PW/MED/TA/NIT/ e-notice/22-23-8391-02 dt 15.02.23,"Construction of Government Senior Secondary School at Kheel, Tehsil Karsog, District Mandi HP SH Providing E.I therein",03-Aug-2023,"INR 998,800",730.0,Munish Bhopal,28-Aug-2023 01:20 PM,AOC.pdf (365.00 KB),work awarded to Sh. Madan lal Elect Contr being L1,Er Munish Bhopal,Internal,Supdt HDM Sr Asstt,Munish Bhopal,06-Apr-2023 04:23 PM,finsummary_104711.pdf (391.39 KB),1.0,331338.0,MADAN LAL,03-Mar-2023 06:56 PM,Accepted-AOC,work awarded to Sh. Madan lal Elect Contr being L1,28-Aug-2023,Technical,Summary,Suresh Kaushal,16-Mar-2023 03:15 PM,,Finance,Summary,Suresh Kaushal,26-Mar-2023 02:30 PM,,BOQ Comparative Chart,1.0,331338.0,MADAN LAL,INR,"950,807"
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Electrical Contractor enlisted with HPPWD in Class B or C with valid Elect License,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,331396.0,Pawan Kumar,03-Mar-2023 08:05 PM,Rejected-Finance,rejected being L2 contr,06-Apr-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Details as per Technical Qualification Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that never been blacklisted and information furnished with the bid is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidder address format with valid email ID and contact numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
