Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"Annual surfacing on Bhawana Maloh road (Bhawana to Bobar) KM 6/0 to 8/0, Sundernagar Kapahi Leda road KM 0/0 to 1/0 and Kalahod to Jhore via Patrahan road KM 1/0 to 3/0 (V.R.)",SH Providing and laying 30mm thick bituminous concrete including profile correction layer and road marking,As per bid document ,NA ,"78,02,089",Civil Works,Tarring ,Tender,90.0,90.0,In Sunder Nagar Division HPPWD,175018.0,NA ,NA ,NA ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No,Executive Engineer,O/O Executive Engineer HPPWD Division Sunder Nagar,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,"2,000",EE Sundernagar,Sundernagar,No,07-Jun-2023 09:00 AM,23-Jun-2023 11:30 AM,07-Jun-2023 09:00 AM,23-Jun-2023 10:00 AM,NA ,NA ,07-Jun-2023 09:00 AM,23-Jun-2023 10:00 AM,28-Jun-2023 02:00 PM,PWD,PW-SNR-CB-E-Ten/Giriraj- 157-67 dt.6.4.23,2023_PWD_72125_4,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Date Corrigendum,Date,,1.0,ICICI BANK,"1,56,100",Yes,fixed,,EE Sundernagar,Sundernagar,Finance,FBOS,Hitesh Sharma,01-Jul-2023 01:21 PM,finance_111666.pdf,BOQ Comparative Chart,1.0,356101.0,VIKHIL PROJECTS LLP,INR,"7,800,528.15",1.0,356101.0,VIKHIL PROJECTS LLP,22-Jun-2023 04:49 PM,Accepted-AOC,Being L-I and responsive,25-Aug-2023,Technical,BOS,Chaman Singh,27-Jun-2023 02:14 PM,technical_111666.pdf,Er. D.R. Chauhan Executive Engineer,Internal,Er. Hitesh Sharma A.E Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Tek Singh Supdt. Accounts,Chaman Singh,27-Jun-2023 02:20 PM,28-Jun-2023 02:00 PM,techsummary_111666.pdf (522.59 KB),PWD,2023_PWD_72125_4,PW-SNR-CB-E-Ten/Giriraj- 157-67 dt.6.4.23,"Annual surfacing on Bhawana Maloh road (Bhawana to Bobar) KM 6/0 to 8/0, Sundernagar Kapahi Leda road KM 0/0 to 1/0 and Kalahod to Jhore via Patrahan road KM 1/0 to 3/0 (V.R.)",25-Aug-2023,"INR 7,800,528.15",90.0,Chaman Singh,25-Aug-2023 03:45 PM,AOCBhawanaMaloh.pdf (1222.00 KB),AOC issued,Er. Anil Sharma Superintending Engineer 1st Circle HPPWD Mandi,Internal,Executive Engineer (D) 1st Circle Mandi Executive Engineer HPPWD Sundernagar Circle Head Draughtsman,Chaman Singh,25-Aug-2023 03:31 PM,finsummary_111666.pdf (1221.51 KB)
,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work done/ works in hand/ Biding Capacity as per general rules No. 16 and 26.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 refer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
