Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
31-Aug-2016 04:00 PM,09-Sep-2016 11:30 AM,31-Aug-2016 04:00 PM,09-Sep-2016 10:00 AM,NA ,NA ,31-Aug-2016 04:00 PM,09-Sep-2016 10:00 AM,14-Sep-2016 10:30 AM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER INDICATED IN SCHEDULE F,"1,500","Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,No,"53,500",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD Ma",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD Ma","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,DD - Demand Draft,Construction of Regional Research Instititute Ayurveda at Jaral Sayogi at Pandoh Distt Mandi HP SH SITC of Fire alarm therein,Construction of Regional Research Instititute Ayurveda at Jaral Sayogi at Pandoh Distt Mandi HP SH SITC of Fire alarm therein,Please refer to NIT and Bid Document ,NA ,"34,64,509",Electrical Works,NA ,Tender,120.0,730.0,Pandoh Distt Mandi HP,175124.0,NA ,NA ,NA ,"Electrical Division, HP.PWD Mandi",No ,No,1.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,PWD,PW/MED /TA/NIT/e-notice/15-16-3287-91 dt. 23.07.16,2016_PWD_12843_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,44330.0,Insat Techno Services,08-Sep-2016 07:34 PM,Accepted-AOC,accepted being L1,05-Oct-2023,Technical,tech bid summary,Dalip singh Patial,09-Sep-2016 03:28 PM,technical_16636.pdf,Finance,Financial bid summary,Dalip singh Patial,14-Sep-2016 11:35 AM,finance_16636.pdf,BOQ Comparative Chart,1.0,44330.0,Insat Techno Services,INR,"2,714,105",PWD,2016_PWD_12843_1,PW/MED /TA/NIT/e-notice/15-16-3287-91 dt. 23.07.16,Construction of Regional Research Instititute Ayurveda at Jaral Sayogi at Pandoh Distt Mandi HP SH SITC of Fire alarm therein,Er D S Patial,Internal,Smt Karuna Sharma Supdt Sh Naveen Kumar HDM Sh Surender Kumar Sr Asstt,Dalip singh Patial,09-Sep-2016 03:39 PM,14-Sep-2016 10:30 AM,techsummary_16636.pdf (339.62 KB),Er D S Patial,Internal,Smt Karuna Sharma Supdt Sh Naveen Kumar HDM Sh Surender Kumar Sr Asstt,Dalip singh Patial,14-Sep-2016 11:39 AM,finsummary_16636.pdf (444.20 KB),03-Aug-2023,"INR 2,714,105",180.0,Munish Bhopal,05-Oct-2023 11:32 AM,aoc.pdf (415.00 KB),work awarded to M/s Insat Techno Services being L1 firm
,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,2.0,44367.0,PARCS Group of Associates,08-Sep-2016 09:01 PM,Rejected-AOC,rejected being L2,05-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Copy of Approved OEM/Auth. Dealers of approved OEM /Registered Eligible Contr to execute Specl. job,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,"SALES TAX REGITRATION, Service Tax and EPF Number GENERAL RULES NO21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,PERMANENT ACCOUNT NUMBER(PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Attested copies of Work done certificates as per eligibility criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Affidavit by Notary public of both gazetted and non-gazetted HPPWD. Employees related to him GEN RUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Affidavit by Notary public that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
