Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"The Commissioner, GMC","THE COMMISSIONER, GUWAHATI MUNICIPAL CORPORATION, 2nd Floor, STATFED Building,G.M.C.H. Road, Bhangagarh, Guwahati-781005","Improvement of Sewali Path, Hengrabari near Dispur Polyclinic in W/No. 26",Improvement of Various works under Guwahati Municipal Corporation,Please refer Bid Document ,NA ,"49,50,000",Civil Works – Roads,NA ,Tender,90.0,90.0,Guwahati,781005.0,NA ,NA ,NA ,"Office of the Commissioner, Bhangagarh Guwahati-05",No ,No,"1,000",Nil,Nil,No,11-Jan-2023 09:00 AM,17-Jan-2023 02:30 PM,11-Jan-2023 09:05 AM,17-Jan-2023 02:00 PM,NA ,NA ,12-Jan-2023 09:00 AM,17-Jan-2023 02:00 PM,10-Jul-2023 02:00 PM,1.0,Fee/PreQual/Technical,.pdf,Technical Qualification Part,1.0,Technical,Technical Bid,,Guwahati Municipal Corporation,GER/CE/1806/2019/241 Dated-19/12/2022,2022_GMC_28546_82,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,1.0,SBI Bank,"99,000",Yes,fixed,,Nil,Nil,AOC,Technical,Bid has been Opened and Admitted for Technical Evaluation,Chandan Talukdar,23-Jan-2023 11:22 PM,,Guwahati Municipal Corporation,2022_GMC_28546_82,GER/CE/1806/2019/241 Dated-19/12/2022,"Improvement of Sewali Path, Hengrabari near Dispur Polyclinic in W/No. 26","Additional Commissioner, GMC",Internal,"Chief Engineer, Superintending Engineer, All Divisional Engineer, Procurement Officer",Nabajyoti Bordoloi,01-Jul-2023 12:46 PM,10-Jul-2023 02:00 PM,techsummary_46360.pdf (1354.42 KB),1,173224,ACHINTA DAS,16-Jan-2023 07:55 PM,Rejected-Technical,Details Mentioned in the Minutes,01-Jul-2023 12:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,173388,A D Enterprise,14-Jan-2023 07:41 PM,Rejected-AOC,Work Allotted to L1 Bidder,27-Aug-2023 01:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Contractor Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,3,173208,Arihant Sales Corporation,16-Jan-2023 10:18 PM,Rejected-AOC,Work Allotted to L1 Bidder,27-Aug-2023 01:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,4,173602,DAL THOMS SCIENTIFIC,17-Jan-2023 12:06 PM,Rejected-AOC,Work Allotted to L1 Bidder,27-Aug-2023 01:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,5,173382,MAA KAMAKHYA ENTERPRISE,14-Jan-2023 08:08 PM,Rejected-AOC,Work Allotted to L1 Bidder,27-Aug-2023 01:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,6,173418,M/S IMRAN ENTERPRISE,17-Jan-2023 12:50 PM,Rejected-Technical,Details Mentioned in the Minutes,01-Jul-2023 12:45 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,7,173126,M/S KAMALA ENTERPRISE,16-Jan-2023 04:58 PM,Rejected-AOC,Work Allotted to L1 Bidder,27-Aug-2023 01:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,8,173709,M/S TRIKUTA ENTERPRISE,17-Jan-2023 12:50 AM,Accepted-AOC,Work Allotted to L1 Bidder,27-Aug-2023 01:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,9,173669,Partha Pratim Borthakur,16-Jan-2023 10:23 PM,Rejected-AOC,Work Allotted to L1 Bidder,27-Aug-2023 01:17 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,10,173392,SATYASHOBHA TRADING AND SUPPLIES PVT LTD,16-Jan-2023 07:34 PM,Rejected-Technical,Details Mentioned in the Minutes,01-Jul-2023 12:45 PM,AOC
