Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Tender Stage,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Health and Family Welfare Department||Assam Medical Services Corporation Limited,2023_HFWD_29226_1,PROC/AMSCL/15067,MANPOWER SERVICES,1,179718,CLIFFORD FACILITY SERVICES PVT. LTD.,13-Mar-2023 01:14 PM,Not Admitted-Fee/PreQual/Technical,Others-As per Minutes.,17-Apr-2023 06:36 PM,"AMD, AMSCL",Internal,"ADDL. DME, ASSAM, SFC, AMSCL, GM, AMSCL, CFO, AMSCL, Sr. MANAGER, AMSCL, EXE BME, AMSCL",Anirban Talukdar,04-May-2023 12:40 PM,06-May-2023 01:00 PM,techsummary_47063.pdf (1113.67 KB),Technical,Preliminary Technical Evaluation MOM,Anirban Talukdar,17-Apr-2023 06:36 PM,technical_47063.pdf,AOC,1.0,EXTENSION,Date,,"60,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"ACKNOWLEDGEMENT RECEIPT/COPY OF ONLINE SUBMISSION OF TENDER FEE, EMD",08-Feb-2023 03:15 PM,30-Mar-2023 04:30 PM,08-Feb-2023 03:30 PM,30-Mar-2023 02:00 PM,10-Feb-2023 09:00 AM ,16-Feb-2023 03:00 PM ,22-Feb-2023 10:00 AM,30-Mar-2023 02:00 PM,06-May-2023 01:00 PM,"2,000",Nil,Nil,Yes,MD AMSCL,"O/o MD AMSCL, NARENGI, PATHERQUERY, GUWAHATI",MANPOWER SERVICES,RFP FOR MANPOWER SERVI CES,Please refer Tender documents. ,NA ,"30,00,000",Manpower Supply,NA ,Tender,180.0,30.0,GUWAHATI,781026.0,O/o MD AMSCL ,"O/o MD AMSCL, NARENGI, PATHERQUERY, GUWAHATI ",17-Feb-2023 03:30 PM ,O/o MD AMSCL,No ,No,1.0,SBI Bank,Health and Family Welfare Department||Assam Medical Services Corporation Limited,PROC/AMSCL/15067,2023_HFWD_29226_1,Yes,Open Tender,Buy,Services,2.0,No,No,Online,No,No,No,AOC
,,,,2,178345,DEBANGEE ENTERPRISE,01-Mar-2023 11:45 AM,Not Admitted-Fee/PreQual/Technical,Others-As per Minutes.,17-Apr-2023 06:36 PM,,,,,,,,,,,,,AOC,2.0,CORRIGENDUM1,Technical Bid,,,,,,,,,,.pdf,TENDER DOCUMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,3,178966,EASTERN POWER ENGINEERING,11-Mar-2023 12:54 PM,Rejected-Technical,As per minutes,04-May-2023 12:40 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,4,178460,Group5,01-Mar-2023 01:17 PM,Not Admitted-Fee/PreQual/Technical,Others-As per Minutes.,17-Apr-2023 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,5,181668,HRD Commercial & Industrial Security Force Pvt Ltd,30-Mar-2023 08:47 AM,Not Admitted-Fee/PreQual/Technical,Others-As per Minutes.,17-Apr-2023 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,6,178386,Omega Security Solutions,01-Mar-2023 10:26 AM,Rejected-Finance,As per Minutes of the Meeting,19-Jun-2023 02:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,7,181726,PACIFIC INSTITUTE OF TECHNOLOGY AND MANAGEMENT COUNCIL,30-Mar-2023 01:54 PM,Not Admitted-Fee/PreQual/Technical,Others-The bidder has not submitted the court stamp fee,17-Apr-2023 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,8,179337,PRIME SECURITY SERVICE,30-Mar-2023 12:29 PM,Accepted-AOC,Successful Bidder,09-Aug-2023 04:25 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,9,181587,Protection Security Service,29-Mar-2023 07:29 PM,Not Admitted-Fee/PreQual/Technical,Others-As per Minutes.,17-Apr-2023 06:36 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,10,177888,Rajdeep Enterprise,01-Mar-2023 11:39 AM,Rejected-Finance,As per Minutes of the Meeting,19-Jun-2023 02:27 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
