Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1.1,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Technical,Summary,Prithi Pal Singh,11-Apr-2023 12:33 PM,technical_107656.pdf,1.0,340159.0,Ajay Kumar Sood Engineers and Contractors,10-Apr-2023 05:14 PM,Accepted-AOC,Responsive,09-Aug-2023,Finance,Summary,Prithi Pal Singh,13-Apr-2023 12:06 PM,finance_107656.pdf,BOQ Comparative Chart,1.0,340159.0,Ajay Kumar Sood Engineers and Contractors,INR,"79,186,068",PP Singh,Internal,Jagdish Sharma Supdt Gr II Anil Kumar Sr Asstt Suresh sharma Jr. Asstt,Prithi Pal Singh,16-Jun-2023 10:22 AM,finsummary_107656.pdf (521.78 KB),09-Aug-2023,"INR 79,186,068",180.0,Kanav Barota,09-Aug-2023 03:37 PM,AOC.pdf (291.00 KB),AOC,PWD,2023_PWD_71542_2,PW.NH.EE.Thg.Tender-22-6583-92 dt.16.3.2023,Maintenance of NH 22 New NH 05 on Kalka Shimla Wangtoo road in km 153.180 to 236.00,PP Singh,Internal,Jagdish Sharma Supdt Gr II Anil Kumar Sr. Asstt Suresh Sharma Jr.Asstt,Prithi Pal Singh,12-Apr-2023 07:14 PM,13-Apr-2023 09:45 AM,techsummary_107656.pdf (504.05 KB),"17,20,000",No,fixed,,Nil,Nil,1.0,Corrigendum,Date,,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR Number of Payment made against cost of tender form and FDR,1.0,ICICI BANK,Executive Engineer NH Theog,HP PWD NH Theog Division,PWD,PW.NH.EE.Thg.Tender-22-6583-92 dt.16.3.2023,2023_PWD_71542_2,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,24-Mar-2023 06:00 PM,11-Apr-2023 11:00 AM,24-Mar-2023 06:00 PM,10-Apr-2023 06:00 PM,NA ,NA ,24-Mar-2023 06:00 PM,10-Apr-2023 06:00 PM,13-Apr-2023 09:45 AM,Maintenance of NH 22 New NH 05 on Kalka Shimla Wangtoo road in km 153.180 to 236.00,SH C.O B.wall in PCC M 15 at RD 19.915 to 19.923. 21.630 to 21.650 C.O V shape drain at RD 13.00 to 24.250 on different locations P.L DGBM 50 mm BC 40 mm thick RD 13.00 to 20.450 including centre line edge line shoulder and signages etc. P.F W met,Please refer Tender documents. ,NA ,"8,59,50,361",Civil Works - Roads,NA ,Tender,120.0,180.0,NH Theog,171201.0,NA ,NA ,NA ,EE NH Theog,No ,No
,,,,,2.0,339973.0,Atul Sharma,10-Apr-2023 04:49 PM,Rejected-Finance,Non Responsive,16-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Other,,,,.pdf,Contractor registration as per clause 4.3 of ITB,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,340008.0,P K Construction Shimla Pvt Ltd,03-Apr-2023 12:55 PM,Rejected-Finance,Non Responsive,16-Jun-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST Number, EPF Registration and Pan No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid as per Section-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Existing commitments and ongoing works as clause No.1.4(A) of Section-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General work experience (Work done) as per clause 4.5.3 ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working programme(Proposed work method and schedule) as per clause 4.1 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Equipment Capability (List of Machinery) as per clause 4.5.5 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial position (liquid Assets/credit facility) as per clause 4.2(i) and 4.3 (G) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding investment a minimum cash upto 25 percent of the value of the work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
