Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Type :,Summary :,Updated By :,Updated On :,Document :,Auction Initiated Status :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
HPSEBL,TE-CE(MM) 8/2023,2023_HPSEB_72977_1,Yes,Open Tender,Tender cum Auction,Goods,3.0,No,Yes,Online,No,No,No,"11,68,000",Yes,fixed,,Nil,Nil,Procurement of ISI marked ACSR AAAC Conductor of assorted sizes,Procurement of ISI marked ACSR AAAC Conductor of assorted sizes,Please refer Tender documents. ,"EMD for HP Local Units registered with HPSEBL Is Rs 9.18,000 and for other bidder is Rs. 1168000 ","11,68,00,000",Electrical Work/ Equipment,conductor ,Tender,120.0,180.0,"Office of Chief Engineer MM, HPSEBL, Shimla",171004.0,NA ,NA ,NA ,"Office of Chief Engineer MM, HPSEBL, Shimla",No ,No,"1,475",Nil,Nil,No,Chief Engineer MM,Chief Engineer MM HPSEBL Vidyut Bhawan shimla 04,1.0,ICICI BANK,09-May-2023 10:00 AM,20-May-2023 11:30 AM,09-May-2023 10:00 AM,19-May-2023 12:00 PM,NA ,NA ,10-May-2023 10:00 AM,19-May-2023 12:00 PM,08-Jun-2023 11:30 AM,1.0,Fee,.pdf,Proof of Tender Fee,Finance,Auto Opened,Chhote Lal Sharma,08-Jun-2023 11:54 AM,,Yes,BOQ Comparative Chart,Technical,Technical Bid Opening Summary TE No. 8 2023 for the procurement of ACSR AAAC Conductors.,Chhote Lal Sharma,20-May-2023 12:32 PM,technical_109767.pdf,21-Aug-2023,"INR 85,935,044",180.0,Ashok Dhiman,21-Aug-2023 03:46 PM,AwardSummary082023.pdf (455.00 KB),"Three nos purchase order have been placed to the firms Ms Mahavir Transmission Ltd., Noida, Ms Himachal Aluminium and Conductrs, Kangra and Ms Jain Him corporation, Una on dated 21.07.2023.",Chief Engineers,Internal,Sr. Executive Engineer Assistant Engineer,Chhote Lal Sharma,07-Jun-2023 04:53 PM,08-Jun-2023 11:30 AM,techsummary_109767.pdf (498.08 KB),1.0,347597.0,BHARAT ELECTROTECH PRIVATE LIMITED,18-May-2023 10:59 PM,Rejected-Finance,Not quoted L-I rates in all the items.,21-Aug-2023,Chief Engineer,Internal,"Sr.E.E.-III, Assistant Engineer",Ashok Dhiman,21-Aug-2023 03:34 PM,finsummary_109767.pdf (455.43 KB),HPSEBL,2023_HPSEB_72977_1,TE-CE(MM) 8/2023,Procurement of ISI marked ACSR AAAC Conductor of assorted sizes,1.0,347154.0,Himachal Aluminium and Conductors,INR,"6,969,228"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,.pdf,Proof of EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,347154.0,Himachal Aluminium and Conductors,18-May-2023 05:43 PM,Accepted-AOC,Quoted L-I rates,21-Aug-2023,,,,,,,,,,,2.0,347554.0,Mahavir Transmission Limited,INR,"63,293,912"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,"Renewed BIS, ISO certificate, GST registration certificate, undertaking regarding e-reverse Auction",,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,347570.0,JAIN HIM CORPORATION,18-May-2023 08:20 PM,Accepted-AOC,Quoted L-I rates,21-Aug-2023,,,,,,,,,,,3.0,347570.0,JAIN HIM CORPORATION,INR,"15,671,904"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Purchase order /supply orders Copies, performance certificate and list of past supplies",,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,347554.0,Mahavir Transmission Limited,19-May-2023 09:17 AM,Accepted-AOC,Quoted L-I rates,21-Aug-2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GTPs, Drawings and Type test reports of offered material.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Certificate of Registration with industry Deptt., Capacity assessment Certificate,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Plant Machinery Testing Equipments used for routine test to be carried out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Arbitration Court cases and Blacklisting Debarred by any Govt. Semi Govt. organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bal. sheet and 3 three years turn over duly certified by CA, PAN Card copy,ITR GST clearance certi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Power of attorney Board of resolution to sign the bid doc and acceptance of terms and condition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
