Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.2,Bank Name
V. K. Aggarwal,Internal,DAO HDM SUPTD,Vijay Kumar Aggarwal,22-Jul-2023 12:47 PM,finsummary_113803.pdf (498.97 KB),01-Aug-2023,"INR 2,033,646.12",60.0,Vijay Kumar Aggarwal,17-Oct-2023 01:25 PM,AOC_76042_1.pdf (428.00 KB),Awarded to Sh. Ray Sharma,PWD,2023_PWD_76042_1,NAHAN 2578-2607,"Repair of Civil Hospital at Dadahu, District Sirmaur (H.P.)",V. K. Aggarwal,Internal,HDM DAO SUPTD,Vijay Kumar Aggarwal,21-Jul-2023 03:10 PM,21-Jul-2023 03:15 PM,techsummary_113803.pdf (999.29 KB),Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,21-Jul-2023 03:07 PM,technical_113803.pdf,1.0,361285.0,DALIP SINGH,19-Jul-2023 06:15 PM,Rejected-Finance,L3,22-Jul-2023,1.0,361319.0,RAY SHARMA,INR,"1,769,272.12",Finance,Financial Bids opened on 21.07.2023,Vijay Kumar Aggarwal,22-Jul-2023 12:40 PM,,BOQ Comparative Chart,500.0,Nil,Nil,No,10-Jul-2023 05:00 PM,20-Jul-2023 11:00 AM,10-Jul-2023 05:00 PM,20-Jul-2023 10:00 AM,NA ,NA ,10-Jul-2023 05:00 PM,20-Jul-2023 10:00 AM,21-Jul-2023 03:15 PM,Executive Engineer,Executive Engineer HPPWD B and R Division Nahan,PWD,NAHAN 2578-2607,2023_PWD_76042_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"38,500",No,fixed,,Nil,Nil,"Repair of Civil Hospital at Dadahu, District Sirmaur (H.P.)","Repair of Drainage, Sewerage System and Applying of Distempering and Painting Work",As per Bidding Documents ,NA ,,Civil Works - Buildings,NA ,Tender,75.0,60.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD B and R Division Nahan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,1.0,ICICI BANK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,361319.0,RAY SHARMA,19-Jul-2023 07:53 PM,Accepted-AOC,L1,17-Oct-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,2.0,ICICI NEFT/RTGS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,361250.0,Vijay pal,19-Jul-2023 07:37 PM,Rejected-Finance,L2,22-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acknowledgement of up to date filed GST Return,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List a/w Documentary Proof or Affidavit of Machinery and List of Technical Staff,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-7/8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of not having more than 2 Works-in-Hand,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact Detail i.e. e-mail ID and Mobile No. of the Bidder,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,
