Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :
PWD,PW-KD-E-Tender/2023-24-2067-70 dtd 07-08-2023,2023_PWD_77459_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,11-Aug-2023 09:00 AM,18-Aug-2023 11:00 AM,11-Aug-2023 09:00 AM,17-Aug-2023 06:00 PM,NA ,NA ,11-Aug-2023 09:00 AM,17-Aug-2023 06:00 PM,22-Aug-2023 03:50 PM,1.0,ICICI BANK,"28,000",No,fixed,,Nil,Nil,"R/R Damages on Kotkhai Deori Khaneti Deorighat road in K.M. 0/00 to 22/00 C/o R/Wall at R.D. 0/485 to 0/497, B/Wall at R.D. 0/105 to 0/118 and 0/515 to 0/533","C/o R/Wall at R.D. 0/485 to 0/497, B/Wall at R.D. 0/105 to 0/118 and 0/515 to 0/533",Please refer Tender documents. ,NA ,"13,97,307",Civil Works - Roads,NA ,Tender,30.0,45.0,Kotkhai,171202.0,NA ,NA ,NA ,EE Kotkhai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),500.0,Nil,Nil,No,Executive Engineer,HPPWD DIVISION,Finance,summary updated,Vinod Shyam,22-Aug-2023 05:11 PM,finance_115705.pdf,BOQ Comparative Chart,1.0,366781.0,HEM LATA,INR,"1,455,094",1.0,366781.0,HEM LATA,17-Aug-2023 05:29 PM,Accepted-AOC,lowest bidder to awarded the work,28-Aug-2023,Technical,summary updated,Vinod Shyam,22-Aug-2023 03:45 PM,technical_115705.pdf,PWD,2023_PWD_77459_4,PW-KD-E-Tender/2023-24-2067-70 dtd 07-08-2023,"R/R Damages on Kotkhai Deori Khaneti Deorighat road in K.M. 0/00 to 22/00 C/o R/Wall at R.D. 0/485 to 0/497, B/Wall at R.D. 0/105 to 0/118 and 0/515 to 0/533",Executive Engineer,Internal,"XEN, AE, Supdt. HDM",Vinod Shyam,22-Aug-2023 03:46 PM,22-Aug-2023 03:50 PM,techsummary_115705.pdf (850.81 KB),Executive Engineer,Internal,"XEN, AE, Supdt. Gr.II, HDM",Vinod Shyam,22-Aug-2023 05:15 PM,finsummary_115705.pdf (182.48 KB),28-Aug-2023,"INR 1,397,307",45.0,Vinod Shyam,28-Aug-2023 12:13 PM,1.pdf (699.00 KB)
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,2.0,366787.0,MAHENDER SHARMA,17-Aug-2023 05:52 PM,Rejected-Finance,L2 BIDDER,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,3.0,366780.0,M/s Pardeep Sublaik,17-Aug-2023 05:54 PM,Rejected-Technical,Not-Qualified,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
