S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.3,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,343663.0,Amit sood contractor,24-Apr-2023 03:36 PM,Not Admitted-Finance,Not qualified for AOC,08-Aug-2023,Executive Engineer,Internal,,Amit Mirupa,29-Apr-2023 02:58 PM,29-Apr-2023 03:00 PM,techsummary_108711.pdf (79.86 KB),08-Aug-2023,"INR 1,978,929",180.0,Amit Mirupa,08-Aug-2023 03:35 PM,TOS.pdf (25.00 KB),Technical,Dive contractors participated in bid,Amit Mirupa,29-Apr-2023 02:56 PM,technical_108711.pdf,Finance,Daviunder Pal found L1,Amit Mirupa,08-Aug-2023 03:28 PM,finance_108711.pdf,BOQ Comparative Chart,1.0,Revocation,Revocation,29-Apr-2023 02:03 PM,TOS.pdf ,12.81,Technical Opening,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",2023_HPIPH_72239_1,366-416,A R and M O Sewerage Scheme Kullu Town in tehsil and Distt. Kullu,1.0,343885.0,Davinder pal Singh,INR,"1,978,929",Executive Engineer,Internal,,Amit Mirupa,08-Aug-2023 03:30 PM,finsummary_108711.pdf (25.43 KB),1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as per NIT,Executive Engineer,JSV Division Kullu,1.0,Date Corrigendum,Date,,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu -1,Irrigation and Public Health,HP",366-416,2023_HPIPH_72239_1,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Both(Online/Offline),No,No,No,A R and M O Sewerage Scheme Kullu Town in tehsil and Distt. Kullu,"Operation, repair and maintenance of 0.38 STP MLD at Badah Bihal including main trunk, distribution network 7.86 Km for a period of six months",Please refer Tender documents. ,NA ,"29,42,298",Civil Works,NA ,Tender,90.0,NA ,Kullu,175101.0,NA ,NA ,NA ,JSV Division Kullu,No ,No,"51,640",Yes,fixed,,EE,JSV Division Kullu,400.0,EE,JSV Division Kullu,No,13-Apr-2023 05:00 PM,27-Apr-2023 11:30 AM,14-Apr-2023 10:00 AM,26-Apr-2023 05:00 PM,NA ,NA ,14-Apr-2023 10:00 AM,26-Apr-2023 05:00 PM,29-Apr-2023 03:00 PM
2.0,343885.0,Davinder pal Singh,24-Apr-2023 04:39 PM,Accepted-AOC,L1,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of tender form in the form of DD furnished to EE JSV division Kullu or through online portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,343884.0,GURBACHAN SING,26-Apr-2023 11:14 AM,Not Admitted-Finance,Not qualified for AOC,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration certificate in HP JSV Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,343777.0,Narender Thakur,24-Apr-2023 01:09 PM,Rejected-Technical,Not Compiled with technical specification,29-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN, GST, EPF registration",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,343791.0,vinay sharma contractor,24-Apr-2023 04:21 PM,Not Admitted-Finance,Not qualified for AOC,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of undertaking that the bidder has not been blacklisted as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done/Experience certificate as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Resource Deployment Plan as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of MOU with NABL accredited lab as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking that the bidder has read all the terms and conditions of Form 6 and 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
