Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
350.0,Nil,Nil,No,1.0,ICICI BANK,Construction of Darjolidhar to Mohari road km. 0.00 to 3.00,"Construction of PCC Breast wall at RD 0.440 to 0.554, 0/680 to 0.699.50 and 2.082 to 2.087.50 balance work",As per GCC ,NA ,"4,69,095",Civil Works - Roads,NA ,Tender,30.0,30.0,H.P.P.W.D.,171201.0,NA ,NA ,NA ,Theog Division,No ,No,"9,400",No,fixed,,Nil,Nil,Executive Engineer,"Theog Division ,HP.PWD., Theog",20-Jun-2023 05:00 PM,30-Jun-2023 11:00 AM,20-Jun-2023 05:00 PM,28-Jun-2023 05:00 PM,NA ,NA ,20-Jun-2023 05:00 PM,28-Jun-2023 05:00 PM,07-Aug-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,PWD,THD/CB-tender/2023-2829-43,2023_PWD_75256_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Er.Arvind Kumar Bhardwaj E.E,Internal,"Sant Ram, Supdt. Gr-II, Jia Lal, Head D/man, Leela Verma, Sr. Asstt.",Ajay Gazta,05-Aug-2023 09:31 AM,07-Aug-2023 11:00 AM,techsummary_112717.pdf (522.23 KB),PWD,2023_PWD_75256_1,THD/CB-tender/2023-2829-43,Construction of Darjolidhar to Mohari road km. 0.00 to 3.00,19-Aug-2023,"INR 469,095",30.0,Arvind Kumar Bhardwaj,05-Dec-2023 01:14 PM,Awarddarjoli.pdf (636.00 KB),Award letter,Er.Arvind Kumar Bhardwaj E.E,Internal,"Jia Lal, Head Draughtsman",Ajay Gazta,19-Aug-2023 11:02 AM,finsummary_112717.pdf (420.01 KB),1.0,357152.0,Mohinder Verma,INR,"482,697",Finance,Financial bid opening summary,Ajay Gazta,08-Aug-2023 11:10 AM,finance_112717.pdf,BOQ Comparative Chart,1.0,357144.0,Kuldeep Singh,27-Jun-2023 01:28 PM,Rejected-Finance,Being higher rates,19-Aug-2023,Technical,Bid Opening summary,Ajay Gazta,04-Aug-2023 02:42 PM,technical_112717.pdf
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,357152.0,Mohinder Verma,27-Jun-2023 02:01 PM,Accepted-AOC,Being L1,05-Dec-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
