Name,Address,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
SE (OP) Circle Nahan,SE (OP) Circle Nahan,1.0,Fee/PreQual/Technical,.pdf,Fee and EMD,1.0,corigendum,Date,,07-Jul-2023 09:00 AM,17-Jul-2023 03:00 PM,07-Jul-2023 10:00 AM,17-Jul-2023 11:00 AM,07-Jul-2023 11:00 AM ,15-Jul-2023 03:00 PM ,07-Jul-2023 12:00 PM,17-Jul-2023 11:00 AM,18-Jul-2023 04:40 PM,"45,470",No,fixed,,Nil,Nil,"1,180",Nil,Nil,No,HPSEBL||CE(OP) South||SE(OP) Nahan,OCN/DB-27/NIT-No-14/2023-24,2023_HPSEB_75951_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,OCN/DB-27/NIT No-14/2023-24,"E-Tender for Prov. SOP to 6TH IRBN Dhaulakuan by Providing 11 kV HT, LT Line along with 11/.4 KV 3x250 KVA DTR with CT/PT and metering equipments from 33/11 kV Substation Dhaulakuan under ESD Dhaulakuan under Deposit Scheme",A Class License with similar nature of work experience ,NA ,"45,46,608",Electrical Works,HT LT and Sub-Station ,Tender,90.0,90.0,Dhaulakuan,173001.0,NA ,NA ,NA ,(OP) Circle Nahan,No ,No,1.0,360017.0,DHARMENDER VERMA,13-Jul-2023 09:55 AM,Rejected-Finance,L3,19-Jul-2023,Er. Darshan Singh,Internal,"AO/Sr. XEN, AAO and CHDM",Darshan Singh,18-Jul-2023 04:34 PM,18-Jul-2023 04:40 PM,techsummary_113650.pdf (299.22 KB),03-Aug-2023,"INR 3,409,956",80.0,Darshan Singh,03-Aug-2023 01:11 PM,LOA.pdf (370.00 KB),"LOA Issued to M/s Nasir Mohd., Rawat amounting to Rs. 34,09,956/- (Thirty-Four Lac Nine Thousand Nine Hundred Fifty-Six only)",Technical,Techno-commercial bid opened,Darshan Singh,17-Jul-2023 05:50 PM,,Finance,price Bid Opened,Darshan Singh,18-Jul-2023 04:47 PM,,BOQ Comparative Chart,Er. Darshan Singh,Internal,"AO/Sr.XEN, AAO and CHDM",Darshan Singh,19-Jul-2023 07:18 PM,finsummary_113650.pdf (299.22 KB),1.0,359572.0,Nasir Mohd Rawat,INR,"3,409,956",HPSEBL||CE(OP) South||SE(OP) Nahan,2023_HPSEB_75951_1,OCN/DB-27/NIT-No-14/2023-24,OCN/DB-27/NIT No-14/2023-24
,,,,.pdf,A Class License with CEI of HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,2.0,359488.0,M/S GUPTA ELECTRICALS,10-Jul-2023 05:46 PM,Rejected-Finance,L4,19-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Similar nature of Work experience as per SBD Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,359699.0,M/s Sharma Electrical,12-Jul-2023 11:51 PM,Rejected-Finance,L2,19-Jul-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,EPF/ESI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,359572.0,Nasir Mohd Rawat,14-Jul-2023 09:39 PM,Accepted-AOC,Accepted due to L1,03-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Affadavit required as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,GST/PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Joint venture applicable as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.pdf,Turnover verified with CA/ITR/Bid capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.xls,Bid Capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,.xls,Checklist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.0,Finance,.xls,price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
