S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address
1.0,360664.0,VINOD KUMAR PANWAR GOVT CONTRACTOR,INR,"428,678",HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,2023_HPSEB_75709_1,HPSEBL/AED/NIT-16/2023-24,Erection of HT LT DTR at Syar Market Darlaghat under Capex Scheme,Seniorexecutiveengineer,Internal,"Sr. Exen. ED Arki,Divisional Accountant,SDO ESD Darla",Devender Koundal,08-Aug-2023 03:16 PM,finsummary_113348.pdf (468.70 KB),Seniorexecutiveengineer,Internal,"Sr.Xen. Arki, Divisional accountant Arki, SDO Electrical Sub division Darla",Devender Koundal,07-Aug-2023 04:46 PM,07-Aug-2023 04:50 PM,techsummary_113348.pdf (468.71 KB),1.0,359546.0,HARI CONSTRUCTION COMPANY,10-Jul-2023 02:53 PM,Rejected-Technical,Documents not found,07-Aug-2023,Finance,Financial Bid open,Devender Koundal,07-Aug-2023 04:57 PM,finance_113348.pdf,BOQ Comparative Chart,Technical,tender opened,Devender Koundal,21-Jul-2023 01:44 PM,technical_113348.pdf,08-Aug-2023,"INR 428,678",60.0,Devender Koundal,08-Aug-2023 03:20 PM,award54.pdf (4180.00 KB),Awarded to Lowest Bidder,01-Jul-2023 02:00 PM,21-Jul-2023 01:00 PM,01-Jul-2023 03:00 PM,20-Jul-2023 03:00 PM,NA ,NA ,01-Jul-2023 03:00 PM,20-Jul-2023 03:00 PM,07-Aug-2023 04:50 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Tender Document fee and earnest money receipt,HPSEBL||CE(OP) South||SE(OP) Solan||Sr. Xen(E) Arki,HPSEBL/AED/NIT-16/2023-24,2023_HPSEB_75709_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Erection of HT LT DTR at Syar Market Darlaghat under Capex Scheme,Erection of HT LT DTR at Syar Market Darlaghat under Capex Scheme,Please refer Tender documents. ,NA ,"4,57,158",Electrical Works,NA ,Tender,180.0,60.0,Under ED Arki,173208.0,NA ,NA ,NA ,ED Arki,No ,No,"4,571",Yes,fixed,,Nil,Nil,1.0,NIT16/2023-24Extended,Date,,590.0,Nil,Nil,No,Sr. Executive engineer,"Electrical Division HPSEBL,Arki"
,,,,,,,,,,,,,,,,,,,,,,2.0,359063.0,VINAY KUMAR SHARMA,10-Jul-2023 01:43 PM,Rejected-Finance,Higher Rates,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Technical and comm.work Experience of similar nature of work as per clause no 1.01 and 1.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.0,360664.0,VINOD KUMAR PANWAR GOVT CONTRACTOR,16-Jul-2023 07:35 PM,Accepted-AOC,Lowest Bidder,08-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Class -A contractor Licence as per clause 1.01.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Detail of net worth, avg. financial turnover, liquid asset as per clause 1.02.2,1.02.3,1.02.4 fromCA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Bidder shall satisfy Bid capacity as clause 1.02.5 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,In case a bid is submitted by a joint venture all the qualification should be full as clause1.02.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate from banker as per clause 2.01.1 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Litigation history as per clause 2.01.4 ,Non blacklisting Affidavit,No deviation certi.as per Bid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"No change of ownership (ITB vol-1,Sec-IIclause2.3.2 and letter of undertaking/Bid validity as per SB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST and EPF registration,pan,self undertake of completion of work and studied all term and condition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
