Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
02-Jan-2019 11:00 AM,16-Jan-2019 11:00 AM,02-Jan-2019 11:30 AM,15-Jan-2019 06:00 PM,NA ,NA ,02-Jan-2019 11:30 AM,15-Jan-2019 06:00 PM,23-Jan-2019 12:00 PM,"1,500",EE Jubbal,Jubbal,No,"64,800",No,fixed,,EE Jubbal,Jubbal,PWD,PW-JD/E-Tender/2018-19 -10177 -79 DT.15.12.2018,2019_PWD_25690_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,C/O Dochi Bari Markandli Road Km 0/0 to 3/0,"SH Formation cutting 5/7 mtr wide at RD 0/255 to 3/0,Retaining walls and Breast walls,Providing Kharanja soling at various slushy reaches in Km 0/0 to 3/0",Please refer Tender documents. ,NA ,"38,18,206",Civil Works - Roads,NA ,Tender,120.0,60.0,Jubbal,171205.0,NA ,NA ,NA ,Jubbal,No ,No,Executive Engineer Jubbal,HPPWD JUBBAL,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),PWD,2019_PWD_25690_7,PW-JD/E-Tender/2018-19 -10177 -79 DT.15.12.2018,C/O Dochi Bari Markandli Road Km 0/0 to 3/0,Er.Rakesh Thakur,Internal,,Manoj Bhardwaj,23-Jan-2019 11:57 AM,23-Jan-2019 12:00 PM,techsummary_35994.pdf (445.62 KB),Er Rakesh Thakur,Internal,hdm supdt dao,Prem Pal Sharma,17-Apr-2019 04:00 PM,finsummary_35994.pdf (436.91 KB),18-Aug-2023,"INR 4,022,009",60.0,Virender Rajta,18-Aug-2023 03:17 PM,1.pdf (883.00 KB),1.0,107372.0,Dev Khimta,INR,"4,023,102",Finance,Bid Opening Summary,Manoj Bhardwaj,01-Feb-2019 12:59 PM,finance_35994.pdf,BOQ Comparative Chart,1.0,107716.0,Basant Singh,15-Jan-2019 01:52 PM,Rejected-AOC,ok,18-Aug-2023,Technical,Bid Opening Summary,Manoj Bhardwaj,23-Jan-2019 11:47 AM,technical_35994.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,107755.0,BRIJ BUSHAN BANSHTU,15-Jan-2019 05:32 PM,Rejected-AOC,ok,18-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,107372.0,Dev Khimta,15-Jan-2019 02:25 PM,Accepted-AOC,ok,18-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,107720.0,MAHAVIR SINGH JHAGTA,15-Jan-2019 03:27 PM,Rejected-AOC,ok,18-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,107757.0,Prittam Aukta,15-Jan-2019 05:51 PM,Rejected-AOC,ok,18-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,107250.0,Sanjeev Dulta,14-Jan-2019 03:47 PM,Rejected-AOC,ok,18-Aug-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
