Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Bank Name,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
PWD,1477-84--2,2023_PWD_74870_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,12-Jun-2023 03:40 PM,20-Jun-2023 02:00 PM,12-Jun-2023 03:40 PM,19-Jun-2023 05:00 PM,NA ,NA ,12-Jun-2023 03:40 PM,19-Jun-2023 05:00 PM,22-Jun-2023 01:00 PM,1.0,Fee/PreQual/Technical,.pdf,cost of tender form GR.26.1,"Periodical Maintenance on Koltlu Nainj road HP0806 VR004429301 to HP0836 VR 004429305 (SH- Providing and laying 30mm bituminous concrete, thermoplastic paint in Km. 0/000 to 5/000).","Periodical Maintenance on Koltlu Nainj road HP0806 VR004429301 to HP0836 VR 004429305 (SH- Providing and laying 30mm bituminous concrete, thermoplastic paint in Km. 0/000 to 5/000).",Please refer Tender documents. ,NA ,"79,03,842",Civil Works - Roads,NA ,Tender,120.0,120.0,karsog,175011.0,NA ,NA ,NA ,O/O EE HPPWD Division Karsog,No ,No,EE HP PWD Karsog,O/O EE HPPWD Division Karsog,"1,58,100",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,ICICI BANK,PWD,2023_PWD_74870_1,1477-84--2,"Periodical Maintenance on Koltlu Nainj road HP0806 VR004429301 to HP0836 VR 004429305 (SH- Providing and laying 30mm bituminous concrete, thermoplastic paint in Km. 0/000 to 5/000).",EE Karsog,Internal,Proceeding attached.,Arvind Kumar Bhardwaj,22-Jun-2023 11:12 AM,22-Jun-2023 01:00 PM,techsummary_112171.pdf (358.26 KB),Arvind Kumar Bhardwaj,Internal,Summary Attached.,Arvind Kumar Bhardwaj,18-Jul-2023 11:36 AM,finsummary_112171.pdf (218.54 KB),24-Aug-2023,"INR 8,140,957",120.0,Chaman Singh,24-Aug-2023 03:07 PM,AOCKsg.pdf (275.00 KB),AOC issued to L-1,1.0,355270.0,PURAN CHAND,19-Jun-2023 03:20 PM,Accepted-AOC,Being Lowest,24-Aug-2023,Technical,Attached.,Arvind Kumar Bhardwaj,21-Jun-2023 04:38 PM,technical_112171.pdf,1.0,355270.0,PURAN CHAND,INR,"8,140,957",Finance,attached.,Arvind Kumar Bhardwaj,24-Jun-2023 03:53 PM,finance_112171.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD Gr 26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,2.0,355278.0,SANJAY MAHAJAN GOVT CONT,19-Jun-2023 02:17 PM,Rejected-Finance,Not found L-I,18-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,contractor registration copy GR 26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration g.r. rule 26.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tools plants GR 26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF miscellaneous provision gr rule25a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,report of charter Accountant 28.2q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum work done gr 28.2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The contractor should have his own hot mix plant and all the machineries as per Schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
