S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
1.0,348192.0,Vinay Thakur,INR,"37,867,322",Finance,Summary,Jai Lal Kanta,08-Jun-2023 02:31 PM,finance_109781.pdf,BOQ Comparative Chart,Technical,SUMMARY,Jai Lal Kanta,27-May-2023 03:29 PM,technical_109781.pdf,1.0,347631.0,Ranjeet Singh,17-May-2023 10:22 PM,Rejected-Finance,L2,08-Jun-2023,Er Ram Singh,Internal,"Sh Rajiv Sharma Supdt, Sh Pawan Kumar Sr. Asstt. Smt Neelam JDM",Jai Lal Kanta,08-Jun-2023 02:39 PM,finsummary_109781.pdf (121.55 KB),16-Aug-2023,"INR 37,867,322",365.0,Jai Lal Kanta,28-Aug-2023 03:19 PM,Scan1.PDF (168.00 KB),AOC,PWD,2023_PWD_72982_1,PW/SRN/CB/Tender/-23-532-52 dated03/05/2023,"Upgradation and strengthening of Naina Tikker Deothal Oachghat road km 0/0 to 22/630 (22/170) Under NABARD (SH Removal of formation deficiency P/L WBMIII Metaling Tarring Side drain, Parapets and Road sign board in between Km 14/260 (13/800)",Er Ram Singh,Internal,"Sh Rajiv Sharma Supdt, Sh Pawan Kumar Sr. Asstt. Smt Neelam JDM",Jai Lal Kanta,27-May-2023 03:45 PM,27-May-2023 03:50 PM,techsummary_109781.pdf (138.65 KB),PWD,PW/SRN/CB/Tender/-23-532-52 dated03/05/2023,2023_PWD_72982_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,Yes,EE HPPWD Sarahan,HPPWD DIvision Sarahan,"Upgradation and strengthening of Naina Tikker Deothal Oachghat road km 0/0 to 22/630 (22/170) Under NABARD (SH Removal of formation deficiency P/L WBMIII Metaling Tarring Side drain, Parapets and Road sign board in between Km 14/260 (13/800)","Upgradation and strengthening of Naina Tikker Deothal Oachghat road km 0/0 to 22/630 (22/170) Under NABARD (SH Removal of formation deficiency P/L WBMIII Metaling Tarring Side drain, Parapets and Road sign board in between Km 14/260 (13/800)",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,365.0,HPPWD Sarahan,173024.0,NA ,NA ,NA ,HPPWD Division Sarahan Sirmour,No ,No,"8,89,190",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER,08-May-2023 06:50 PM,20-May-2023 11:00 AM,08-May-2023 06:55 PM,19-May-2023 05:00 PM,NA ,NA ,08-May-2023 06:55 PM,19-May-2023 05:00 PM,27-May-2023 03:50 PM
,,,,,,,,,,,,,,,,2.0,348192.0,Vinay Thakur,19-May-2023 04:42 PM,Accepted-AOC,Work Awarded,28-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EARNEST MONEY,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"THE CONTRACTOR IS REQUIRED TO STUDY GENERAL RULES DIRECTIONS, CONDITIONS, CONTRACT CLAUSES Refer G",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen.,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover in any of the last five years,,,,,,,,,
