Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Technical,ALL ARE RESPONSIVE,Baldev Singh,05-Jul-2022 08:54 PM,technical_92818.pdf,1.0,286857.0,ANIL MAHAJAN,15-Jun-2022 12:13 PM,Not Admitted-Finance,Not qualified for AOC,19-Jul-2022,1.0,285715.0,V S SAINI,INR,"14,297,876",Finance,SR. NO. 1 IS ADMITTED,Baldev Singh,19-Jul-2022 09:08 AM,finance_92818.pdf,BOQ Comparative Chart,SE,Internal,EE EE(D) AE SUPDT DAO,Baldev Singh,19-Jul-2022 09:08 AM,finsummary_92818.pdf (194.04 KB),21-Aug-2023,"INR 14,297,876",365.0,Narinder Chaudhary,21-Aug-2023 02:17 PM,1.pdf (1105.00 KB),The work has been awarded to sh. VS Saini,PWD,2022_PWD_61503_1,SEIX/WS/WA-III/2022-23-1503-07,Construction of road from Trah to Chamara Km. 0/000 to 2/300,SE,Internal,EE EE(D) DAO,Baldev Singh,05-Jul-2022 08:55 PM,08-Jul-2022 11:00 AM,techsummary_92818.pdf (11710.88 KB),1.0,ICICI BANK,"4,09,000",No,fixed,,Nil,Nil,PWD,SEIX/WS/WA-III/2022-23-1503-07,2022_PWD_61503_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,07-Jun-2022 02:00 PM,16-Jun-2022 11:00 AM,07-Jun-2022 02:00 PM,15-Jun-2022 05:00 PM,NA ,NA ,07-Jun-2022 02:00 PM,15-Jun-2022 05:00 PM,08-Jul-2022 11:00 AM,"5,000",Nil,Nil,No,EXECUTIVE ENGINEER,SUPERINTENDING ENGINEER 9TH CIRCLE,1.0,Fee/PreQual/Technical,.pdf,SBD DOCUMENTS,Construction of road from Trah to Chamara Km. 0/000 to 2/300,"Formation cutting, Retaining wall, Breast wall, Cross drianage , Metalling tarring, PCC drain, Parapets and road furniture etcetra including five year Routine maintenance) under NABARD RIDF XXVII",Please refer Tender documents. ,NA ,"2,04,25,356",Civil Works,NA ,Tender,120.0,365.0,INDORA,176401.0,NA ,NA ,NA ,O/O. EXECUTIVE ENGINEER,No ,No
,,,,,2.0,286890.0,M/s R.K Mahajan Govt Contractor,15-Jun-2022 01:43 PM,Not Admitted-Finance,Not qualified for AOC,19-Jul-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COST OF TENDER FORM .EARNEST MONEY ON LINE SLIPS,,,,,,,,,,,,,,,,,,
,,,,,3.0,286782.0,Ravinder Kumar,15-Jun-2022 01:08 PM,Not Admitted-Finance,Not qualified for AOC,19-Jul-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF GST NO . PAN NO. EPF NO . REGISTRAION NO,,,,,,,,,,,,,,,,,,
,,,,,4.0,285715.0,V S SAINI,14-Jun-2022 04:58 PM,Accepted-AOC,1st lowest,21-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANNUAL TURNOVER CERTIFICATE FROM CA LAST FIVE YEAR,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATE SIMILAR NATURE LAST FIVE YAER DULY SIGEND BY THE CONCERNED EE,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDEVIT FOR CORRECTNESS OF INFROMATION FURNISHED REGARDING NAMELE WORK,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,LIST OF REQUIRED MACHINARES,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFEDEVIT THAT NO NEAR RELATIVE IS WORKING AS GAZZATTED/ NEAR GAZZETED OFFICER IN HPPWD,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Additional BOQ,,,,,,,,,,,,,,,,,,
