Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.2,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description
22-Aug-2023,"INR 690,722",60.0,Arvind Lakhanpal,22-Aug-2023 04:24 PM,Lambhera.pdf (780.00 KB),Award,EE,Internal,SUPDT/HDM/DAO,Arvind Lakhanpal,14-Sep-2021 06:50 PM,finsummary_74647.pdf (116.70 KB),EE,Internal,Supdt/HDM/AE,Arvind Lakhanpal,23-Jul-2021 01:00 PM,24-Jul-2021 10:30 AM,techsummary_74647.pdf (1645.20 KB),PWD,2021_PWD_49894_1,No.PWD/TDD/GA-TD-,C/O Amublance (jeepable standed) road Lambera to Dhangota Brahaman km. 0/0 to 2/0,Finance,prebid,Arvind Lakhanpal,14-Sep-2021 06:48 PM,finance_74647.pdf,BOQ Comparative Chart,1.0,224037.0,SAJEEV KUMAR GOVT.CONTRACTOR,INR,"690,722",Technical,summary,Arvind Lakhanpal,20-Jul-2021 12:18 PM,technical_74647.pdf,1.0,224133.0,ASHWANI KUMAR GOVT. CONTRACTOR,20-Jul-2021 10:06 AM,Accepted-AOC,L1,22-Aug-2023,PWD,No.PWD/TDD/GA-TD-,2021_PWD_49894_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"15,600",No,fixed,,Nil,Nil,C/O Amublance (jeepable standed) road Lambera to Dhangota Brahaman km. 0/0 to 2/0,"P/L GSB, WMM and M/T at RD. 0/0 to 0/204, 0/375 to 0/427.50.",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,90.0,60.0,Executive Engineer Tauni Devi Division,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,14-Jul-2021 06:00 PM,20-Jul-2021 11:00 AM,14-Jul-2021 06:00 PM,20-Jul-2021 11:00 AM,NA ,NA ,14-Jul-2021 06:00 PM,20-Jul-2021 11:00 AM,24-Jul-2021 10:30 AM,1.0,ICICI BANK,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,fee online
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,224089.0,MOHINDER PAL GOVT. CONTRACTOR,INR,"690,722",,,,,,2.0,224089.0,MOHINDER PAL GOVT. CONTRACTOR,20-Jul-2021 09:38 AM,Accepted-AOC,L2,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,EMD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,224133.0,ASHWANI KUMAR GOVT. CONTRACTOR,INR,"690,722",,,,,,3.0,224037.0,SAJEEV KUMAR GOVT.CONTRACTOR,20-Jul-2021 09:30 AM,Accepted-AOC,L3,22-Aug-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant as per SBD"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no pending litigation with the Department
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF or Pradhan Mantri Shram Yogi Mann-Dhan (PM-SYM) No. along with latest return must be attached.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ
