Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :
PWD,ANNUAL MAINTENANCE PLAN ON BUMBLOO BRIDGE TO KATHI,2023_PWD_67531_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"1,25,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,"ANNUAL MAINTENANCE PLAN ON BUMBLOO BRIDGE TO KATHIANA, SOHARI TO KACHWIN, BANI PALHRA ROAD VIA ITI DHABRIANA AND JIRALARI AGHAR ROAD VIA CHEK LOHDAR MEENA KA DEHRA","PROVIDING AND LAYING BITUMINOUS CONCRETE 30MM THICK IN KM. 5/00 TO 7/900, 2/00 TO 3/00, 3/00 TO 5/00 AND 2/00 TO 2/830 RESPECTIVELY WITH PAVER FINISHER) (DRRP NO. HP-03-05- VR0073, VR0048, VR0087 AND VR0107)",Please refer Tender documents. ,NA ,"92,99,645",Civil Works - Roads,NA ,Tender,60.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,1.0,ICICI BANK,"2,000",Nil,Nil,No,1.0,CORRIGENDUM,Date,,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,28-Jan-2023 10:30 AM,08-Feb-2023 11:30 AM,28-Jan-2023 10:30 AM,08-Feb-2023 10:30 AM,NA ,NA ,28-Jan-2023 10:30 AM,08-Feb-2023 10:30 AM,13-Feb-2023 03:00 PM,Executive Engineer,Internal,"Tender Assistant, Supdt, DAO, HDM",Rajinder Singh,13-Feb-2023 12:58 PM,13-Feb-2023 03:00 PM,techsummary_101730.pdf (1373.55 KB),PWD,2023_PWD_67531_1,ANNUAL MAINTENANCE PLAN ON BUMBLOO BRIDGE TO KATHI,"ANNUAL MAINTENANCE PLAN ON BUMBLOO BRIDGE TO KATHIANA, SOHARI TO KACHWIN, BANI PALHRA ROAD VIA ITI DHABRIANA AND JIRALARI AGHAR ROAD VIA CHEK LOHDAR MEENA KA DEHRA",24-Aug-2023,"INR 9,299,645",60.0,Rajinder Singh,24-Aug-2023 05:03 PM,FINBIDSUMMARY.pdf (658.00 KB),"ANNUAL MAINTENANCE PLAN ON BUMBLOO BRIDGE TO KATHIANA, SOHARI TO KACHWIN, BANI PALHRA ROAD VIA ITI DHABRIANA AND JIRALARI AGHAR ROAD VIA CHEK LOHDAR MEENA KA DEHRA",Executive Engineer,Internal,"Tender Assistant, Supdt, HDM, DAO",Rajinder Singh,27-Feb-2023 02:34 PM,finsummary_101730.pdf (655.23 KB),1.0,320724.0,anil thakur,07-Feb-2023 07:30 PM,Rejected-Finance,L1L2L3L3,27-Feb-2023,Technical,bidsummary,Rajinder Singh,13-Feb-2023 12:55 PM,technical_101730.pdf,1.0,320844.0,HIMALAYAN TECHNO GOVT CONTRACTOR,INR,"8,582,577",Finance,FIN BID SUMMARY,Rajinder Singh,27-Feb-2023 01:25 PM,finance_101730.pdf,BOQ Comparative Chart
,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,318472.0,Gian Chand Contactor,08-Feb-2023 07:47 AM,Rejected-Finance,L1L2L3L3,27-Feb-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,320844.0,HIMALAYAN TECHNO GOVT CONTRACTOR,07-Feb-2023 09:28 PM,Accepted-AOC,L 1,24-Aug-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,317460.0,S.S.Chauhans Construction Private Limted,07-Feb-2023 07:26 PM,Rejected-Finance,L1L2L3L3,27-Feb-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Last Five Years Turn Over duly signed by the C.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
