S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :
1.0,Corrigendum-1,Other,,10-Jul-2023 11:20 AM,21-Jul-2023 11:00 AM,10-Jul-2023 11:20 AM,20-Jul-2023 05:00 PM,NA ,NA ,10-Jul-2023 11:20 AM,20-Jul-2023 05:00 PM,04-Aug-2023 11:00 AM,"5,900",Nil,Nil,No,"1,00,73,900",No,fixed,,Nil,Nil,Executive Engineer,HPSIDC Shimla,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),1.0,ICICI BANK,HP SIDC Limited,Job No. 1,2023_SIDC_75999_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Development of Medical Devices Park at Nalagarh, Distt. Solan (H.P.) Sub Head- Construction of Buildings (Flatted Factories, Warehouses and Admin. Block/ Convention Center), Construction of Road and Road side Drains and Culverts).","Sub Head- Construction of Buildings (Flatted Factories, Warehouses and Admin. Block/ Convention Center), Construction of Road and Road side Drains and Culverts).",Please refer Tender documents. ,NA ,"50,36,92,564",Civil Works,NA ,Tender,120.0,450.0,MDP Nalagarh,174101.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,Finance,Financial Summary,Sushant Singh Negi,04-Aug-2023 02:43 PM,finance_113744.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,03-Aug-2023 04:26 PM,04-Aug-2023 11:00 AM,techsummary_113744.pdf (463.19 KB),Technical,Tender Summary,BHUP SINGH,21-Jul-2023 11:27 AM,technical_113744.pdf,1.0,360964.0,Dinesh Kumar Sharma Const. (P) Ltd,20-Jul-2023 12:35 PM,Accepted-AOC,AOC,28-Aug-2023,11-Aug-2023,"INR 401,478,257",450.0,Sushant Singh Negi,28-Aug-2023 02:38 PM,mdpaoc.pdf (1303.00 KB),Award letter,1.0,360964.0,Dinesh Kumar Sharma Const. (P) Ltd,INR,"401,478,257",SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,07-Aug-2023 02:32 PM,finsummary_113744.pdf (113.71 KB),HP SIDC Limited,2023_SIDC_75999_1,Job No. 1,"Development of Medical Devices Park at Nalagarh, Distt. Solan (H.P.) Sub Head- Construction of Buildings (Flatted Factories, Warehouses and Admin. Block/ Convention Center), Construction of Road and Road side Drains and Culverts)."
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,361136.0,PYRAMID BUILDERS,20-Jul-2023 04:36 PM,Rejected-Finance,Third lowest bidder,07-Aug-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,360362.0,UNIPRO,20-Jul-2023 03:17 PM,Rejected-Finance,Second lowest bidder,07-Aug-2023,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,complete details of existing commitments / ongoing work in hand in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Turnover (last five years with breakup) and bid capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Details/ affidavit of machineries equipments/ skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Others financial terms and conditions (point 7 TQC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
