S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.2,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
1.0,365473.0,Yash Pal Sharma,INR,"3,998",Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Hamirpur,2023_HPCDP_76954_1,No.AGR.DPMU(G)(7)P-II 2021-22 Tender File-434,"Improvement of Flow irrigation Scheme Kothi Batala Jyora at Village Kothi Batala-Jyora ,G.p Rani Kotla Dhoba Tehsil Sadar Distt Bilaspur",Suresh Dhiman,Internal,"Suresh Kumar Dhiman, Yoginder Paul Kaushal, Pradeep Sharma, Anil Kumar Agarwal, Devender Kumar Sankhyan",Suresh Kumar Dhiman,24-Aug-2023 01:43 PM,finsummary_115045.pdf (357.14 KB),Suresh Dhiman,Internal,"Suresh Kumar Dhiman, Pradeep Sharma, Anil Kumar Aggarwal, Devender Kumar Sakhyan, Yoginder Paul Kaushal",Suresh Kumar Dhiman,19-Aug-2023 10:50 AM,19-Aug-2023 11:00 AM,techsummary_115045.pdf (357.14 KB),1.0,365463.0,MS Kamal Dev Sharma,10-Aug-2023 09:29 AM,Rejected-Finance,Rejected,24-Aug-2023,31-Aug-2023,"INR 3,998,191",365.0,Suresh Kumar Dhiman,04-Sep-2023 01:40 PM,kOTHI.pdf (211.00 KB),Finance,Bid to be financially evaluated,Suresh Kumar Dhiman,24-Aug-2023 01:40 PM,,BOQ Comparative Chart,Technical,Technical Evaluation,Suresh Kumar Dhiman,18-Aug-2023 12:56 PM,technical_115045.pdf,District Project Manager hamirpur,Administrative building HPCDP-JICA-ODA Hamirpur(H.P),1.0,Fee/PreQual/Technical,.pdf,Cost of tender form as indicated in NIT Sr. No. 3(a) i,"54,100",No,fixed,,DPM Hamirpur,Hamirpur,31-Jul-2023 06:00 PM,11-Aug-2023 11:00 AM,31-Jul-2023 06:00 PM,10-Aug-2023 05:00 PM,NA ,NA ,31-Jul-2023 06:00 PM,10-Aug-2023 05:00 PM,19-Aug-2023 11:00 AM,"1,500",DPM Hamirpur,Hamirpur,No,Himachal Pradesh Agriculture Development Society (JICA-ODA loan)||Project Director - HPCDP Project - JICA-ODA - Hamirpur||DPM - HPCDP Project - JICA-ODA - Hamirpur,No.AGR.DPMU(G)(7)P-II 2021-22 Tender File-434,2023_HPCDP_76954_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,"Improvement of Flow irrigation Scheme Kothi Batala Jyora at Village Kothi Batala-Jyora ,G.p Rani Kotla Dhoba Tehsil Sadar Distt Bilaspur",Improvement of Flow irrigation Scheme Kothi Batala Jyora at Village Kothi Batala-Jyora GP Rani Kotla Dhoba Tehsil Sadar Distt Bilaspur,Please refer Tender documents. ,NA ,,Civil Works,Flow Irrigation Scheme ,Tender,90.0,365.0,Bilaspur,174101.0,05-08-2023 ,Administrative Building HPCDP-JICA-ODA ,05-Aug-2023 11:00 AM ,Administrative building,No ,No
,,,,,,,,,,,,,,,,,,,,,,2.0,365578.0,Ravinder Singh Patial,10-Aug-2023 02:06 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Aug-2023,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money as indicated in NIT Sr. No. 3(a) ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,3.0,365473.0,Yash Pal Sharma,10-Aug-2023 09:15 AM,Accepted-AOC,Awarded being L1,04-Sep-2023,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration/ enlistment as indicated in NIT Sr. No. 3(a) iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have experience of minimum 5 years as indicated in NIT Sr. No. 3 (a) iv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactorily completed similar works as indicated in NIT Sr. No. 3(a) v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Should have satisfactory one work indicating experience in key activities in NIT Sr. No. 3(a) vi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Statements as indicated in NIT Sr. No. 3(a) vii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual turnover as indicated in NIT Sr. No. 3(a) viii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Solvency as indicated in NIT Sr. No. 3(a) ix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal as indicated in NIT Sr. No. 3(a) x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
