Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Technical,"12 bids have been received.The solution demonstration was given by the all the twelve companies/firms on 17.12.2016 before the Technical Evaluation Committee. Out of 12, 5 companies/firms qualifies the technical criteria.",Kamal Chandra Bhattacharyya,06-Jan-2017 03:56 PM,technical_1891.pdf,Gauhati High Court - Guwahati,2016_GHC_1251_1,HC-XLV 203/2016/1236/PMP,"Scanning/digitizing the case records of the District Courts of Assam consisting of approximately 1,00,00,000 pages per district on turnkey basis",Registrar Administration,Internal,,Kamal Chandra Bhattacharyya,03-Feb-2017 03:44 PM,finsummary_1891.pdf (162.82 KB),22-Feb-2017,INR 0.75,110.0,Kamal Chandra Bhattacharyya,22-Feb-2017 04:20 PM,AOC.pdf (51.00 KB),Contract value and awarded value i.e Rs. 0.75 is the per page rate.,Finance,5 companies/firm were technically qualified for the Financial Bid. Financial Bid of 4 companies/firm are found to be in order. Financial Bid of one company is rejected for not being in consonance with the terms and conditions of the bid document.,Kamal Chandra Bhattacharyya,03-Feb-2017 03:35 PM,finance_1891.pdf,BOQ Comparative Chart,1.0,6269.0,StockHolding Document Management Services Ltd.,INR,0.75,1,6545,Emdee Digitronics Private Limited,14-Dec-2016 11:00 AM,Not Admitted-Technical,,06-Jan-2017 03:56 PM,Justice U Bhuyan,Internal,,Kamal Chandra Bhattacharyya,06-Jan-2017 04:48 PM,07-Jan-2017 10:00 AM,techsummary_1891.pdf (163.91 KB),AOC,"Scanning/digitizing the case records of the District Courts of Assam consisting of approximately 1,00,00,000 pages per district on turnkey basis","Scanning/digitizing the case records of the District Courts of Assam consisting of approximately 1,00,00,000 pages per district on turnkey basis",Please refer Tender documents. ,NA ,0.0,Information Technology,NA ,Tender,180.0,110.0,District Courts of Assam,781001.0,NA ,NA ,NA ,Guwahati,No ,No,Deputy Registrar Finance,"Gauhati High Court, Guwahati-781001 Ph. 2600008, E-mail. tenders.ghc@gmail.com",1.0,Fee,.pdf,EMD,1.0,DD - Demand Draft,Gauhati High Court - Guwahati,HC-XLV 203/2016/1236/PMP,2016_GHC_1251_1,Yes,Open Tender,Turn-key,Services,4.0,No,No,Offline,No,No,No,19-Nov-2016 03:00 PM,16-Dec-2016 01:00 PM,19-Nov-2016 03:00 PM,15-Dec-2016 04:00 PM,19-Nov-2016 03:00 PM ,25-Nov-2016 03:00 PM ,19-Nov-2016 03:00 PM,15-Dec-2016 04:00 PM,07-Jan-2017 10:00 AM,"14,00,000",Yes,fixed,,"The Registrar General, Gauhati High Court",Guwahati,0.0,Nil,Nil,No,1.0,Corrigendum dated 01.12.2016,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6530,HEWLETT PACKARD INDIA SALES PVT. LTD.,15-Dec-2016 03:02 PM,Not Admitted-Finance,Qualifies technical criteria,03-Feb-2017 03:35 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Processing Fee,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6049,Informatics Publishing Limited,15-Dec-2016 01:49 PM,Rejected-AOC,,22-Feb-2017 04:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,PreQual,.pdf,Eligibility Criteria,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6571,Integrated Systems & Services,15-Dec-2016 03:14 PM,Not Admitted-Technical,,06-Jan-2017 03:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3.0,Technical,.pdf,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6204,Nevaeh Technology Private Limited,15-Dec-2016 01:56 PM,Not Admitted-Technical,,06-Jan-2017 03:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6520,Newgen Software Technologies Limited,15-Dec-2016 02:09 PM,Rejected-AOC,,22-Feb-2017 04:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Grand Total Value Financial bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6574,SoftAge Information Technology Limited,15-Dec-2016 03:53 PM,Not Admitted-Technical,,06-Jan-2017 03:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6269,StockHolding Document Management Services Ltd.,15-Dec-2016 02:06 PM,Accepted-AOC,,22-Feb-2017 04:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6544,Tata Consultancy Services Limited,15-Dec-2016 03:20 PM,Rejected-AOC,,22-Feb-2017 04:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,6554,TechBooks International Pvt Ltd,15-Dec-2016 10:55 AM,Not Admitted-Technical,,06-Jan-2017 03:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6573,WEBEL TECHNOLOGY LIMITED (A Govt. of West Bengal Undertaking),15-Dec-2016 12:15 PM,Not Admitted-Technical,,06-Jan-2017 03:56 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
