Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Yadvinder Kumar Sr Asstt Sh Kapil Dev Sr Asstt,Dalip singh Patial,25-Jun-2019 12:39 PM,finsummary_40028.pdf (627.68 KB),19-Feb-2020,"INR 5,292,589",365.0,Dalip singh Patial,20-Feb-2020 03:39 PM,AOC.pdf (674.00 KB),work awarded to L1 firm Modern Cooling Solutions,PWD,2019_PWD_27989_1,PW/MED/TA/ e-notice/18-19-10132-38 dt 14.02.19,Construction of HPPWD Rest House at Thunag District Mandi HP SH Providing VRV System therein,Er Sanjay Kumar SE,Internal,Sh R S Rana EE Design Sh D S Patial EE Er Deepak Rawat EO Superintendent,Dalip singh Patial,24-Jun-2019 03:51 PM,24-Jun-2019 04:00 PM,techsummary_40028.pdf (566.47 KB),1.0,117920.0,modern cooling solution,INR,"5,292,589",Finance,Financial bid summary,Dalip singh Patial,25-Jun-2019 12:13 PM,finance_40028.pdf,BOQ Comparative Chart,Technical,Technical bid summary,Dalip singh Patial,24-Jun-2019 03:30 PM,technical_40028.pdf,1.0,117940.0,Bluestar Ltd.,12-Mar-2019 08:52 AM,Rejected-Finance,rejected being L3,25-Jun-2019 12:39 PM,AOC,"1,05,650",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Construction of HPPWD Rest House at Thunag District Mandi HP SH Providing VRV System therein,Construction of HPPWD Rest House at Thunag District Mandi HP SH Providing VRV System therein,Pleaser refer to bid document ,NA ,"73,14,080",Electrical Works,NA ,Tender,120.0,365.0,Thunag,175048.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,PWD,PW/MED/TA/ e-notice/18-19-10132-38 dt 14.02.19,2019_PWD_27989_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,02-Mar-2019 10:00 AM,12-Mar-2019 11:30 AM,02-Mar-2019 10:00 AM,12-Mar-2019 10:00 AM,NA ,NA ,02-Mar-2019 10:00 AM,12-Mar-2019 10:00 AM,24-Jun-2019 04:00 PM,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,1.0,DD - Demand Draft,"2,000",Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,118071.0,CHILL POINT ENGINEERS PVT LTD,11-Mar-2019 07:44 PM,Rejected-Finance,rejected being L4,25-Jun-2019 12:39 PM,AOC,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,117999.0,Complete Cooling Solutions,11-Mar-2019 04:40 PM,Rejected-Finance,rejected being L5,25-Jun-2019 12:39 PM,AOC,,,,,,,,,.pdf,Approved OEM/ auth. agency of approved OEM,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,117920.0,modern cooling solution,11-Mar-2019 07:00 PM,Accepted-AOC,work awarded being L1 firm,20-Feb-2020 03:39 PM,AOC,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,117807.0,SNOWMEX ENGINEERS LIMITED,11-Mar-2019 08:51 PM,Rejected-Finance,rejected being L2,25-Jun-2019 12:39 PM,AOC,,,,,,,,,.pdf,"Income Tax (PAN), GST and EPF REGITRATION GENERAL RULES NO. 21",5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Attested copies of work done certificates past 5 yrs as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
