Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
EE KARSOG,KARSOG DISTT MANDI HP,1.0,ICICI BANK,"37,800",Yes,fixed,,EE KARSOG,KARSOG,"Construction of Junior Engineer Office Cum Residence at Alsindi, Tehsil Karsog Distt. Mandi (HP)",C/O Building portion including W.S. and S.I.),Please refer Tender documents. ,NA ,"20,17,802",Civil Works,NA ,Tender,365.0,365.0,KARSOG,175011.0,NA ,NA ,NA ,KARSOG,No ,No,1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,"1,500",EE KARSOG,KARSOG,Yes,PWD,PW-KSG-E-Tenders/2018-19-3557,2019_PWD_31518_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),16-Sep-2019 09:00 AM,24-Sep-2019 12:00 PM,16-Sep-2019 09:00 AM,23-Sep-2019 10:30 AM,NA ,NA ,16-Sep-2019 09:00 AM,23-Sep-2019 10:30 AM,14-Oct-2019 03:15 PM,AOC,PWD,2019_PWD_31518_1,PW-KSG-E-Tenders/2018-19-3557,"Construction of Junior Engineer Office Cum Residence at Alsindi, Tehsil Karsog Distt. Mandi (HP)",MAAN SINGH,Internal,,Maan Singh,14-Oct-2019 03:09 PM,14-Oct-2019 03:15 PM,techsummary_45386.pdf (274.43 KB),MAA SINGH,Internal,ATAT,Maan Singh,17-Feb-2020 02:43 PM,finsummary_45386.pdf (439.12 KB),17-Feb-2020,"INR 2,743,038",365.0,Maan Singh,17-Feb-2020 02:54 PM,DESHR.PDF (439.00 KB),1.0,132009.0,DESH RAJ GOVT CONT.,23-Sep-2019 09:48 AM,Accepted-AOC,AT,17-Feb-2020 02:54 PM,Technical,ATTACEHED,Maan Singh,14-Oct-2019 03:07 PM,technical_45386.pdf,Finance,ATTACHED,Maan Singh,14-Oct-2019 03:37 PM,finance_45386.pdf,BOQ Comparative Chart,1.0,132009.0,DESH RAJ GOVT CONT.,INR,"2,706,848",AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,132023.0,NITIN BHARDWAJ,22-Sep-2019 07:57 PM,Rejected-Technical,NOT SUBMESSION OF ORGINAL AFFADAVIT,14-Oct-2019 03:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,131704.0,yashwant kumar,22-Sep-2019 03:38 PM,Rejected-Finance,HIGH RATE QUTED,17-Feb-2020 02:43 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate on prescribed format given in Bidding Document without liquidated damage or c,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Machinery Tool Plant as per bid documents,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazetted and non Gazetted officer HPPWD employees related to him (General Rule No.,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
