Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
27-Feb-2020,"INR 3,670,802",90.0,Maan Singh,17-Feb-2020 03:01 PM,PURANCLOTH.PDF (476.00 KB),MS,Internal,,Maan Singh,17-Feb-2020 02:59 PM,finsummary_46038.pdf (475.65 KB),MAAN SINGH,Internal,,Chaman Singh,23-Oct-2019 03:49 PM,23-Oct-2019 04:00 PM,techsummary_46038.pdf (271.95 KB),PWD,2019_PWD_32006_1,PW-KSG-E-TENDER/2018-194313-19,NAME OF WORK Construction of Govt Sr Sec School at karsog Distt Mandi dismanting of exisiting roofand ceiling and providing prepainting sheet roofing and partical board ceiling,Technical,ATTACHED,Chaman Singh,23-Oct-2019 03:46 PM,technical_46038.pdf,1.0,134083.0,CHAMAN LAL GOVT CONT.,14-Oct-2019 05:23 PM,Rejected-Finance,HIGHER RATE QUTE,17-Feb-2020 02:59 PM,Finance,ATTACHED,Maan Singh,23-Oct-2019 04:13 PM,finance_46038.pdf,BOQ Comparative Chart,1.0,134080.0,PURANCHAND GOVT OCNT,INR,"3,631,956",AOC,1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,"48,800",No,fixed,,EE HPPWD KARSOG,KARSOG,"2,000",EE HPPWD KARSOG,KARSOG,No,EE HPPWD KARSOG,KARSOG,NAME OF WORK Construction of Govt Sr Sec School at karsog Distt Mandi dismanting of exisiting roofand ceiling and providing prepainting sheet roofing and partical board ceiling,NAME OF WORK Construction of Govt Sr Sec School at karsog Distt Mandi Sh dismanting of exisiting roofand ceiling and providing prepainting sheet roofing and partical board ceiling),Please refer Tender documents. ,NA ,"27,48,794",Civil Works,NA ,Tender,30.0,90.0,SCHOOL KARSOG,175011.0,NA ,NA ,NA ,EE HPPWD KARSOG,No ,No,PWD,PW-KSG-E-TENDER/2018-194313-19,2019_PWD_32006_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,1.0,DD - Demand Draft,07-Oct-2019 10:00 AM,17-Oct-2019 09:00 AM,07-Oct-2019 10:00 AM,15-Oct-2019 09:00 AM,NA ,NA ,07-Oct-2019 10:00 AM,15-Oct-2019 09:00 AM,23-Oct-2019 04:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,133926.0,Gurvaksh Singh,14-Oct-2019 12:38 PM,Rejected-Technical,NON RESPONSIVE AS PER REQUIRMENT OF BIDIDING DOCUMENT,23-Oct-2019 03:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F.,2.0,BC - Bankers Cheque,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,134080.0,PURANCHAND GOVT OCNT,14-Oct-2019 08:35 PM,Accepted-AOC,OK,17-Feb-2020 03:01 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,3.0,SS - Small Savings Instrument,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department,4.0,BG - Bank Guarantee,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,5.0,FDR - Fixed Deposit,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Contractor has not more then Two Work In Hand.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,AOC
