Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Executive Engineer,Elect. Division HPPWD Palampur,1.0,DD - Demand Draft,350.0,Executive Engineer,"Elect. Division, HPPWD Palampur",No,"Annual repair and comprehensive maintenance of 1 No. 20 passenger staff lift, 1 No. Freight lift and 2 Nos. Dumb waiters KONE make installed in 500 bedded Hospital Dr. RPGMC Kangra at Tanda for the year 2019-20","Annual repair and comprehensive maintenance of 1 No. 20 passenger staff lift, 1 No. Freight lift and 2 Nos. Dumb waiters KONE make installed in 500 bedded Hospital Dr. RPGMC Kangra at Tanda for the year 2019-20",Please refer Tender documents. ,NA ,"5,25,430",Electrical Works,NA ,Tender,120.0,365.0,Tanda at Kangra,176001.0,NA ,NA ,NA ,Palampur,No ,No,PWD,Elect. Div. HPPWD Palampur,2019_PWD_30260_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Bank Draft towards the cost of bid document,"10,600",No,fixed,,Executive Engineer,"Elect. Division, HPPWD Palampur",20-Jul-2019 05:00 PM,06-Aug-2019 11:30 AM,20-Jul-2019 05:00 PM,05-Aug-2019 05:00 PM,NA ,NA ,20-Jul-2019 05:00 PM,05-Aug-2019 05:00 PM,20-Aug-2019 11:30 AM,AOC,1.0,126708.0,KONE Elevator India Private Limited,05-Aug-2019 11:45 AM,Accepted-AOC,single bidder,05-Feb-2020 01:03 PM,Technical,as per uploaded document,Sanjeev Thakur,19-Aug-2019 05:48 PM,technical_43620.pdf,1.0,126708.0,KONE Elevator India Private Limited,INR,"502,150",Finance,as per uploaded document,Sanjeev Thakur,29-Aug-2019 12:13 PM,finance_43620.pdf,BOQ Comparative Chart,Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Hand,Sanjeev Thakur,19-Aug-2019 06:00 PM,20-Aug-2019 11:30 AM,techsummary_43620.pdf (133.65 KB),PWD,2019_PWD_30260_1,Elect. Div. HPPWD Palampur,"Annual repair and comprehensive maintenance of 1 No. 20 passenger staff lift, 1 No. Freight lift and 2 Nos. Dumb waiters KONE make installed in 500 bedded Hospital Dr. RPGMC Kangra at Tanda for the year 2019-20",04-Jan-2020,"INR 525,430",365.0,Mohan Rajeev Parmar,05-Feb-2020 01:03 PM,AOC_30260_1.pdf (855.00 KB),"awarded after negotiation vide this office letter no. 5826-32, dated 04/01/2020",Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Hand,Sanjeev Thakur,29-Aug-2019 12:18 PM,finsummary_43620.pdf (72.67 KB),AOC
,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposited (EMD) in prescribed form duly pledged,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of being Principal Manufacturer/OEM/ Authorized Franchisee,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST certificate,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF certificate,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR filed,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per Tender Document (SBD),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document (Form-8),,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
