S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,DD - Demand Draft,1.0,Corrigendum or Addendum for Financial Proposal/Bid,Financial Bid,,1.0,Fee/PreQual/Technical,.pdf,Tender Document,Principal,SLBSGMCH Mandi at Nerchowk,"2,000",SLBSGMCH Mandi at Nerchowk,Nerchowk,Yes,04-Jul-2019 12:30 PM,26-Jul-2019 03:00 PM,04-Jul-2019 01:00 PM,26-Jul-2019 01:00 PM,NA ,NA ,11-Jul-2019 11:30 AM,26-Jul-2019 01:00 PM,10-Aug-2019 01:15 PM,e-tender for Out sourcing of Clinical and Non clinical manpower,e-tender for Out sourcing of Clinical and Non clinical manpower,Please refer Tender documents. ,NA ,"1,50,00,000",Manpower Supply,NA ,Tender,180.0,30.0,SLBSGMCH Mandi at Nerchowk,175008.0,Administrative block ,SLBSGMCH Mandi at Nerchowk ,10-Jul-2019 11:00 AM ,Administrative block SLBSGMCH Mandi at Nerchowk,No ,No,Directorate of Medical Education and Research||Sh. Lal Bahadur Shashtri Government Medical College Mandi at Nerchowk,SLBSGMCH/Outsource (39)/2019,2019_DMEHP_29886_1,Yes,Open Tender,Lump-sum,Services,2.0,No,No,Offline,No,No,No,"5,00,000",Yes,fixed,,SLBSGMCH Mandi at Nerchowk,Nerchowk,AOC,13-Feb-2020,"INR 12,500,000",30.0,Anil Kumar,14-Feb-2020 12:18 PM,AOCclinicalnonclinicalmanpower.pdf (1269.00 KB),Finance,Bid Summery,Anil Kumar,10-Aug-2019 03:04 PM,finance_43172.pdf,BOQ Comparative Chart,Technical,Bid Summery,Ashish Sharma,26-Jul-2019 04:20 PM,technical_43172.pdf,Prinicipal,Internal,Joint Director Medical Superintendent Assistant Controller Section officer Superintendent Gr II,Anil Kumar,09-Aug-2019 02:35 PM,10-Aug-2019 01:15 PM,techsummary_43172.pdf (1907.16 KB),1,125340,Byas infrabuild Pvt Ltd,25-Jul-2019 03:47 PM,Rejected-Technical,Turnover less than 10 cr and Experience not available,09-Aug-2019 02:35 PM,Principal,Internal,JDA ACF SO,Anil Kumar,23-Sep-2019 06:43 PM,finsummary_43172.pdf (224.83 KB),1.0,125305.0,Frontline (NCR) Business Solutions Pvt. Ltd,INR,"12,000,000",Directorate of Medical Education and Research||Sh. Lal Bahadur Shashtri Government Medical College Mandi at Nerchowk,2019_DMEHP_29886_1,SLBSGMCH/Outsource (39)/2019,e-tender for Out sourcing of Clinical and Non clinical manpower,AOC
2.0,BC - Bankers Cheque,,,,,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2,125329,Corporate Care,25-Jul-2019 08:19 PM,Rejected-Technical,Experience not available,09-Aug-2019 02:35 PM,,,,,,,,,,,,,,,,AOC
3.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3,125305,Frontline (NCR) Business Solutions Pvt. Ltd,21-Jul-2019 06:46 PM,Accepted-AOC,L 1,14-Feb-2020 12:18 PM,,,,,,,,,,,,,,,,AOC
4.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4,125989,GOOD HOUSE KEEPING,25-Jul-2019 05:10 PM,Rejected-Technical,Experience not available,09-Aug-2019 02:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5,126006,J K ENTERPRISES,26-Jul-2019 10:36 AM,Rejected-Technical,Turnover less than 10 cr and Experience not available,09-Aug-2019 02:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6,125539,M/S FRIENDS ASSOCIATES,26-Jul-2019 12:13 PM,Rejected-Technical,Turnover less than 10 cr and Experience not available,09-Aug-2019 02:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7,125993,NUVISION COMMERCIAL & ESCORT SERVICES,25-Jul-2019 06:17 PM,Rejected-Technical,Document not of black listed by any organization and financial capable affidavit not available,09-Aug-2019 02:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8,125981,Rakshak Securitas Pvt.Ltd,25-Jul-2019 03:21 PM,Rejected-Technical,Experience not available,09-Aug-2019 02:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9,125671,Saraswati Dot Com Private Limited,26-Jul-2019 12:31 PM,Rejected-Technical,Turnover less than 10 cr,09-Aug-2019 02:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,10,125315,Shimla Cleanways,25-Jul-2019 07:36 PM,Rejected-Technical,MSME not valid,09-Aug-2019 02:35 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,11,125973,SUNRISE FACILITATORS PVT LTD,25-Jul-2019 12:19 PM,Rejected-Technical,Turnover less than 10 cr and Experience not available,09-Aug-2019 02:35 PM,,,,,,,,,,,,,,,,AOC
