Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Admitted for further evaluation.,Samiron Deka,18-Feb-2019 04:15 PM,,BOQ Comparative Chart,"Dr. Y. K. Gautam, IPS",Internal,,Pabitra Kumar Gogoi,18-Feb-2019 04:07 PM,18-Feb-2019 04:10 PM,techsummary_7217.pdf (458.32 KB),"Dr. Y K Gautam, IPS",Internal,,Samiron Deka,03-Oct-2019 04:51 PM,finsummary_7217.pdf (740.70 KB),1,25484,BEEKAY INDUSTRIES,09-Jan-2018 07:50 AM,Rejected-Technical,Not qualified,18-Feb-2019 04:07 PM,Assam Police,2017_AP_4516_1,S/III-301/UNIFORM/ HUNTING BOOT /2017-18/3,Supply of Hunting Boot,Technical,As per Technical Committee report.,Pabitra Kumar Gogoi,18-Feb-2019 04:03 PM,,1.0,25477.0,PURBANCHAL LEATHER INDUSTRIES,INR,4945654.35,06-Feb-2020,INR 4945654.35,60.0,Samiron Deka,06-Feb-2020 11:24 AM,SO-HuntingBoot.pdf (1052.00 KB),AOC,1.0,DD - Demand Draft,500.0,"Inspector General of Police (Admin), Assam",Guwahati,No,Supply of Hunting Boot,Supply of Hunting Boot to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati",1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,"5,00,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,Assam Police,S/III-301/UNIFORM/ HUNTING BOOT /2017-18/3,2017_AP_4516_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,19-Dec-2017 05:50 PM,11-Jan-2018 03:30 PM,19-Dec-2017 05:50 PM,09-Jan-2018 05:00 PM,NA ,NA ,19-Dec-2017 05:50 PM,09-Jan-2018 05:00 PM,18-Feb-2019 04:10 PM,AOC
,,,,,,,,,,,,,,,,,,,2,25425,Chandra Overseas,09-Jan-2018 11:57 AM,Rejected-Finance,Due to L3,03-Oct-2019 04:51 PM,,,,,,,,,,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,3,25426,DLIGHTS,08-Jan-2018 08:52 PM,Rejected-Finance,Due to L2,03-Oct-2019 04:51 PM,,,,,,,,,,,,,,,,,,,,,AOC,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,4,25496,D. S. International,09-Jan-2018 04:35 PM,Rejected-Technical,Not qualified,18-Feb-2019 04:07 PM,,,,,,,,,,,,,,,,,,,,,AOC,4.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,5,25555,Hrishita Private Limited,09-Jan-2018 04:52 PM,Rejected-Technical,Not qualified,18-Feb-2019 04:07 PM,,,,,,,,,,,,,,,,,,,,,AOC,5.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,6,25349,M.B.RUBBER PRIVATE LIMITED,08-Jan-2018 06:27 PM,Rejected-Technical,Not qualified,18-Feb-2019 04:07 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,7,25561,M S Laxmi Steel Furniture and Engineering Works,09-Jan-2018 04:53 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Feb-2019 04:03 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,8,25523,M/s PUBERUN,09-Jan-2018 03:41 PM,Rejected-Technical,Not qualified,18-Feb-2019 04:07 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,9,25502,M/s S.S.Rubbers,09-Jan-2018 04:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,18-Feb-2019 04:03 PM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,10,25477,PURBANCHAL LEATHER INDUSTRIES,09-Jan-2018 07:36 AM,Accepted-AOC,Approved by the Departmental Purchase Committee.,06-Feb-2020 11:24 AM,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
