EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"6,400",No,fixed,,Bhabanagar,Sungra/Bhabangar,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,1.0,Ragarding EMD and Tender cost,Fee,,1.0,DD - Demand Draft,23-Dec-2019 10:00 AM,06-Jan-2020 11:00 AM,23-Dec-2019 10:30 AM,04-Jan-2020 05:00 PM,NA ,NA ,23-Dec-2019 10:30 AM,04-Jan-2020 05:00 PM,14-Jan-2020 03:00 PM,Executive Engineer,Karchham Division HP PWD Bhabanagar,"Maintenance of road from Kuppa to Batseri km 13.0 to 24.0 Distt. Kinnaur (Portion of Karchham Sangla Chhitkul road) (SH. P. L Kharanja stone soling, renewal coat V and U shape drain at various reaches in km 13.0 to 24.0)","Maintenance of road from Kuppa to Batseri km 13.0 to 24.0 Distt. Kinnaur (Portion of Karchham Sangla Chhitkul road) (SH. P. L Kharanja stone soling, renewal coat V and U shape drain at various reaches in km 13.0 to 24.0)",Please refer Tender documents. ,NA ,"37,39,566",Civil Works,NA ,Tender,120.0,90.0,Sangla,172115.0,NA ,NA ,NA ,Bhabanagar,No ,No,500.0,EE Bhabanagar,Sungra/Bhabanagar,Yes,PWD,BHNR -EA-Tender/2019- 8718-23 dated 16.12.2019,2019_PWD_33436_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,XEN Er. Rahul Sood,Internal,Drauhtsman DAO Supdt. Gr-II,Pramod Kumar,14-Jan-2020 12:31 PM,14-Jan-2020 03:00 PM,techsummary_48276.pdf (655.93 KB),PWD,2019_PWD_33436_1,BHNR -EA-Tender/2019- 8718-23 dated 16.12.2019,"Maintenance of road from Kuppa to Batseri km 13.0 to 24.0 Distt. Kinnaur (Portion of Karchham Sangla Chhitkul road) (SH. P. L Kharanja stone soling, renewal coat V and U shape drain at various reaches in km 13.0 to 24.0)",19-Feb-2020,"INR 3,739,566",90.0,Rakesh Chander Negi,19-Feb-2020 03:10 PM,BalKishan.PDF (828.00 KB),XEN Rahul Sood,Internal,HDM DAO Supdt Gr-II,Rakesh Chander Negi,19-Feb-2020 03:07 PM,finsummary_48276.pdf (657.55 KB),Finance,summary,Rakesh Chander Negi,19-Feb-2020 02:57 PM,finance_48276.pdf,BOQ Comparative Chart,1.0,143661.0,M/S BAL KRISHAN CONTRACTOR,INR,"6,392,221",1.0,143661.0,M/S BAL KRISHAN CONTRACTOR,03-Jan-2020 05:34 PM,Accepted-AOC,awarded amount,19-Feb-2020 03:10 PM,Technical,opening summary,Pramod Kumar,14-Jan-2020 12:22 PM,technical_48276.pdf,AOC
,,,,,,,,.pdf,Earnest Money Deposit,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,143014.0,RIPAN KUMAR,30-Dec-2019 03:00 PM,Rejected-AOC,due to L2,19-Feb-2020 03:10 PM,,,,,,AOC
,,,,,,,,.pdf,Contractors Registration,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,143647.0,SHAKTI SINGH CONTRCATOR,03-Jan-2020 02:57 PM,Rejected-Technical,Non Responsive,14-Jan-2020 12:31 PM,,,,,,AOC
,,,,,,,,.pdf,GST Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Work Done Certificate of similar nature and work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,"List of Machinery, Tool, Plant , Technical Staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Financial reports for the last five years balance sheet profit and loss statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,EPF Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
