Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,10-Jul-2019 10:00 AM,19-Jul-2019 11:30 AM,10-Jul-2019 10:00 AM,19-Jul-2019 10:00 AM,NA ,NA ,10-Jul-2019 10:00 AM,19-Jul-2019 10:00 AM,24-Jul-2019 11:45 AM,350.0,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,"Construction of 50 Bedded Hospital at Bagsaid, District- Mandi HP SH Providing, Installation, testing and commissioning of addressable fire alarm and PA System therein","Construction of 50 Bedded Hospital at Bagsaid, District- Mandi HP SH Providing, Installation, testing and commissioning of addressable fire alarm and PA System therein",Please refer to NIT and bid document ,NA ,"9,98,245",Electrical Works,NA ,Tender,120.0,365.0,Sunder Nagar,175018.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,1.0,DD - Demand Draft,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT/ e-notice/19-20-1810-16 dt 25.06.19,2019_PWD_30067_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"20,000",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",AOC,1.0,125118.0,Acoustic Media Solutions,18-Jul-2019 10:00 PM,Rejected-Technical,Bid non responsive and disqualified,24-Jul-2019 11:28 AM,Technical,techbid summary,Dalip singh Patial,24-Jul-2019 11:09 AM,technical_43387.pdf,1.0,125165.0,VERSATILE,INR,"638,190",Finance,financial bid summary,Dalip singh Patial,25-Jul-2019 04:29 PM,finance_43387.pdf,BOQ Comparative Chart,PWD,2019_PWD_30067_1,PW/MED/TA/NIT/ e-notice/19-20-1810-16 dt 25.06.19,"Construction of 50 Bedded Hospital at Bagsaid, District- Mandi HP SH Providing, Installation, testing and commissioning of addressable fire alarm and PA System therein",Er Dalip singh Patial EE,Internal,Sh. Jai Ram HDM Smt. Karuna Sharma Superintendent Sh Yadvinder Kumar Sr Asstt,Dalip singh Patial,24-Jul-2019 11:28 AM,24-Jul-2019 11:45 AM,techsummary_43387.pdf (395.03 KB),Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Yadvinder Kumar Sr Asstt,Dalip singh Patial,25-Jul-2019 04:50 PM,finsummary_43387.pdf (326.10 KB),19-Feb-2020,"INR 638,190",365.0,Dalip singh Patial,20-Feb-2020 03:37 PM,AOC.pdf (642.00 KB),work awarded to L1 firm VERSATILE,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,AOC,2.0,124998.0,Modern Agencies,18-Jul-2019 04:12 PM,Rejected-Technical,Bid non responsive and disqualified,24-Jul-2019 11:28 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Approved OEM auth. agency of approved OEM / Contractor or firm authorized to execute specialized job,AOC,3.0,125099.0,TARUN FIRE SYSTEM,18-Jul-2019 04:32 PM,Rejected-Finance,Rejected being L2 firm,25-Jul-2019 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,AOC,4.0,125165.0,VERSATILE,18-Jul-2019 10:31 PM,Accepted-AOC,work awarded being L1 firm,20-Feb-2020 03:37 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates past 7 yrs as per Technical qualification criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES NO,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
