EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"6,94,400",Yes,fixed,,"CGM(PPD), APDCL",APDCL,Supply and installation of rooftop solar Power plant,"Design, manufacture, supply, erection, testing and commissioning including warranty, operation and maintenance of Grid Connected Rooftop Solar Power Plant at different locations in the State of Assam",Please refer Tender documents. ,NA ,0.0,Electrical Works,NA ,Tender,180.0,180.0,different locations in the state of Assam,781001.0,"O/o the GM(NRE), APDCL ","O/o the GM(NRE), APDCL,Bijulee Bhawan ",06-Feb-2019 02:00 PM ,"O/o the GM(NRE), APDCL",No ,No,CGM(PPD),"O/o the CGM(PPD), APDCL",31-Jan-2019 03:00 PM,26-Feb-2019 03:00 PM,31-Jan-2019 03:00 PM,26-Feb-2019 02:00 PM,NA ,NA ,07-Feb-2019 02:00 PM,26-Feb-2019 02:00 PM,17-Jun-2019 11:00 AM,1.0,Extension Notice,Date,,1.0,Fee/PreQual/Technical,.pdf,Tender Cost,"10,000","CGM(PPD), APDCL",APDCL,No,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,APDCL/CGM (PPD)/NRE_118 /2017_18/42,2019_APDCL_11547_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,AOC,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,2019_APDCL_11547_1,APDCL/CGM (PPD)/NRE_118 /2017_18/42,Supply and installation of rooftop solar Power plant,1,54706,Better Power Pvt. Ltd,25-Feb-2019 11:36 AM,Rejected-Finance,Non Responsive,03-Feb-2020 04:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Technical_corrigendum,Technical Bid,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,AOC,,,,,2,55388,Chloride Power systems and Solutions Limited,20-Feb-2019 10:13 AM,Rejected-Finance,L5,03-Feb-2020 04:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Technical Documents,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,AOC,,,,,3,55084,Firstgreen Consulting Pvt. Ltd.,20-Feb-2019 12:28 PM,Rejected-Finance,L4,03-Feb-2020 04:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,56132,HYGRID SOLAR,26-Feb-2019 01:14 AM,Rejected-Technical,Rejected,13-Jun-2019 01:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,55906,M/S Assam Electric Store,19-Feb-2019 08:20 PM,Rejected-Finance,Non Responsive,03-Feb-2020 04:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,56003,MS Ramesh Jain n sons HUF,25-Feb-2019 06:54 PM,Rejected-Technical,Rejected,13-Jun-2019 01:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,55891,North East Agency,26-Feb-2019 11:53 AM,Rejected-Finance,L7,03-Feb-2020 04:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,55971,Novus Green Energy Systems Limited,26-Feb-2019 01:37 PM,Rejected-Technical,Rejected,13-Jun-2019 01:40 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,55882,NP AGRO (INDIA) INDUSTRIES LIMITED,26-Feb-2019 12:49 PM,Rejected-Finance,L8,03-Feb-2020 04:58 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,55969,PAE RENEWABLES PRIVATE LIMITED,26-Feb-2019 11:57 AM,Accepted-AOC,L1 Non MSE,03-Feb-2020 05:40 PM,AOC
