EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"22,27,000",No,fixed,,Executive Engineer,IPH Division Thunag,Augmentation of various water supply scheme of GP Tandi Saroa Tharjoon Mushrani Bassi Devdhar Kharsi and Kotla Khanula in Gohar Block Tehsil Chachyot District Mandi HP,Const. of jack well type river intake 2.40 MLD WTP PLJ and Testing of G-mains R-mains and distribution system pump house stage I II and III supply and erection of pumping machinery MBRs and SRs trail run for ninety days defect liability 6 months,Please refer Tender documents. ,NA ,"22,26,62,321",Civil Works - Water Works,NA ,Tender,120.0,730.0,Kelodhar,175048.0,IPH Department Mandi Zone Tarna Hill Mandi ,Chief Engineer IPH Department Mandi Zone Tarna Hill Mandi ,06-Nov-2019 11:00 AM ,IPH Division Thunag,No ,No,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",6840-6930 dated 25/10/2019,2019_HPIPH_32324_1,Yes,Open Tender,Item Rate,Works,3.0,No,No,Both(Online/Offline),No,No,No,25-Oct-2019 05:00 PM,16-Nov-2019 11:30 AM,26-Oct-2019 10:00 AM,15-Nov-2019 05:00 PM,NA ,NA ,26-Oct-2019 10:00 AM,15-Nov-2019 05:00 PM,09-Dec-2019 10:15 AM,"2,500",Executive Engineer,IPH Division Thunag,Yes,1.0,Fee,.pdf,Proof of payment of bid documents and earnest money diposit,Executive Engineer,IPH Division Thunag District Mandi HP,1.0,ICICI BANK,AOC,1.0,136083.0,HARJEET SINGH,15-Nov-2019 12:31 PM,Accepted-AOC,due to L1,12-Feb-2020 10:14 AM,Chief Engineer Mandi Zone,Internal,Planning Officer Assistant Controller (F and A) EE IPH Thunag SE IPH Sunder Nagar SE IPH Mandi Zone,Raj Kumar Saini,09-Dec-2019 10:09 AM,09-Dec-2019 10:15 AM,techsummary_46451.pdf (949.38 KB),12-Feb-2020,"INR 222,662,321",730.0,Raj Kumar Saini,12-Feb-2020 10:14 AM,award.pdf (490.00 KB),Award,Technical,Minutes of Technical bid,Raj Kumar Saini,09-Dec-2019 10:03 AM,technical_46451.pdf,Finance,Proceeding,Raj Kumar Saini,09-Dec-2019 10:25 AM,finance_46451.pdf,BOQ Comparative Chart,Chief Engineer,Internal,Planning officer Assistant Controller EE D EE Thunag SE D SE SNR,Raj Kumar Saini,12-Feb-2020 10:10 AM,finsummary_46451.pdf (594.69 KB),1.0,136083.0,HARJEET SINGH,INR,"346,046,741","HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||Mandi,Irrigation and Public Health,HP",2019_HPIPH_32324_1,6840-6930 dated 25/10/2019,Augmentation of various water supply scheme of GP Tandi Saroa Tharjoon Mushrani Bassi Devdhar Kharsi and Kotla Khanula in Gohar Block Tehsil Chachyot District Mandi HP,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,valid Registration with IPH Deptt. or central/State Govt. deptt or appropriate class latest renewal,,,2.0,ICICI NEFT/RTGS,AOC,2.0,136208.0,Unipro Techno Infrastructure Pvt Ltd,15-Nov-2019 12:36 PM,Rejected-Finance,Rets are very high,12-Feb-2020 10:10 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of PAN Income Tax, GST registration",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of undertaking that I have carefully studies term and condition of NIT before quoting rates,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter regarding DSC of the person authorized by the registered tenderer,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual financial turnover of last three year financial years ending 31 march,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of having successfully complete similar works in past 7 year,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,"pump characteristics curve indicating HP req.at duty point, 10 and 15 percent above and below",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,proposed layout plan and flow diagram of WTP as per site conditions,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,BOQ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
