Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Superintending Engineer 1st Circle HPPWD Mandi,Internal,Executive Engineer (D) 1st Circle Mandi Executive Engineer Sundernagar Divn CHD Supdt Works,Naresh Raj Chandel,03-Feb-2020 03:05 PM,finsummary_46340.pdf (6649.69 KB),03-Feb-2020,"INR 3,527,257",365.0,Naresh Raj Chandel,03-Feb-2020 03:11 PM,AOCChildrenHome.pdf (6650.00 KB),AOC issued to the lowest contractor,PWD,2019_PWD_32218_1,PW-SNR-CB-E-GR/18-12425-35 dt 3-10-19,Construction of Children Home at Sundernagar Distt Mandi HP,Executive Engineer Sundernagar Division HPPWD Sundernagar,Internal,NR Chandel AE suket Sushil Kumar DAO GrI HDM Supdt Gr-II,Naresh Raj Chandel,02-Nov-2019 12:39 PM,02-Nov-2019 02:10 PM,techsummary_46340.pdf (3808.14 KB),Technical,TBOS,Naresh Raj Chandel,01-Nov-2019 03:56 PM,technical_46340.pdf,1.0,135292.0,BUDHI SINGH,30-Oct-2019 01:44 PM,Rejected-AOC,L-4,03-Feb-2020 03:11 PM,1.0,135118.0,Narender Kumar,INR,"3,527,257.24",Finance,Financial Bid Opening Summary,Naresh Raj Chandel,02-Nov-2019 04:53 PM,finance_46340.pdf,BOQ Comparative Chart,AOC,Executive Engineer,Sunder Nagar Division HPPWD Sundernagar,Construction of Children Home at Sundernagar Distt Mandi HP,SH Construction of First Floor including WS and SI,As per bid document ,NA ,"29,93,001",Civil Works - Buildings,NA ,Tender,120.0,365.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,PWD,PW-SNR-CB-E-GR/18-12425-35 dt 3-10-19,2019_PWD_32218_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,19-Oct-2019 04:00 PM,31-Oct-2019 11:00 AM,19-Oct-2019 04:15 PM,30-Oct-2019 06:00 PM,NA ,NA ,19-Oct-2019 04:30 PM,30-Oct-2019 06:00 PM,02-Nov-2019 02:10 PM,"52,500",No,fixed,,EE Sundernagar,Sundernagar,1.0,DD - Demand Draft,"1,500",EE Sundernagar,Sundernagar,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,134654.0,M/S KESHAV CONSTRUCTIONS,30-Oct-2019 12:12 AM,Rejected-AOC,L-3,03-Feb-2020 03:11 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,135118.0,Narender Kumar,25-Oct-2019 05:18 PM,Accepted-AOC,Being lowest,03-Feb-2020 03:11 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,135226.0,RAMESH KUMAR,29-Oct-2019 02:39 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Nov-2019 03:56 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,135149.0,Tek Chand,28-Oct-2019 10:05 AM,Rejected-AOC,L-2,03-Feb-2020 03:11 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,135041.0,umesh Kumar,23-Oct-2019 04:18 PM,Rejected-AOC,L-5,03-Feb-2020 03:11 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18 alongwith owner ship pro",,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,134619.0,VIRENDER KUMAR,20-Oct-2019 03:03 PM,Rejected-AOC,L-6,03-Feb-2020 03:11 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration/ affidavit as per clause 25 A,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,AOC
