S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,124762.0,Ajay,17-Jul-2019 08:39 AM,Rejected-AOC,L2,06-Feb-2020 05:02 PM,1.0,124765.0,pankaj saini,INR,"705,816",Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Ajay Paul Dealing Asstt.,Sanjeev Thakur,23-Jul-2019 01:46 PM,finsummary_43136.pdf (67.56 KB),16-Jan-2020,"INR 616,349",180.0,Mohan Rajeev Parmar,06-Feb-2020 05:02 PM,6107-12AOC.pdf (819.00 KB),"awarded to the lowest bidder vide this office letter no.6107-12, dated 16.01.2020",Finance,as per uploaded document,Sanjeev Thakur,23-Jul-2019 11:12 AM,finance_43136.pdf,BOQ Comparative Chart,PWD,2019_PWD_29856_3,Elect. Div. HPPWD Palampur,Additional accommodation of Govt. Senior Secondary School building at Dehan in Tehsil Palampur Distt. Kangra (SH- Providing EI therein),Er. Sanjeev Thakur Executive Engineer,Internal,Sh. Kirpal Chand Supdt. Sh. Krishan Kumar HDM Sh. Rakesh Kumar Sr. Asstt. Sh. Ravinder Chand Tender Asstt. Sh. Aljay Paul Dealing Asstt.,Sanjeev Thakur,23-Jul-2019 11:49 AM,techsummary_43136.pdf (132.10 KB),AOC,03-Jul-2019 05:00 PM,18-Jul-2019 11:30 AM,03-Jul-2019 05:00 PM,17-Jul-2019 05:00 PM,NA ,NA ,03-Jul-2019 05:00 PM,17-Jul-2019 05:00 PM,Executive Engineer,Elect. Division HPPWD Palampur,1.0,DD - Demand Draft,"12,400",No,fixed,,Executive Engineer,"Elect. Division, HPPWD Palampur",1.0,corrigendum,Other,,Additional accommodation of Govt. Senior Secondary School building at Dehan in Tehsil Palampur Distt. Kangra (SH- Providing EI therein),Additional accommodation of Govt. Senior Secondary School building at Dehan in Tehsil Palampur Distt. Kangra (SH- Providing EI therein),Please refer Tender documents. ,NA ,"6,16,349",Electrical Works,NA ,Tender,120.0,180.0,Dehan in Tehsil Palampur,176102.0,NA ,NA ,NA ,Palampur,No ,No,350.0,Executive Engineer,"Elect. Division, HPPWD Palampur",No,1.0,Fee/PreQual/Technical/Finance,.pdf,Bank Draft towards the cost of bidding document,PWD,Elect. Div. HPPWD Palampur,2019_PWD_29856_3,Yes,Open Tender,Item Rate,Works,1.0,No,No,Offline,No,No,No,AOC
2.0,124829.0,KAMAL JEET SHARMA GOVT CONT,17-Jul-2019 03:24 PM,Not Admitted-Fee/PreQual/Technical/Finance,Not qualified for AOC,23-Jul-2019 11:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposited (EMD) in prescribed form duly pledged,,,,,,,,,,,,,,,AOC
3.0,124765.0,pankaj saini,17-Jul-2019 09:15 AM,Accepted-AOC,L1,06-Feb-2020 05:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration Certificate in HPPWD (Elect.) in appropriate class,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration certificate,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF certificate,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest Income Tax Return,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Standard bidding document (Form-8) on judicial papers duly signed,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of correctness of submitted documents,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in department,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill Of Quantities,,,,,,,,,,,,,,,AOC
