Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
11-Mar-2019 09:00 AM,19-Mar-2019 09:00 AM,11-Mar-2019 09:00 AM,18-Mar-2019 10:00 AM,NA ,NA ,11-Mar-2019 09:00 AM,18-Mar-2019 10:00 AM,16-Apr-2019 03:00 PM,1.0,DD - Demand Draft,PWD,PW-KSG-E-TENDER18-19 14309-14,2019_PWD_28378_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE KARSOG,EE KARSOG,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"68,000",No,fixed,,EE HPPWD KARSOG,KARSOG,"2,500",EE HPPWD KARSOG,KARSOG,No,"Periodical maintenance on Bakhrot Sainj road MDR-0021 (Sub HeadProviding and laying 30mm bituminous concrete, V-shaped drain in Km. 24/000 to 28/00)","Periodical maintenance on Bakhrot Sainj road MDR-0021 (Sub HeadProviding and laying 30mm bituminous concrete, V-shaped drain in Km. 24/000 to 28/00)",Please refer Tender documents. ,NA ,"39,85,714",Civil Works - Roads,NA ,Rate Contract,90.0,90.0,KARSOG,175011.0,NA ,NA ,NA ,EE HPPWD KARSOG,No ,No,AOC,MANN SINGH,Internal,,Maan Singh,16-Apr-2019 02:56 PM,16-Apr-2019 03:00 PM,techsummary_40731.pdf (276.77 KB),PWD,2019_PWD_28378_1,PW-KSG-E-TENDER18-19 14309-14,"Periodical maintenance on Bakhrot Sainj road MDR-0021 (Sub HeadProviding and laying 30mm bituminous concrete, V-shaped drain in Km. 24/000 to 28/00)",09-Feb-2020,"INR 4,952,568",90.0,Maan Singh,17-Feb-2020 03:56 PM,AHC111.PDF (289.00 KB),MAAN SINGH,Internal,OK,Maan Singh,22-Apr-2019 12:42 PM,finsummary_40731.pdf (413.11 KB),1.0,118806.0,AHC ASSOCIATES,17-Mar-2019 06:50 PM,Accepted-AOC,LOWEST,17-Feb-2020 03:56 PM,Technical,ATTACH,Maan Singh,16-Apr-2019 02:41 PM,None,Finance,ok,Maan Singh,22-Apr-2019 12:37 PM,finance_40731.pdf,BOQ Comparative Chart,1.0,118806.0,AHC ASSOCIATES,INR,"4,952,568",AOC
,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,2.0,118847.0,BHUPENDER KUMAR,17-Mar-2019 04:21 PM,Rejected-Technical,ORIGINAL NOT SUBMITTED,16-Apr-2019 02:56 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,3.0,118859.0,Neelam Kumar,17-Mar-2019 06:25 PM,Rejected-Technical,ORIGINAL NOT SUBMITTED,16-Apr-2019 02:56 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
