Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,,Maan Singh,16-Apr-2019 02:38 PM,technical_40730.pdf,1.0,118844.0,BHUPENDER KUMAR,17-Mar-2019 04:06 PM,Accepted-AOC,ATA,17-Feb-2020 03:51 PM,Finance,ATTACHED,Maan Singh,16-Apr-2019 04:15 PM,finance_40730.pdf,BOQ Comparative Chart,1.0,118844.0,BHUPENDER KUMAR,INR,"2,128,117",MAAN SINGH,Internal,ok,Maan Singh,22-Apr-2019 12:25 PM,finsummary_40730.pdf (413.11 KB),17-Feb-2020,"INR 2,128,117",90.0,Maan Singh,17-Feb-2020 03:51 PM,BHUPU..PDF (299.00 KB),PWD,2019_PWD_28377_1,PW-KSG-E-TENDER18-19 14309-14,"Periodical maintenance on Kelodhar Naglog road km 0/000 to 11/00(Sub Head Providing and laying 25mm bituminous concrete, including profile correction . 9/000 to 11/00)",MANN SINGH,Internal,,Maan Singh,16-Apr-2019 03:04 PM,16-Apr-2019 03:10 PM,techsummary_40730.pdf (253.28 KB),AOC,1.0,DD - Demand Draft,11-Mar-2019 09:00 AM,19-Mar-2019 10:00 AM,11-Mar-2019 09:00 AM,18-Mar-2019 10:00 AM,NA ,NA ,11-Mar-2019 09:00 AM,18-Mar-2019 10:00 AM,16-Apr-2019 03:10 PM,"1,000",EE KARSOG,KARSOG,No,PWD,PW-KSG-E-TENDER18-19 14309-14,2019_PWD_28377_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,EE KARSOG,EE KARSOG,"Periodical maintenance on Kelodhar Naglog road km 0/000 to 11/00(Sub Head Providing and laying 25mm bituminous concrete, including profile correction . 9/000 to 11/00)","Periodical maintenance on Kelodhar Naglog road km 0/000 to 11/00(Sub Head Providing and laying 25mm bituminous concrete, including profile correction . 9/000 to 11/00)",Please refer Tender documents. ,NA ,"16,25,656",Civil Works - Roads,NA ,Tender,90.0,90.0,KARSOG,175011.0,NA ,NA ,NA ,EE HPPWD KARSOG,No ,No,"31,885",No,fixed,,KARSOG,KARSOG,AOC
,,,,,2.0,118858.0,Neelam Kumar,17-Mar-2019 06:15 PM,Rejected-AOC,HIGHEST,17-Feb-2020 03:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
