Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Executive Engineer,Internal,Assistant Engineer Suket DAO Gr-I Supdt. Tender HDM,Chaman Singh,27-Feb-2020 12:26 PM,finsummary_47757.pdf (6942.21 KB),27-Feb-2020,"INR 781,410",60.0,Chaman Singh,27-Feb-2020 12:34 PM,AOC.pdf (6942.00 KB),AOC issued,PWD,2019_PWD_33145_1,PW-SNR-CB-E-Tender/19-16268-80 dt 26.10.19,M/T on Bhawana Maloh road KM 0/0 to 5/0,Executive Engineer HPPWD Sundernagar,Internal,Assistant Engineer Suket Sr DAO Grade I HDM Supdt PMGSY,Naresh Raj Chandel,18-Dec-2019 04:36 PM,18-Dec-2019 04:45 PM,techsummary_47757.pdf (5336.49 KB),Technical,TechnicalBOS,Naresh Raj Chandel,17-Dec-2019 02:45 PM,technical_47757.pdf,1.0,140287.0,Tek Chand,16-Dec-2019 11:37 AM,Accepted-AOC,Found lowest,27-Feb-2020 12:34 PM,Finance,FBOS,Chaman Singh,19-Dec-2019 01:36 PM,finance_47757.pdf,BOQ Comparative Chart,1.0,140287.0,Tek Chand,INR,"781,410",AOC,05-Dec-2019 05:00 PM,17-Dec-2019 11:00 AM,05-Dec-2019 05:20 PM,16-Dec-2019 06:00 PM,NA ,NA ,05-Dec-2019 05:30 PM,16-Dec-2019 06:00 PM,18-Dec-2019 04:45 PM,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"14,500",No,fixed,,EE Sundernagar,Sundernagar,PWD,PW-SNR-CB-E-Tender/19-16268-80 dt 26.10.19,2019_PWD_33145_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Sunder Nagar Division HPPWD,350.0,EE Sundernagar,Sundernagar,No,M/T on Bhawana Maloh road KM 0/0 to 5/0,SH P/L tarring in Km 0/0 to 1/0,As per bid document ,NA ,"7,06,152",Civil Works,Tarring ,Tender,120.0,60.0,Sundernagar,175018.0,NA ,NA ,NA ,Sunder Nagar Division HPPWD,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,140310.0,umesh Kumar,16-Dec-2019 01:57 PM,Rejected-AOC,Not found lowest,27-Feb-2020 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,140195.0,VIRENDER KUMAR,15-Dec-2019 08:10 PM,Rejected-AOC,Not found lowest,27-Feb-2020 12:34 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Other important documents as specified by the State in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
