S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1,25136,Agarwal Industries,09-Jan-2018 01:44 PM,Rejected-Finance,Due to L5,03-Oct-2019 05:43 PM,Assam Police,2017_AP_4513_1,S/III-301/UNI/KH.TC/2017-18/3,Supply of Terry Cotton Cloth (Khaki),1.0,Corrigendum,Technical Evaluation Corrigendum,01-Mar-2019 03:49 PM,Corrigendum-KhakiTerryCotton.pdf ,174.8,Technical Opening,AOC,Assam Police,S/III-301/UNI/KH.TC/2017-18/3,2017_AP_4513_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,1.0,DD - Demand Draft,500.0,"Inspector General of Police (Admin), Assam",Guwahati,No,Supply of Terry Cotton Cloth (Khaki),Supply of Terry Cotton Cloth (Khaki) to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati","5,00,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,19-Dec-2017 04:15 PM,11-Jan-2018 03:30 PM,19-Dec-2017 04:15 PM,09-Jan-2018 05:00 PM,NA ,NA ,19-Dec-2017 04:15 PM,09-Jan-2018 05:00 PM,05-Mar-2019 11:30 AM,AOC
2,25443,DLIGHTS,08-Jan-2018 09:18 PM,Rejected-Finance,Due to L4,03-Oct-2019 05:43 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,25471,IMPEX INDIA,09-Jan-2018 01:16 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2019 03:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,24751,Mafatlal Industries Limited,09-Jan-2018 04:14 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2019 03:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,25556,M S Blitz Engineering and Fabrication,09-Jan-2018 04:41 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2019 03:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,25492,M/s INTERLINK,09-Jan-2018 04:16 PM,Accepted-AOC,Approved by the Departmental Purchase Committee.,06-Feb-2020 11:36 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,25000,M/S Parbati Enterprise,08-Jan-2018 07:04 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2019 03:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,25535,M/s PUBERUN,09-Jan-2018 03:47 PM,Rejected-Technical,Not qualified,01-Mar-2019 04:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,25218,Nimco Traders,08-Jan-2018 04:02 PM,Rejected-Finance,Due to L6,03-Oct-2019 05:43 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,25287,P and P CLIMB INDUSTRIES,09-Jan-2018 07:26 AM,Rejected-Finance,Due to L3,03-Oct-2019 05:43 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
11,25105,REID AND TAYLOR INDIA LIMITED,09-Jan-2018 03:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,01-Mar-2019 03:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
12,25415,R K SIL AND COMPANY,09-Jan-2018 12:16 AM,Rejected-Technical,Not qualified,01-Mar-2019 04:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
13,25541,SSS CO-ORDINATION,09-Jan-2018 03:04 PM,Rejected-Finance,Due to L2,03-Oct-2019 05:43 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
14,24779,Sunil Industries Limited,09-Jan-2018 04:20 PM,Rejected-Technical,Not qualified,01-Mar-2019 04:06 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
