Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,DD - Demand Draft,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,"1,02,100",No,fixed,,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,PWD,34.50 mtrs. Span PSC box girder bridgeDheli Nallah,2019_PWD_32434_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,C/O 34.50 mtrs. Span PSC box girder bridge over Dheli Nallah on Dhar Dheli Jasai road at rd. 2/650,C/O 34.50 mtrs. Span PSC box girder bridge over Dheli Nallah on Dhar Dheli Jasai road at rd. 2/650 including approaches) Under SCSP Head,Please refer Tender documents. ,NA ,"69,58,454",Civil Works - Bridges,NA ,Tender,120.0,365.0,Barsar,174305.0,NA ,NA ,NA ,Barsar,No ,No,07-Nov-2019 10:30 AM,20-Nov-2019 11:00 AM,07-Nov-2019 10:30 AM,20-Nov-2019 10:30 AM,NA ,NA ,07-Nov-2019 10:30 AM,20-Nov-2019 10:30 AM,25-Nov-2019 10:30 AM,"2,000",Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,No,AOC,PWD,2019_PWD_32434_1,34.50 mtrs. Span PSC box girder bridgeDheli Nallah,C/O 34.50 mtrs. Span PSC box girder bridge over Dheli Nallah on Dhar Dheli Jasai road at rd. 2/650,Executive Engineer,Internal,Supdt HDM DAO,Pramod Kashyap,23-Nov-2019 01:42 PM,25-Nov-2019 10:30 AM,techsummary_46660.pdf (539.35 KB),Executive Engineer,Internal,Spdt HDM DAO,Pramod Kashyap,25-Nov-2019 11:02 AM,finsummary_46660.pdf (150.40 KB),11-Feb-2020,"INR 6,958,454",365.0,Pramod Kashyap,11-Feb-2020 12:17 PM,awardjassaibridge.pdf (918.00 KB),C/O 34.50 mtrs. Span PSC box girder bridge over Dheli Nallah on Dhar Dheli Jasai road at rd. 2/650,1.0,136899.0,RAMAN KUMAR,INR,"10,602,983",Finance,fin bid,Pramod Kashyap,25-Nov-2019 10:53 AM,finance_46660.pdf,BOQ Comparative Chart,1.0,136694.0,ASHOK VERMA,19-Nov-2019 11:33 AM,Rejected-Technical,Non Responsive,23-Nov-2019 01:42 PM,Technical,Trechbid,Pramod Kashyap,23-Nov-2019 12:17 PM,technical_46660.pdf,AOC
,,.pdf,EMD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,136998.0,Cantilever Constructions Pvt Ltd.,20-Nov-2019 10:00 AM,Rejected-Finance,L 2,25-Nov-2019 11:02 AM,,,,,,AOC
,,.pdf,contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,136899.0,RAMAN KUMAR,19-Nov-2019 09:19 PM,Accepted-AOC,L 1,11-Feb-2020 12:17 PM,,,,,,AOC
,,.pdf,Work done certificate ( Only Completed work ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"G.S.T. No.with latest clearance return, EPF No. with latest clearance return,Labour Licence, Pan Car",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of machinery tool plant with ownership documents/Aff. Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Aff. that the information submitted by the bidder is true and correct (Magistrate/Notary),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Work in hand certificate duly countersigned by the Engineer in charge, not below the rank of an Exec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Last five Year Turn over duly signed by the CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding seen the site as per General rules and direction No. 29(Magistrate/Notary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
