S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,132290.0,Amit Thakur,INR,"2,249,128",Finance,summary,Mahesh Kanwar,21-Oct-2019 04:40 PM,finance_45008.pdf,BOQ Comparative Chart,Technical,Summary,Mahesh Kanwar,21-Oct-2019 04:01 PM,technical_45008.pdf,1.0,132292.0,Aman Thakur,25-Sep-2019 10:42 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Oct-2019 04:01 PM,27-Feb-2020,"INR 1,132,536",90.0,Vijay Kumar Chauhan,27-Feb-2020 12:25 PM,AOCDhartatana.pdf (492.00 KB),AOC,Er Mahesh Kanwar,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt.,Vijay Kumar Chauhan,27-Feb-2020 12:21 PM,finsummary_45008.pdf (338.77 KB),Er Mahesh Kanwar,Internal,Deepak Sharma Sr DAO Lekh Ram Shandil HDM Leela Verma Sr Asstt,Mahesh Kanwar,21-Oct-2019 04:06 PM,21-Oct-2019 04:10 PM,techsummary_45008.pdf (380.24 KB),PWD,2019_PWD_31281_1,PW.THD.CB.Tender.2019-6746-60 dt.30.8.201,C.o Dhar Datana Virgarh Road km 0.0 to 5.500 SH C.o 5.7 mtr. Wide F.C km RD 1.637 to 2.360,AOC,C.o Dhar Datana Virgarh Road km 0.0 to 5.500 SH C.o 5.7 mtr. Wide F.C km RD 1.637 to 2.360,C.o Dhar Datana Virgarh Road km 0.0 to 5.500 SH C.o 5.7 mtr. Wide F.C km RD 1.637 to 2.360,Please refer Tender documents. ,NA ,"11,32,536",Civil Works - Roads,NA ,Tender,90.0,90.0,HP PWD Theog Division,171201.0,NA ,NA ,NA ,Executive Engineer HP PWD Division Theog,No ,No,PWD,PW.THD.CB.Tender.2019-6746-60 dt.30.8.201,2019_PWD_31281_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Executive Engineer,HP PWD Division Theog,12-Sep-2019 11:00 AM,26-Sep-2019 11:00 AM,12-Sep-2019 11:00 AM,25-Sep-2019 06:00 PM,NA ,NA ,12-Sep-2019 11:00 AM,25-Sep-2019 06:00 PM,21-Oct-2019 04:10 PM,500.0,EE Theog,HP PWD Theog,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender for (as per Schedule-F),1.0,Corrigendum,Date,,"22,600",No,fixed,,EE Theog,HP PWD Theog,AOC
,,,,,,,,,,,,,,,,2.0,132290.0,Amit Thakur,25-Sep-2019 10:47 AM,Accepted-AOC,Responsive,27-Feb-2020 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,132252.0,Dinesh Kumar,25-Sep-2019 02:01 PM,Rejected-Finance,Non Responsive,27-Feb-2020 12:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,132365.0,Gian Chand,25-Sep-2019 05:10 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Oct-2019 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,132086.0,Satish Verma,23-Sep-2019 02:26 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Oct-2019 04:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand (as per Performa given in General Rule No-19).,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery,Tool,Plant,(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,AOC
