Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Barsar,Irrigation and Public Health,HP",No. EE-IPH-BSR-TA -E-Tenders-2019-20- 14929-90,2020_HPIPH_33933_1,Yes,Open Tender,Lump-sum,Works,3.0,No,No,Both(Online/Offline),No,No,No,Providing Sewerage scheme to Bhota Town in Tehsil Barsar District Hamirpur HP SH Construction of Sewerage treatment plant of 1.50 M.L.D. capacity,Providing Sewerage scheme to Bhota Town in Tehsil Barsar District Hamirpur HP SH Construction of Sewerage treatment plant of 1.50 M.L.D. capacity,Please refer Tender documents. ,NA ,"4,32,42,992",Civil Works,NA ,Tender,120.0,730.0,IPH Sub Division Bhota,174305.0,NA ,NA ,NA ,EE IPH Division Barsar,No ,No,1.0,ICICI BANK,1.0,Fee,.pdf,The earnest money as NIT condition No. 3- i,EE IPH Division Barsar,EE IPH Division Barsar Tehsil Barsar Distt. Hamirpur,"4,64,930",Yes,fixed,,EE IPH Division Barsar,EE IPH Division Barsar,"2,500",EE IPH Division Barsar,EE IPH Division Barsar,Yes,08-Jan-2020 11:00 AM,18-Jan-2020 11:30 AM,08-Jan-2020 11:00 AM,18-Jan-2020 11:00 AM,08-Jan-2020 11:00 AM ,18-Jan-2020 11:00 AM ,08-Jan-2020 11:00 AM,18-Jan-2020 11:00 AM,04-Feb-2020 10:15 AM,AOC,Technical,Proceeding held on 03.02.2020 in the chamber of the Chief Engineer IPH HZ Hamirpur for eligible criteria of the contractor and found eligible to further process for opening the Financial Bid of the bidders,Jitender Kumar,03-Feb-2020 08:25 PM,technical_49045.pdf,Finance,Proceeding held on 03.02.2020 in the chamber of the Chief Engineer IPH HZ Hamirpur for eligible criteria of the contractor and found eligible to further process for opening the Financial Bid of the bidders and has been opened,Jitender Kumar,04-Feb-2020 11:11 AM,finance_49045.pdf,BOQ Comparative Chart,25-Feb-2020,"INR 43,242,992",730.0,Jitender Kumar,25-Feb-2020 05:01 PM,OOSTP.pdf (55.00 KB),"As per directions given by the SE, JSV Circle, Hamirpur vide letter No. SHE-JSV-WA-3-Sewerage Bhota/2019-20-16059-61 dated 24.02.2020 the tender for the above cited workis hereby cancelled",1.0,144320.0,Dogra Construction Company Pvt Ltd,18-Jan-2020 07:21 AM,Accepted-AOC,work has been cancelled due to administrative- technical grounds.,25-Feb-2020 05:01 PM,As per proceeding held on 03.02.2020 in the office of the CE IPH Department Hamirpur,Internal,As per proceeding held on 03.02.2020 in the office of the CE IPH Department Hamirpur,Jitender Kumar,03-Feb-2020 08:29 PM,04-Feb-2020 10:15 AM,techsummary_49045.pdf (1984.54 KB),As per Proceeding held on 03.02.2020 in the chamber of the Chief Engineer IPH HZ Hamirpur,Internal,As per Proceeding held on 03.02.2020 in the chamber of the Chief Engineer IPH HZ Hamirpur for eligible criteria of the contractor and found eligible to further process for opening the Financial Bid,Jitender Kumar,04-Feb-2020 11:15 AM,finsummary_49045.pdf (1984.54 KB),"HP Irrigation and Public Health||Hamirpur Circle,Irrigation and Public Health,HP||Barsar,Irrigation and Public Health,HP",2020_HPIPH_33933_1,No. EE-IPH-BSR-TA -E-Tenders-2019-20- 14929-90,Providing Sewerage scheme to Bhota Town in Tehsil Barsar District Hamirpur HP SH Construction of Sewerage treatment plant of 1.50 M.L.D. capacity,1.0,144320.0,Dogra Construction Company Pvt Ltd,INR,0.0,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,The required cost of tender form Rs. 2500.00 as per NIT condition No. 3-ii,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,145359.0,Triveni Constructions,17-Jan-2020 03:08 PM,Accepted-AOC,work has been cancelled due to administrative- technical grounds.,25-Feb-2020 05:01 PM,,,,,,,,,,,,,,,,,,2.0,145359.0,Triveni Constructions,INR,0.0,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration and latest renewal thereof as per NIT condition No 3-iii,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter regarding digital Signature Certificate as per NIT conditions No. 3-v,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The income Tax-PAN- GST and EPF registration No.,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking as per NIT conditions No. 3 -vii,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MOU with consultant for tie up of technology as per NIT conditions No. 3-viii,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pre-qualification Criteria proof as per NIT conditions No. 5,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,ANNEXURE XVI SPECIAL CONDITIONS OF CONTRACT Agreed to during post tender clarifications T and C,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,SCOPE OF WORK,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TERMS AND CONDITIONS FOR OPERATION AND MAINTENANCE,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Finance,.xls,Revised BOQ,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
