Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,26.1. COST OF TENDER,PWD,8645-95 DATED 10.12.19,2019_PWD_33443_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,19-Dec-2019 02:00 PM,03-Jan-2020 11:30 AM,19-Dec-2019 02:00 PM,02-Jan-2020 05:00 PM,NA ,NA ,19-Dec-2019 02:00 PM,02-Jan-2020 05:00 PM,10-Jan-2020 12:30 PM,350.0,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,No,"15,500",No,fixed,,"Executive Engineer, HPPWD Division Sangrah",UCO Bank Sangrah,1.0,DD - Demand Draft,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",Construction of Office Building at Sangrah,Providing and laying Interlocking Paver Block,Please refer Tender documents. ,NA ,"7,70,710",Civil Works,NA ,Tender,90.0,90.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,AOC,Finance,SUMMARY,Rattan Kumar Sharma,15-Jan-2020 03:45 PM,finance_48211.pdf,BOQ Comparative Chart,1.0,143557.0,Rahul Chuhan,INR,"1,225,399",1.0,143567.0,BHARAT BHUSHAN,02-Jan-2020 04:37 PM,Rejected-Finance,NOT THE LOWEST BIDDER,05-Feb-2020 03:11 PM,Technical,Summary,Rattan Kumar Sharma,06-Jan-2020 01:12 PM,technical_48211.pdf,PWD,2019_PWD_33443_5,8645-95 DATED 10.12.19,Construction of Office Building at Sangrah,Executive Engineer,Internal,Superintendent G-II DHD DAO,Rattan Kumar Sharma,10-Jan-2020 11:56 AM,10-Jan-2020 12:30 PM,techsummary_48211.pdf (944.30 KB),Executive Engineer,Internal,tender assistant Superintendent G-II DHD DAO,Rattan Kumar Sharma,05-Feb-2020 03:11 PM,finsummary_48211.pdf (378.77 KB),05-Feb-2020,"INR 770,710",90.0,Rattan Kumar Sharma,05-Feb-2020 03:12 PM,86.pdf (558.00 KB),AOC,AOC
,,.pdf,26.2.EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,143557.0,Rahul Chuhan,02-Jan-2020 02:48 PM,Accepted-AOC,AOC,05-Feb-2020 03:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,26.4.GST REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,143543.0,VIJAY SINGH,02-Jan-2020 01:48 PM,Rejected-Finance,NOT THE LOWEST BIDDER,05-Feb-2020 03:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"26.6. LIST OF MACHINERY ,TOOL,PLANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,26.3.CONTRACTORS REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,26.7. Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof to registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,AFFIDAVIT REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,ANY ADDITIONAL INFORMATION MENTIONED IN SCHEDULE D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,26.7 BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
