Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
500.0,"Inspector General of Police (Admin), Assam",Guwahati,No,1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,Supply of Khaki Drill and Cellular Cloth,Supply of Khaki Drill and Cellular Cloth to Assam Police,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,"5,00,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati",1.0,DD - Demand Draft,20-Dec-2017 09:00 AM,11-Jan-2018 03:30 PM,20-Dec-2017 09:00 AM,09-Jan-2018 05:00 PM,NA ,NA ,20-Dec-2017 09:00 AM,09-Jan-2018 05:00 PM,16-Feb-2019 01:55 PM,Assam Police,S/III301/UN/DRILCELL/2017-18/3,2017_AP_4527_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,AOC,1.0,25525.0,M/s PUBERUN,INR,14516533.39,06-Feb-2020,INR 14516533.39,60.0,Samiron Deka,06-Feb-2020 11:56 AM,SO-KhakiDrillandCellularCloth.pdf (1035.00 KB),1,25137,Agarwal Industries,09-Jan-2018 02:20 PM,Rejected-Finance,Due to L2,03-Oct-2019 05:03 PM,"Dr. Y K Gautam, IPS",Internal,,Samiron Deka,03-Oct-2019 05:03 PM,finsummary_7249.pdf (1163.00 KB),"Dr. Y. K. Gautam, IPS",Internal,,Samiron Deka,16-Feb-2019 01:50 PM,16-Feb-2019 01:55 PM,techsummary_7249.pdf (620.22 KB),Technical,As per Technical Committee report.,Samiron Deka,16-Feb-2019 01:43 PM,,Finance,Admitted for further evaluation.,Pabitra Kumar Gogoi,16-Feb-2019 02:00 PM,,BOQ Comparative Chart,Assam Police,2017_AP_4527_1,S/III301/UN/DRILCELL/2017-18/3,Supply of Khaki Drill and Cellular Cloth,AOC
,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2,25530,Hrishita Private Limited,09-Jan-2018 03:30 PM,Rejected-Technical,Not qualified.,16-Feb-2019 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,25483,IMPEX INDIA,09-Jan-2018 02:07 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,25363,Mafatlal Industries Limited,09-Jan-2018 04:15 PM,Rejected-Finance,Due to L4,03-Oct-2019 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,25553,M S Blitz Engineering and Fabrication,09-Jan-2018 04:27 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,25525,M/s PUBERUN,09-Jan-2018 03:50 PM,Accepted-AOC,Approved by the Departmental Purchase Committee,06-Feb-2020 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,25489,NAYAN EMPORIUM,09-Jan-2018 07:54 AM,Rejected-Technical,Not qualified.,16-Feb-2019 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,25214,Nimco Traders,08-Jan-2018 04:09 PM,Rejected-Technical,Not qualified.,16-Feb-2019 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,25486,R K SIL AND COMPANY,09-Jan-2018 05:13 AM,Rejected-Technical,Not qualified.,16-Feb-2019 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,25542,SSS CO-ORDINATION,09-Jan-2018 03:09 PM,Rejected-Technical,Not qualified.,16-Feb-2019 01:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,11,25374,Sunil Industries Limited,09-Jan-2018 04:26 PM,Rejected-Finance,Due to L3,03-Oct-2019 05:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
