S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1,25416,DLIGHTS,08-Jan-2018 08:50 PM,Accepted-AOC,Approved by the Departmental Purchase Committee,06-Feb-2020 11:16 AM,Finance,Admitted for further evaluation.,Pabitra Kumar Gogoi,16-Feb-2019 06:14 PM,,BOQ Comparative Chart,Technical,As per Technical Committee report.,Samiron Deka,16-Feb-2019 04:49 PM,,Assam Police,2017_AP_4502_1,S/III-301/UNI/AmmnB/2017-18/3,Supply of Ammunition Boot,"Dr. Y. K. Gautam, IPS",Internal,,Samiron Deka,16-Feb-2019 04:53 PM,16-Feb-2019 05:55 PM,techsummary_7198.pdf (429.57 KB),AOC,500.0,"Inspector General of Police (Admin), Assam",Guwahati,No,Supply of Ammunition Boot,Supply of Ammunition Boot (DMS/DIRECT MOULDED SOLE,Please refer Tender documents. ,NA ,0.0,Uniforms/Curtains/Clothes,NA ,Tender,365.0,60.0,Guwahati,781007.0,NA ,NA ,NA ,Assam Police Headquarters,No ,No,19-Dec-2017 04:00 PM,11-Jan-2018 03:30 PM,19-Dec-2017 04:00 PM,09-Jan-2018 05:00 PM,NA ,NA ,19-Dec-2017 04:00 PM,09-Jan-2018 05:00 PM,16-Feb-2019 05:55 PM,Inspector General of Police (Admin),"Assam Police Headquarters, Ulubari, Guwahati",1.0,Fee/PreQual/Technical,.pdf,Pre and Technical Qualification,"7,00,000",No,fixed,,"Inspector General of Police (Admin), Assam",Guwahati,1.0,DD - Demand Draft,Assam Police,S/III-301/UNI/AmmnB/2017-18/3,2017_AP_4502_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Offline,No,No,No,AOC
2,25401,IMPEX INDIA,09-Jan-2018 03:24 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,AOC
3,25412,LIBERTY SHOES LTD,09-Jan-2018 03:27 PM,Rejected-Finance,Due to L4,03-Oct-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,AOC
4,25351,M.B.RUBBER PRIVATE LIMITED,09-Jan-2018 02:40 PM,Rejected-Technical,Not qualified,16-Feb-2019 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,AOC
5,25453,M/s INTERLINK,09-Jan-2018 04:00 PM,Rejected-Finance,Due to L3,03-Oct-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,AOC
6,24989,M/S Narayan Enterprise,08-Jan-2018 06:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,25002,M/S Parbati Enterprise,08-Jan-2018 07:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Feb-2019 04:49 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,25473,PURBANCHAL LEATHER INDUSTRIES,09-Jan-2018 07:40 AM,Rejected-Technical,Not qualified,16-Feb-2019 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,25498,Sri Debagram Distributor,09-Jan-2018 10:32 AM,Rejected-Technical,Not qualified,16-Feb-2019 04:53 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,25534,SSS CO-ORDINATION,09-Jan-2018 02:43 PM,Rejected-Finance,Due to L2,03-Oct-2019 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
