Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),R/R Damages on Pulbahal to Lihat road Km. 0/0 to 8/740,SH Removal of slips from 8/250 to 8/390 and R/wall RDs. 2/335 to 2/350 wire crated wall Between km. RDs. 8/455 to 8/470,Please refer Tender documents. ,NA ,"4,08,865",Civil Works - Roads,NA ,Tender,120.0,180.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,"8,500",No,fixed,,EE Chopal,Chopal,500.0,EE Chopal,Chopal,No,EE Chopal,HPPWD CHOPAL,1.0,DD - Demand Draft,14-Feb-2019 03:00 PM,25-Feb-2019 11:30 AM,14-Feb-2019 03:00 PM,22-Feb-2019 05:00 PM,NA ,NA ,14-Feb-2019 03:00 PM,22-Feb-2019 05:00 PM,09-Mar-2019 11:30 AM,PWD,PW.CHD.CB-E-9/2018 13396-13489 DT 17.1.19,2019_PWD_27321_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,114338.0,Narain Dutt Sharma,22-Feb-2019 01:30 PM,Rejected-Technical,Non Responsive,09-Mar-2019 10:58 AM,Technical,Bid Opening Summary,Yogesh Sharma,09-Mar-2019 10:15 AM,technical_38918.pdf,1.0,114264.0,Thakur Govt Contractor HPPWD and Carton Supplier,INR,"641,927",Finance,Bid Opening Summary,Kamal Singh Pal,12-Feb-2020 11:27 AM,finance_38918.pdf,BOQ Comparative Chart,PWD,2019_PWD_27321_5,PW.CHD.CB-E-9/2018 13396-13489 DT 17.1.19,R/R Damages on Pulbahal to Lihat road Km. 0/0 to 8/740,Er K S Pal,Internal,EE Suptt Accountant HDM Tender Clerk,Yogesh Sharma,09-Mar-2019 10:58 AM,09-Mar-2019 11:30 AM,techsummary_38918.pdf (332.87 KB),Er KS Pal,Internal,Suptt DAO DHD TA,Kamal Singh Pal,12-Feb-2020 11:34 AM,finsummary_38918.pdf (176.37 KB),12-Feb-2020,"INR 641,927",180.0,Kamal Singh Pal,12-Feb-2020 11:38 AM,42.pdf (166.00 KB),AOC,AOC
,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,114608.0,surender dutt,22-Feb-2019 02:48 PM,Rejected-AOC,Rejected,12-Feb-2020 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,114264.0,Thakur Govt Contractor HPPWD and Carton Supplier,21-Feb-2019 02:19 PM,Accepted-AOC,Accepted,12-Feb-2020 11:38 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
